,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
12,,,,第1节,3.5,0.8,-3.5,0.87,120.5,0.83,120.5,0.83,120.5,,1.25,,,,0.0,1,2.0,7.0,0,,11094.0,1.25,0.0,"0.91,0.07"
13,,,,第1节,3.5,0.8,-3.5,0.87,120.5,0.83,120.5,0.83,120.5,,1.25,,,,0.0,1,1.0,43.0,0,,21077.0,1.25,0.0,
14,,,,第1节,3.5,0.87,-2.5,0.8,120.5,0.83,120.5,0.83,-2.5,,1.25,,,,0.0,1,1.0,43.0,0,,21077.0,1.25,0.0,
15,,,,第1节,2.5,0.87,-2.5,0.8,120.5,0.83,119.5,0.83,2.5,,1.25,,,,0.0,1,1.0,43.0,0,,21077.0,1.25,0.0,
16,,,,第1节,2.5,0.87,-2.5,0.8,119.5,0.83,119.5,0.83,119.5,,1.25,,,,0.0,1,1.0,43.0,0,,21077.0,1.25,0.0,
17,,,,第1节,2.5,0.87,-2.5,0.87,119.5,0.83,119.5,0.83,119.5,,1.25,,,,0.0,1,1.0,43.0,0,,11077.0,1.25,0.0,
18,,,,第1节,2.5,0.8,-3.5,0.87,119.5,0.83,119.5,0.83,-3.5,,1.25,,,,0.0,1,1.0,43.0,0,,11077.0,1.25,0.0,
19,,,,第1节,3.5,0.8,-3.5,0.83,119.5,0.83,119.5,0.83,3.5,,1.25,,,,0.0,1,1.0,43.0,0,,11077.0,1.25,0.0,
20,,,,第1节,3.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,-4.5,,1.25,,,,0.0,1,1.0,43.0,0,,11077.0,1.25,0.0,
21,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,121.5,0.83,4.5,,1.25,,,,0.0,1,1.0,43.0,0,,11077.0,1.25,0.0,
22,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,1.25,,,,0.0,1,1.0,43.0,0,,11077.0,1.25,0.0,
23,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,1.25,,,,0.0,1,1.0,43.0,0,,11074.0,1.25,0.0,"0.89,0.57"
24,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,1.25,,5.0,15.0,0.0,1,1.0,40.0,0,,21077.0,1.25,0.0,
25,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,0.45,,5.0,15.0,0.0,1,1.0,40.0,0,,21077.0,1.25,0.0,
26,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,0.0,,5.0,15.0,0.0,1,1.0,39.0,0,,21077.0,1.25,0.0,
27,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,0.0,,5.0,15.0,0.0,1,1.0,39.0,0,,21095.0,1.25,0.0,"0.06,0.51"
28,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,0.0,,5.0,15.0,0.0,1,1.0,18.0,0,,11077.0,1.25,0.0,
29,,,,第1节,4.5,0.87,-4.5,0.8,119.5,0.83,119.5,0.83,119.5,,0.0,,5.0,15.0,0.0,1,1.0,18.0,0,,11077.0,1.25,0.0,
30,,,,第1节,4.5,0.87,-4.5,0.8,119.5,0.83,119.5,0.83,119.5,,0.0,,5.0,15.0,0.0,1,1.0,18.0,0,,11077.0,1.25,0.0,
31,,,,第1节,4.5,0.87,-4.5,0.8,119.5,0.83,119.5,0.83,119.5,,1.7,,5.0,15.0,0.0,1,1.0,18.0,0,,11094.0,1.25,0.0,"0.70,0.43"
32,,,,第1节,4.5,0.87,-4.5,0.8,119.5,0.83,119.5,0.83,119.5,,1.7,,5.0,15.0,0.0,1,1.0,7.0,0,,21077.0,1.25,0.0,
33,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,5.0,15.0,0.0,1,1.0,7.0,0,,21077.0,1.25,0.0,
34,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,5.0,15.0,0.0,1,0.0,52.0,0,,21077.0,1.25,0.0,
35,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,5.0,15.0,0.0,1,0.0,52.0,0,,11086.0,1.25,0.0,
36,,,,第1节,4.5,0.87,-4.5,0.8,118.5,0.83,118.5,0.83,118.5,,0.0,,5.0,15.0,0.0,1,0.0,52.0,0,,21077.0,1.25,0.0,
37,,,,第1节,4.5,0.87,-4.5,0.8,118.5,0.83,118.5,0.83,118.5,,0.0,1:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,
38,,,,第1节,4.5,0.87,-3.5,0.8,118.5,0.83,118.5,0.83,-3.5,,0.0,1:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,
39,,,,第1节,3.5,0.87,-3.5,0.8,118.5,0.83,119.5,0.83,3.5,,0.0,1:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,
40,,,,第1节,3.5,0.87,-3.5,0.8,119.5,0.83,119.5,0.83,119.5,,0.0,1:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,
41,,,,第1节,3.5,0.87,-3.5,0.8,119.5,0.83,119.5,0.83,119.5,,0.0,1:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,
42,,,,第1节,3.5,0.87,-3.5,0.8,119.5,0.83,119.5,0.83,119.5,,1.5,1:2,5.0,15.0,0.0,1,0.0,52.0,0,,21080.0,1.25,0.0,"0.20,0.50"
43,,,,第1节,3.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,-4.5,,1.5,2:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,"0.20,0.50"
44,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,118.5,0.83,4.5,,1.5,2:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,"0.20,0.50"
45,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,1.5,2:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,"0.20,0.50"
46,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,0.45,2:2,5.0,15.0,0.0,1,0.0,52.0,0,,21078.0,1.25,0.0,"0.20,0.50"
47,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,0.0,2:2,5.0,15.0,0.0,1,0.0,52.0,0,,21079.0,1.25,0.0,"0.20,0.50"
48,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,0.0,,6.0,15.0,0.0,1,0.0,52.0,0,,11077.0,1.25,0.0,
49,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,0.0,1,0.0,52.0,0,,11077.0,1.25,0.0,
50,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.47,,6.0,15.0,0.0,1,0.0,52.0,0,,11077.0,1.25,0.0,
51,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,1.0,1,0.0,52.0,0,,11077.0,1.25,0.0,
52,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,1.0,1,0.0,52.0,0,,11077.0,1.25,0.0,
53,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,1.0,1,0.0,52.0,0,,11077.0,1.25,0.0,
54,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,1.0,1,0.0,52.0,0,,11077.0,1.25,0.0,
55,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,1.0,1,0.0,52.0,0,,11077.0,1.25,0.0,
56,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,1.0,1,0.0,51.0,0,,11077.0,1.25,0.0,
57,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,0.0,1,0.0,51.0,0,,11077.0,1.25,0.0,
58,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,0.0,1,0.0,51.0,0,,11077.0,1.25,0.0,
59,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,0.0,1,0.0,51.0,0,,11077.0,1.25,0.0,
60,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,0.0,1,0.0,51.0,0,,11077.0,1.25,0.0,
61,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,0.0,1,0.0,51.0,0,,11077.0,1.25,0.0,
62,,,,第1节,4.5,0.8,-4.5,0.87,119.5,0.83,119.5,0.83,119.5,,0.0,,6.0,15.0,0.0,1,0.0,51.0,0,,21077.0,1.25,0.0,
63,,,,第1节,4.5,0.8,-4.5,0.87,119.5,0.83,119.5,0.83,119.5,,1.5,,6.0,15.0,0.0,1,0.0,51.0,0,,21075.0,1.25,0.0,"0.33,0.25"
64,,,,第1节,4.5,0.8,-4.5,0.87,119.5,0.83,119.5,0.83,119.5,,1.5,,9.0,15.0,0.0,1,0.0,38.0,0,,11077.0,1.25,0.0,
65,,,,第1节,4.5,0.87,-1.5,0.8,119.5,0.83,119.5,0.83,-1.5,,1.5,,9.0,15.0,0.0,1,0.0,38.0,0,,11077.0,1.25,0.0,
66,,,,第1节,1.5,0.87,-1.5,0.8,119.5,0.83,121.5,0.83,1.5,,1.5,,9.0,15.0,0.0,1,0.0,38.0,0,,11077.0,1.25,0.0,
67,,,,第1节,1.5,0.87,-1.5,0.8,121.5,0.83,121.5,0.83,121.5,,1.5,,9.0,15.0,0.0,1,0.0,38.0,0,,11077.0,1.25,0.0,
68,,,,第1节,1.5,0.87,-1.5,0.8,121.5,0.83,121.5,0.83,121.5,,0.66,,9.0,15.0,0.0,1,0.0,38.0,0,,11077.0,1.25,0.0,
69,,,,第1节,1.5,0.87,-1.5,0.8,121.5,0.83,121.5,0.83,121.5,,1.1,,9.0,15.0,0.0,1,0.0,37.0,0,,11077.0,1.25,0.0,
70,,,,第1节,1.5,0.87,-1.5,0.8,121.5,0.83,121.5,0.83,121.5,,1.1,,9.0,15.0,0.0,1,0.0,37.0,0,,11077.0,1.25,0.0,
71,,,,第1节,1.5,0.87,-1.5,0.8,121.5,0.83,121.5,0.83,121.5,,1.1,,9.0,15.0,0.0,1,0.0,25.0,0,,11077.0,1.25,0.0,
72,44.0,5.0,,第1节,1.5,0.87,-1.5,0.8,121.5,0.83,121.5,0.83,121.5,,1.1,,9.0,15.0,0.0,1,0.0,25.0,0,,11081.0,1.25,0.0,
73,44.0,5.0,,第1节,1.5,0.87,-1.5,0.8,121.5,0.83,121.5,0.83,121.5,,1.1,,9.0,15.0,0.0,1,0.0,16.0,0,,11081.0,1.25,0.0,
74,44.0,5.0,,第1节,1.5,0.87,-1.5,0.8,121.5,0.83,121.5,0.83,121.5,,1.1,,9.0,15.0,0.0,1,0.0,16.0,0,,21086.0,1.25,0.0,
75,44.0,5.0,,第1节,1.5,0.8,-2.5,0.87,121.5,0.83,121.5,0.83,-2.5,,1.1,,9.0,15.0,0.0,1,0.0,16.0,0,,11077.0,1.25,0.0,
76,44.0,5.0,,第1节,2.5,0.8,-2.5,0.87,121.5,0.83,120.5,0.83,2.5,,1.1,,9.0,15.0,0.0,1,0.0,16.0,0,,11077.0,1.25,0.0,
77,44.0,5.0,,第1节,2.5,0.8,-2.5,0.87,120.5,0.83,120.5,0.83,120.5,,1.1,,9.0,15.0,0.0,1,0.0,16.0,0,,11077.0,1.25,0.0,
78,44.0,5.0,,第1节,2.5,0.8,-2.5,0.87,120.5,0.83,120.5,0.83,120.5,,1.1,,9.0,15.0,0.0,1,0.0,16.0,0,,11094.0,1.25,0.0,"0.70,0.16"
79,44.0,5.0,,第1节,2.5,0.8,-2.5,0.87,120.5,0.83,120.5,0.83,120.5,,1.1,,9.0,15.0,0.0,1,0.0,7.0,0,,21077.0,1.25,0.0,
80,44.0,5.0,,第1节,2.5,0.87,-1.5,0.8,120.5,0.83,120.5,0.83,-1.5,,1.1,,9.0,15.0,0.0,1,0.0,7.0,0,,21077.0,1.25,0.0,
81,44.0,5.0,,第1节,1.5,0.87,-1.5,0.8,120.5,0.83,119.5,0.83,1.5,,1.1,,9.0,15.0,0.0,1,0.0,7.0,0,,21077.0,1.25,0.0,
82,44.0,5.0,,第1节,1.5,0.87,-1.5,0.8,119.5,0.83,119.5,0.83,119.5,,1.1,,9.0,15.0,0.0,1,0.0,7.0,0,,21077.0,1.25,0.0,
83,44.0,5.0,,第1节,1.5,0.87,-1.5,0.8,119.5,0.83,119.5,0.83,119.5,,1.1,,9.0,15.0,0.0,1,0.0,4.0,0,,21077.0,1.25,0.0,
84,44.0,5.0,,第1节,1.5,0.87,-1.5,0.8,119.5,0.83,119.5,0.83,119.5,,1.1,,9.0,15.0,0.0,1,0.0,4.0,0,,11077.0,1.25,0.0,
85,44.0,5.0,,第1节,1.5,0.87,-1.5,0.8,119.5,0.83,119.5,0.83,119.5,,1.1,,9.0,15.0,0.0,1,0.0,1.0,0,,11077.0,1.25,0.0,
86,44.0,5.0,,第1节,1.5,0.8,-2.5,0.87,119.5,0.83,119.5,0.83,-2.5,,1.1,,9.0,15.0,0.0,1,0.0,1.0,0,,11077.0,1.25,0.0,
87,44.0,5.0,,第1节,2.5,0.8,-2.5,0.87,119.5,0.83,119.5,0.83,2.5,,1.1,1.0,9.0,15.0,0.0,1,0.0,0.0,0,,1082.0,1.25,0.0,
88,44.0,5.0,,第2节,2.5,0.8,-2.5,0.87,119.5,0.83,119.5,0.83,2.5,,1.1,1.0,9.0,15.0,0.0,1,0.0,0.0,0,,1082.0,1.25,0.0,
89,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,119.5,0.83,119.5,0.83,2.5,,1.1,1.0,9.0,15.0,0.0,1,10.0,0.0,0,,1082.0,1.25,0.0,
90,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,119.5,0.83,119.5,0.83,2.5,2.0,1.1,,9.0,15.0,0.0,1,10.0,0.0,0,,1088.0,1.25,0.0,
91,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,119.5,0.83,119.5,0.83,2.5,2.0,1.1,,9.0,15.0,0.0,1,10.0,0.0,0,,11077.0,1.25,0.0,
92,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,119.5,0.83,119.5,0.83,2.5,2.0,1.1,,9.0,15.0,0.0,1,10.0,0.0,0,,11094.0,1.25,0.0,"0.74,0.72"
93,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,119.5,0.83,119.5,0.83,2.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,39.0,0,,21077.0,1.25,0.0,
94,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,118.5,0.83,118.5,0.83,118.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,39.0,0,,21077.0,1.25,0.0,
95,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,118.5,0.83,118.5,0.83,118.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,38.0,0,,21077.0,1.25,0.0,
96,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,38.0,0,,11077.0,1.25,0.0,
97,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,38.0,0,,11095.0,1.25,0.0,"0.89,0.61"
98,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,30.0,0,,21077.0,1.25,0.0,
99,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,30.0,0,,11077.0,1.25,0.0,
100,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,28.0,0,,11077.0,1.25,0.0,
101,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,28.0,0,,11094.0,1.25,0.0,"0.71,0.50"
102,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,22.0,0,,21077.0,1.25,0.0,
103,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,22.0,0,,11077.0,1.25,0.0,
104,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,117.5,0.83,117.5,0.83,117.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,7.0,0,,21077.0,1.25,0.0,
105,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,116.5,0.83,116.5,0.83,116.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,7.0,0,,21077.0,1.25,0.0,
106,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,116.5,0.83,116.5,0.83,116.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,3.0,0,,11077.0,1.25,0.0,
107,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,115.5,0.83,115.5,0.83,115.5,2.0,1.1,,9.0,15.0,0.0,1,9.0,3.0,0,,11077.0,1.25,0.0,
108,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,115.5,0.83,115.5,0.83,115.5,2.0,0.63,,9.0,15.0,0.0,1,9.0,3.0,0,,11077.0,1.25,0.0,
109,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,115.5,0.83,115.5,0.83,115.5,2.0,1.2,,9.0,15.0,0.0,1,8.0,54.0,0,,11077.0,1.25,0.0,
110,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,115.5,0.83,115.5,0.83,115.5,2.0,0.66,,9.0,15.0,0.0,1,8.0,54.0,0,,21077.0,1.25,0.0,
111,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,114.5,0.83,114.5,0.83,114.5,2.0,1.1,,9.0,15.0,0.0,1,8.0,54.0,0,,21077.0,1.25,0.0,
112,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,114.5,0.83,114.5,0.83,114.5,2.0,1.1,,9.0,15.0,0.0,1,8.0,32.0,0,,21077.0,1.25,0.0,
113,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,114.5,0.83,114.5,0.83,114.5,2.0,1.1,,9.0,15.0,0.0,1,8.0,32.0,0,,21094.0,1.25,0.0,"0.28,0.25"
114,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,114.5,0.83,114.5,0.83,114.5,2.0,0.63,,9.0,15.0,0.0,1,8.0,32.0,0,,11077.0,1.25,0.0,
115,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,114.5,0.83,114.5,0.83,114.5,2.0,1.2,,9.0,15.0,0.0,1,8.0,31.0,0,,11077.0,1.25,0.0,
116,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,114.5,0.83,114.5,0.83,114.5,2.0,1.2,,9.0,15.0,0.0,1,8.0,31.0,0,,11077.0,1.25,0.0,
117,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,114.5,0.83,114.5,0.83,114.5,2.0,1.2,,9.0,15.0,0.0,1,8.0,17.0,0,,11077.0,1.25,0.0,
118,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,114.5,0.83,114.5,0.83,114.5,2.0,1.2,,9.0,15.0,0.0,1,8.0,17.0,0,,11086.0,1.25,0.0,
119,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,113.5,0.83,113.5,0.83,113.5,2.0,1.2,,9.0,15.0,0.0,1,8.0,17.0,0,,21077.0,1.25,0.0,
120,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,113.5,0.83,113.5,0.83,113.5,2.0,0.66,,9.0,15.0,0.0,1,8.0,17.0,0,,21077.0,1.25,0.0,
121,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,113.5,0.83,113.5,0.83,113.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,57.0,0,,21077.0,1.25,0.0,
122,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,113.5,0.83,113.5,0.83,113.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,57.0,0,,21077.0,1.25,0.0,
123,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,113.5,0.83,113.5,0.83,113.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,50.0,0,,21077.0,1.25,0.0,
124,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,113.5,0.83,113.5,0.83,113.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,50.0,0,,21094.0,1.25,0.0,"0.37,0.51"
125,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,111.5,0.83,111.5,0.83,111.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,50.0,0,,11077.0,1.25,0.0,
126,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,111.5,0.83,111.5,0.83,111.5,2.0,0.63,,9.0,15.0,0.0,1,7.0,50.0,0,,11077.0,1.25,0.0,
127,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,111.5,0.83,111.5,0.83,111.5,2.0,1.2,,9.0,15.0,0.0,1,7.0,40.0,0,,11077.0,1.25,0.0,
128,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,111.5,0.83,111.5,0.83,111.5,2.0,0.66,,9.0,15.0,0.0,1,7.0,40.0,0,,11077.0,1.25,0.0,
129,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,111.5,0.83,111.5,0.83,111.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,40.0,0,,11094.0,1.25,0.0,"0.72,0.45"
130,44.0,5.0,第2节,第2节,2.5,0.8,-2.5,0.87,111.5,0.83,111.5,0.83,111.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,39.0,0,,21077.0,1.25,0.0,
131,44.0,5.0,第2节,第2节,2.5,0.87,-1.5,0.8,111.5,0.83,111.5,0.83,-1.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,39.0,0,,21077.0,1.25,0.0,
132,44.0,5.0,第2节,第2节,1.5,0.87,-1.5,0.8,111.5,0.83,111.5,0.83,1.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,39.0,0,,11086.0,1.25,0.0,
133,44.0,5.0,第2节,第2节,1.5,0.87,-1.5,0.8,111.5,0.83,111.5,0.83,1.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,39.0,0,,21077.0,1.25,0.0,
134,44.0,5.0,第2节,第2节,1.5,0.87,-1.5,0.8,111.5,0.83,111.5,0.83,1.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,39.0,0,,21094.0,1.25,0.0,"0.36,0.61"
135,44.0,5.0,第2节,第2节,1.5,0.87,-1.5,0.8,111.5,0.83,111.5,0.83,1.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,22.0,0,,11077.0,1.25,0.0,
136,44.0,5.0,第2节,第2节,1.5,0.83,-2.5,0.83,111.5,0.83,111.5,0.83,-2.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,22.0,0,,11077.0,1.25,0.0,
137,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,111.5,0.83,110.5,0.83,2.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,22.0,0,,11077.0,1.25,0.0,
138,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,110.5,0.83,110.5,0.83,110.5,2.0,1.1,,9.0,15.0,0.0,1,7.0,22.0,0,,11077.0,1.25,0.0,
139,44.0,5.0,第2节,第2节,2.5,0.83,-2.5,0.83,110.5,0.83,110.5,0.83,110.5,2.0,0.63,,9.0,15.0,0.0,1,7.0,22.0,0,,11077.0,1.25,0.0,
140,44.0,5.0,第2节,第2节,2.5,0.83,-4.5,0.83,110.5,0.83,110.5,0.83,-4.5,2.0,1.2,,9.0,15.0,0.0,1,7.0,22.0,0,,11077.0,1.25,0.0,
141,44.0,5.0,第2节,第2节,4.5,0.83,-4.5,0.83,110.5,0.83,112.5,0.83,4.5,2.0,1.2,,9.0,15.0,0.0,1,7.0,22.0,0,,11077.0,1.25,0.0,
