,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
48,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8,135.5,0.8695652173913043,16.0,0.5714285714285714,,52.0,53.0,0,1,7.0,24.0,1.0,20181017123434.0,21077.0,0.625,1.2
49,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8,135.5,0.8695652173913043,16.0,0.5263157894736842,,52.0,53.0,0,1,7.0,16.0,1.0,20181017123441.0,11077.0,0.625,1.2
50,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.7692307692307693,135.5,0.9090909090909091,16.0,0.5263157894736842,,52.0,53.0,0,1,7.0,7.0,1.0,20181017123449.0,11077.0,0.625,1.2
51,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.7692307692307693,135.5,0.9090909090909091,16.0,0.5714285714285714,,52.0,53.0,0,1,7.0,6.0,1.0,20181017123451.0,21077.0,0.625,1.2
52,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.5714285714285714,,52.0,53.0,0,1,6.0,57.0,1.0,20181017123459.0,21077.0,0.625,1.2
53,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.5555555555555556,,52.0,53.0,0,1,6.0,49.0,1.0,20181017123507.0,11077.0,0.625,1.2
54,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.5555555555555556,,52.0,53.0,0,1,6.0,48.0,1.0,20181017123508.0,11077.0,0.625,1.2
55,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.7692307692307693,135.5,0.9090909090909091,16.0,0.5555555555555556,,52.0,53.0,0,1,6.0,41.0,0.0,20181017123515.0,11077.0,0.625,1.2
56,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.7692307692307693,135.5,0.9090909090909091,16.0,0.5555555555555556,,52.0,53.0,0,1,6.0,41.0,1.0,20181017123538.0,11077.0,0.625,1.2
57,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.7692307692307693,135.5,0.9090909090909091,16.0,0.4166666666666667,^,54.0,53.0,0,1,6.0,35.0,1.0,20181017123544.0,11074^21077,0.625,1.2
58,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.4166666666666667,,54.0,53.0,0,1,6.0,31.0,1.0,20181017123548.0,21077.0,0.625,1.2
59,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.43478260869565216,,54.0,53.0,0,1,6.0,22.0,1.0,20181017123557.0,21077.0,0.625,1.2
60,,,4.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.3125,,54.0,53.0,0,1,6.0,17.0,1.0,20181017123602.0,11077.0,0.625,1.2
