,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
45,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,34.0,1.0,20181108015048.0,21077.0
46,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,26.0,1.0,20181108015057.0,21077.0
47,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,24.0,1.0,20181108015059.0,21094.0
48,4.0,30.5,0.0,-30.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,15.0,1.0,20181108015108.0,11077.0
49,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,7.0,1.0,20181108015116.0,21077.0
50,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,2.0,0.0,20181108015121.0,21077.0
51,4.0,28.5,0.0,-28.5,0.0,1.0,^,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,2.0,0.0,20181108015123.0,21074^11077
52,4.0,28.5,0.0,-28.5,0.0,1.0,,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,2.0,0.0,20181108015124.0,11077.0
53,4.0,28.5,0.0,-28.5,0.0,1.0,,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,1.0,0.0,20181108015124.0,11077.0
54,4.0,28.5,0.0,-28.5,0.0,1.0,,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,3.0,1.0,20181108015129.0,11077.0
55,4.0,28.5,0.0,-28.5,0.0,1.0,,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,0.0,0.0,20181108015133.0,11077.0
56,4.0,28.5,0.0,-28.5,0.0,1.0,,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,0.0,0.0,20181108015135.0,11077.0
57,4.0,28.5,0.0,-28.5,0.0,1.0,,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,0.0,0.0,20181108015135.0,1084.0
58,4.0,28.5,0.0,-28.5,0.0,1.0,,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,0.0,0.0,20181108015138.0,1084.0
59,4.0,28.5,0.0,-28.5,0.0,1.0,,10.0,8,9,12.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,64,0,1,0.0,0.0,0.0,20181108015138.0,1084.0
