,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S2,S2_a,S3,S3_a,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
59,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,45.0,1.0,20180721012842.0,11077.0
60,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,44.0,0.0,20180721012843.0,11077.0
61,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,44.0,0.0,20180721012843.0,11077.0
62,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,44.0,1.0,20180721012857.0,11077.0
63,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,44.0,1.0,20180721012857.0,11077.0
64,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,36.0,1.0,20180721012906.0,11077.0
65,,,,65.5,0.8,-65.5,0.87,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,36.0,1.0,20180721012906.0,11077.0
66,,,,65.5,0.8,-65.5,0.87,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,31.0,0.0,20180721012910.0,11077.0
67,,,,65.5,0.77,-65.5,0.91,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,31.0,0.0,20180721012910.0,11077.0
68,,,,65.5,0.77,-65.5,0.91,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,31.0,0.0,20180721012919.0,11077.0
69,,,,65.5,0.77,-65.5,0.91,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,1.0,1,4.0,31.0,0.0,20180721012919.0,21086.0
70,,,,65.5,0.77,-65.5,0.91,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,1.0,1,4.0,31.0,0.0,20180721012924.0,21086.0
71,,,,65.5,0.83,-65.5,0.91,134.5,0.83,134.5,0.83,-65.5,1:2,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,31.0,0.0,20180721012924.0,11078.0
