,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
33,,,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,31.0,0.0,20180721012903.0,21077.0,0.0,0.0
34,44.0,5.0,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,31.0,0.0,20180721012903.0,21077.0,0.0,0.0
35,44.0,5.0,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,31.0,0.0,20180721012908.0,21077.0,0.0,0.0
36,44.0,5.0,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,31.0,0.0,20180721012908.0,21081.0,0.0,0.0
37,,,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,31.0,0.0,20180721013142.0,21081.0,0.0,0.0
38,,,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,31.0,0.0,20180721013142.0,21077.0,0.0,0.0
39,,,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,31.0,1.0,20180721013149.0,21077.0,0.0,0.0
40,,,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,31.0,1.0,20180721013149.0,21077.0,0.0,0.0
41,,,,4.5,0.83,-4.5,0.83,145.5,0.77,145.5,0.91,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,23.0,1.0,20180721013157.0,21077.0,0.0,0.0
42,,,,4.5,0.83,-4.5,0.83,145.5,0.77,145.5,0.91,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,23.0,1.0,20180721013157.0,21077.0,0.0,0.0
43,,,,4.5,0.83,-4.5,0.83,144.5,0.83,145.5,0.83,144.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,16.0,1.0,20180721013203.0,21077.0,0.0,0.0
44,,,,5.5,0.83,-4.5,0.83,144.5,0.83,144.5,0.83,144.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,16.0,1.0,20180721013203.0,21077.0,0.0,0.0
45,,,,5.5,0.83,-5.5,0.83,144.5,0.83,144.5,0.83,5.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,16.0,1.0,20180721013203.0,21077.0,0.0,0.0
46,,,,5.5,0.83,-5.5,0.83,144.5,0.91,144.5,0.83,-5.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,16.0,1.0,20180721013203.0,11077.0,0.0,0.0
47,,,,5.5,0.83,-5.5,0.83,143.5,0.91,144.5,0.77,143.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,8.0,1.0,20180721013212.0,11077.0,0.0,0.0
48,,,,5.5,0.83,-5.5,0.83,143.5,0.91,143.5,0.77,143.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,8.0,1.0,20180721013212.0,11077.0,0.0,0.0
49,,,,5.5,0.83,-5.5,0.83,143.5,0.83,143.5,0.83,143.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,2.0,1.0,20180721013217.0,11077.0,0.0,0.0
50,,,,5.5,0.83,-5.5,0.83,143.5,0.83,143.5,0.83,143.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,2.0,1.0,20180721013217.0,11095.0,0.0,0.0
51,,,,4.5,0.83,-4.5,0.83,143.5,0.83,143.5,0.83,4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,2.0,1.0,20180721013218.0,21077.0,0.0,0.0
52,,,,4.5,0.83,-4.5,0.83,143.5,0.83,143.5,0.83,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,2.0,1.0,20180721013218.0,21077.0,0.0,0.0
53,,,,4.5,0.83,-4.5,0.83,142.5,0.87,143.5,0.8,142.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,6.0,54.0,1.0,20180721013226.0,21077.0,0.0,0.0
54,,,,4.5,0.83,-4.5,0.83,142.5,0.83,142.5,0.8,142.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,6.0,54.0,1.0,20180721013226.0,21077.0,0.0,0.0
55,,,,4.5,0.83,-4.5,0.83,145.5,0.83,142.5,0.83,145.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,47.0,1.0,20180721013232.0,21077.0,0.0,0.0
56,,,,2.5,0.83,-4.5,0.83,145.5,0.83,145.5,0.83,145.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,47.0,1.0,20180721013232.0,21077.0,0.0,0.0
57,,,,2.5,0.91,-2.5,0.83,145.5,0.83,145.5,0.83,2.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,47.0,1.0,20180721013232.0,21077.0,0.0,0.0
58,,,,2.5,0.91,-2.5,0.77,145.5,0.83,145.5,0.83,-2.5,^,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,47.0,1.0,20180721013233.0,21075^11077,0.0,0.0
59,,,,2.5,0.91,-2.5,0.77,144.5,0.91,145.5,0.77,144.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,47.0,1.0,20180721013233.0,11077.0,0.0,0.0
60,,,,2.5,0.91,-2.5,0.77,144.5,0.91,144.5,0.77,144.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,39.0,1.0,20180721013241.0,11077.0,0.0,0.0
61,,,,3.5,0.77,-3.5,0.77,144.5,0.91,144.5,0.77,3.5,,,6.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,59.0,56.0,0.0,1,6.0,39.0,1.0,20180721013241.0,11077.0,0.0,0.0
