,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,KC,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
34,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,137.5,0.8,137.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,52.0,1.0,20180925140417.0,21077.0,0.2857142857142857,2.5
35,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,43.0,1.0,20180925140425.0,21077.0,0.2857142857142857,2.5
36,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,40.0,1.0,20180925140428.0,21077.0,0.2857142857142857,2.5
37,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,34.0,0.0,20180925140435.0,21077.0,0.2857142857142857,2.5
38,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,34.0,0.0,20180925140437.0,21077.0,0.2857142857142857,2.5
39,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,34.0,1.0,20180925140445.0,21077.0,0.2857142857142857,2.5
40,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,34.0,1.0,20180925140446.0,11077.0,0.2857142857142857,2.5
41,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,33.0,1.0,20180925140446.0,11077.0,0.2857142857142857,2.5
42,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,136.5,0.8,136.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,25.0,1.0,20180925140454.0,11077.0,0.2857142857142857,2.5
43,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,134.5,0.8333333333333334,134.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,17.0,1.0,20180925140503.0,11077.0,0.2857142857142857,2.5
44,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,133.5,0.8333333333333334,133.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,9.0,0.0,20180925140510.0,11077.0,0.2857142857142857,2.5
45,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,133.5,0.8333333333333334,133.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,9.0,0.0,20180925140515.0,11077.0,0.2857142857142857,2.5
