,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
44,,,,第1节,-30.5,0.83,30.5,0.83,149.5,0.83,149.5,0.83,149.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,56.0,0,,11077.0,
45,,,,第1节,-30.5,0.83,30.5,0.83,149.5,0.83,149.5,0.83,149.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,56.0,0,,11077.0,
46,,,,第1节,-30.5,0.83,30.5,0.83,149.5,0.83,149.5,0.83,149.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,51.0,0,,11077.0,
47,,,,第1节,-30.5,0.83,30.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,51.0,0,,11077.0,
48,,,,第1节,-30.5,0.83,30.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,51.0,0,,11075.0,
49,,,,第1节,-30.5,0.83,30.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,51.0,0,,21077.0,
50,,,,第1节,-30.5,0.83,30.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,41.0,0,,21077.0,
51,,,,第1节,-30.5,0.83,28.5,0.83,148.5,0.83,148.5,0.83,28.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,41.0,0,,21077.0,
52,,,,第1节,-28.5,0.83,28.5,0.83,148.5,0.83,151.5,0.83,-28.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,41.0,0,,21077.0,
53,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,41.0,0,,21077.0,
54,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,37.0,0,,21077.0,
55,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,37.0,0,,21077.0,
56,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,27.0,0,,21077.0,
57,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,27.0,0,,11086.0,
58,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,27.0,0,,21077.0,
59,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,1.0,1,7.0,GD,27.0,0,,21077.0,
60,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,1.0,1,7.0,GD,27.0,0,,21077.0,
61,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,1.0,1,7.0,GD,27.0,0,,21077.0,
62,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,1.0,1,7.0,GD,27.0,0,,21077.0,
63,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,27.0,0,,21077.0,
64,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,27.0,0,,21077.0,
65,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,27.0,0,,21077.0,
66,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,3.0,0.0,1,7.0,GD,27.0,0,,21074.0,
67,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,3.0,0.0,1,7.0,GD,27.0,0,,11077.0,
68,,,,第1节,-28.5,0.83,28.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,3.0,0.0,1,7.0,GD,20.0,0,,11077.0,
69,,,,第1节,-28.5,0.83,29.5,0.83,150.5,0.83,150.5,0.83,29.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,3.0,0.0,1,7.0,GD,20.0,0,,11077.0,
70,,,,第1节,-29.5,0.83,29.5,0.83,150.5,0.83,152.5,0.83,-29.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,3.0,0.0,1,7.0,GD,20.0,0,,11077.0,
71,,,,第1节,-29.5,0.83,29.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,3.0,0.0,1,7.0,GD,20.0,0,,11077.0,
72,,,,第1节,-29.5,0.83,29.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,3.0,0.0,1,7.0,GD,17.0,0,,11077.0,
73,,,,第1节,-29.5,0.83,29.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,3.0,0.0,1,7.0,GD,17.0,0,,11075.0,
74,,,,第1节,-29.5,0.83,29.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,56.0,0,,21077.0,
75,,,,第1节,-29.5,0.83,27.5,0.83,152.5,0.83,152.5,0.83,27.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,56.0,0,,21077.0,
76,,,,第1节,-27.5,0.83,27.5,0.83,152.5,0.83,154.5,0.83,-27.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,56.0,0,,21077.0,
77,,,,第1节,-27.5,0.83,27.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,56.0,0,,21077.0,
78,,,,第1节,-27.5,0.83,27.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,9231132.0,,,,,,,,,,,,,,,8.0,6.0,0.0,1,6.0,GD,54.0,0,,21077.0,
