,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
50,,,,-12.5,0.87,12.5,0.8,139.5,0.83,139.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180721114725.0,21077.0,,0.0,0.0
51,,,,-12.5,0.87,12.5,0.8,139.5,0.83,139.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,43.0,1.0,20180721114733.0,21077.0,,0.0,0.0
52,,,,-12.5,0.87,12.5,0.8,139.5,0.83,139.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,43.0,1.0,20180721114733.0,21077.0,,0.0,0.0
53,,,,-11.5,0.8,11.5,0.8,139.5,0.83,139.5,0.83,-11.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,43.0,1.0,20180721114733.0,21077.0,,0.0,0.0
54,,,,-11.5,0.8,11.5,0.87,139.5,0.83,139.5,0.83,11.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,35.0,1.0,20180721114742.0,11077.0,,0.0,0.0
55,,,,-11.5,0.8,11.5,0.87,138.5,0.83,139.5,0.83,138.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,35.0,1.0,20180721114742.0,11077.0,,0.0,0.0
56,,,,-11.5,0.8,11.5,0.87,138.5,0.83,138.5,0.83,138.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,27.0,1.0,20180721114750.0,11077.0,,0.0,0.0
57,,,,-11.5,0.8,11.5,0.87,138.5,0.83,138.5,0.83,138.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,27.0,1.0,20180721114750.0,11077.0,,0.0,0.0
58,,,,-11.5,0.8,11.5,0.87,138.5,0.83,138.5,0.83,138.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,24.0,1.0,20180721114752.0,11077.0,,0.0,0.0
59,,,,-12.5,0.87,12.5,0.87,138.5,0.83,138.5,0.83,-12.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,24.0,1.0,20180721114752.0,11077.0,,0.0,0.0
60,,,,-12.5,0.87,12.5,0.8,138.5,0.83,138.5,0.83,12.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,24.0,1.0,20180721114752.0,21077.0,,0.0,0.0
61,,,,-12.5,0.87,12.5,0.8,140.5,0.83,138.5,0.83,140.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,8.0,1~GD,19.0,1.0,20180721114757.0,21077.0,,0.0,0.0
62,,,,-13.5,0.87,12.5,0.8,140.5,0.83,140.5,0.83,140.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,8.0,1~GD,19.0,1.0,20180721114757.0,21077.0,,0.0,0.0
63,,,,-13.5,0.83,13.5,0.8,140.5,0.83,140.5,0.83,-13.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,8.0,1~GD,19.0,1.0,20180721114757.0,21077.0,,0.0,0.0
64,,,,-13.5,0.83,13.5,0.83,140.5,0.8,140.5,0.83,13.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,8.0,1~GD,14.0,1.0,20180721114802.0,21074.0,,0.0,0.0
65,,,,-13.5,0.83,13.5,0.83,139.5,0.83,140.5,0.87,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,8.0,1~GD,14.0,1.0,20180721114802.0,11077.0,,0.0,0.0
66,,,,-13.5,0.83,13.5,0.83,139.5,0.83,139.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,8.0,1~GD,6.0,1.0,20180721114810.0,11077.0,,0.0,0.0
67,,,,-13.5,0.83,13.5,0.83,138.5,0.87,139.5,0.83,138.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,8.0,1~GD,6.0,1.0,20180721114810.0,11077.0,,0.0,0.0
68,,,,-13.5,0.83,13.5,0.83,138.5,0.87,138.5,0.8,138.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,7.0,1~GD,59.0,1.0,20180721114818.0,11077.0,,0.0,0.0
69,,,,-13.5,0.83,13.5,0.83,138.5,0.83,138.5,0.83,138.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,7.0,1~GD,59.0,1.0,20180721114818.0,21077.0,,0.0,0.0
70,,,,-13.5,0.83,13.5,0.83,138.5,0.83,138.5,0.83,138.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,7.0,1~GD,51.0,1.0,20180721114826.0,21077.0,,0.0,0.0
71,,,,-13.5,0.83,13.5,0.83,137.5,0.87,138.5,0.8,137.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,7.0,1~GD,51.0,1.0,20180721114826.0,21077.0,,0.0,0.0
72,,,,-13.5,0.83,13.5,0.83,137.5,0.87,137.5,0.8,137.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,7.0,1~GD,45.0,0.0,20180721114831.0,21077.0,,0.0,0.0
73,,,,-13.5,0.83,13.5,0.83,137.5,0.87,137.5,0.8,137.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,7.0,1~GD,45.0,0.0,20180721114831.0,21077.0,,0.0,0.0
74,,,,-13.5,0.83,13.5,0.83,137.5,0.87,137.5,0.8,137.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,7.0,1~GD,45.0,1.0,20180721114849.0,21077.0,,0.0,0.0
75,,,,-13.5,0.83,13.5,0.83,140.5,0.8,137.5,0.8,140.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,6.0,0.0,0.0,1,7.0,1~GD,45.0,1.0,20180721114849.0,21077.0,,0.0,0.0
76,,,,-13.5,0.83,13.5,0.83,140.5,0.8,140.5,0.87,140.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,8.0,0.0,0.0,1,7.0,1~GD,42.0,1.0,20180721114853.0,21077.0,,0.0,0.0
77,,,,-15.5,0.83,15.5,0.83,140.5,0.8,140.5,0.87,-15.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,8.0,0.0,0.0,1,7.0,1~GD,42.0,1.0,20180721114853.0,21077.0,,0.0,0.0
78,,,,-15.5,0.83,15.5,0.83,140.5,0.83,140.5,0.87,15.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,8.0,0.0,0.0,1,7.0,1~GD,42.0,1.0,20180721114853.0,21074.0,,0.0,0.0
79,,,,-15.5,0.83,15.5,0.83,139.5,0.83,140.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,8.0,0.0,0.0,1,7.0,1~GD,42.0,1.0,20180721114853.0,21074.0,,0.0,0.0
80,,,,-15.5,0.83,15.5,0.83,139.5,0.83,139.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,8.0,0.0,0.0,1,7.0,1~GD,38.0,1.0,20180721114857.0,21074.0,,0.0,0.0
