,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
70,,,,第1节,-1.5,0.91,1.5,0.77,141.5,0.83,141.5,0.83,-1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
71,,,,第1节,-1.5,0.71,-1.5,1.0,141.5,0.83,141.5,0.83,-1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
72,,,,第1节,1.5,0.83,-1.5,0.83,141.5,0.83,141.5,0.83,1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
73,,,,第1节,1.5,0.77,-1.5,0.91,141.5,0.83,141.5,0.83,1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
74,,,,第1节,1.5,0.83,-2.5,0.83,141.5,0.83,141.5,0.83,-2.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
75,,,,第1节,2.5,0.87,-2.5,0.8,141.5,0.83,141.5,0.83,2.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
76,,,,第1节,2.5,0.8,-3.5,0.87,141.5,0.83,141.5,0.83,-3.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
77,,,,第1节,3.5,0.83,-3.5,0.83,141.5,0.83,141.5,0.83,3.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
78,,,,第1节,3.5,0.8,-4.5,0.87,141.5,0.83,141.5,0.83,-4.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
79,,,,第1节,4.5,0.8,-4.5,0.83,141.5,0.83,141.5,0.83,4.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
80,,,,第1节,4.5,0.83,-3.5,0.83,141.5,0.83,141.5,0.83,-3.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
81,,,,第1节,3.5,0.8,-3.5,0.87,141.5,0.83,141.5,0.83,3.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
82,,,,第1节,3.5,0.83,-3.5,0.83,141.5,0.83,141.5,0.83,3.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
83,,,,第1节,3.5,0.8,-4.5,0.87,141.5,0.83,141.5,0.83,-4.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
84,,,,第1节,4.5,0.87,-4.5,0.8,141.5,0.83,141.5,0.83,4.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
85,,,,第1节,4.5,0.8,-5.5,0.87,141.5,0.83,141.5,0.83,-5.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
86,,,,第1节,5.5,0.83,-5.5,0.83,141.5,0.83,141.5,0.83,5.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
87,,,,第1节,5.5,0.87,-6.5,0.8,141.5,0.83,141.5,0.83,-6.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
88,,,,第1节,6.5,0.87,-6.5,0.83,141.5,0.83,141.5,0.83,6.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
89,,,,第1节,6.5,0.83,-7.5,0.83,141.5,0.83,141.5,0.83,-7.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
90,,,,第1节,7.5,0.8,-7.5,0.87,141.5,0.83,141.5,0.83,7.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
91,,,,第1节,7.5,0.87,-7.5,0.8,141.5,0.83,141.5,0.83,7.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
92,,,,第1节,7.5,0.8,-8.5,0.87,141.5,0.83,141.5,0.83,-8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
93,,,,第1节,8.5,0.83,-8.5,0.83,141.5,0.83,141.5,0.83,8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
94,,,,第1节,8.5,0.87,-8.5,0.8,141.5,0.83,141.5,0.83,8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
95,,,,第1节,8.5,0.83,-8.5,0.83,141.5,0.83,141.5,0.83,8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
96,,,,第1节,8.5,0.87,-8.5,0.8,141.5,0.83,141.5,0.83,8.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
97,,,,第1节,8.5,0.8,-10.5,0.87,141.5,0.83,141.5,0.83,-10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
98,,,,第1节,10.5,0.83,-10.5,0.83,141.5,0.83,141.5,0.83,10.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
99,,,,第1节,10.5,0.83,-11.5,0.83,141.5,0.83,141.5,0.83,-11.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
100,,,,第1节,11.5,0.83,-11.5,0.83,141.5,0.83,141.5,0.83,11.5,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,1.1,0.66,
101,,,,第1节,11.5,0.83,-11.5,0.83,141.5,0.83,141.5,0.83,11.5,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,1.1,0.66,
102,,,,第1节,11.5,0.83,-11.5,0.83,141.5,0.83,141.5,0.83,11.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
103,,,,第1节,11.5,0.8,-12.5,0.87,141.5,0.83,141.5,0.83,-12.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
104,,,,第1节,12.5,0.8,-12.5,0.83,141.5,0.83,141.5,0.83,12.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
105,,,,第1节,12.5,0.83,-11.5,0.83,141.5,0.83,141.5,0.83,-11.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
106,,,,第1节,11.5,0.83,-11.5,0.87,141.5,0.83,141.5,0.83,11.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
107,,,,第1节,11.5,0.8,-12.5,0.87,141.5,0.83,141.5,0.83,-12.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
108,,,,第1节,12.5,0.8,-12.5,0.83,141.5,0.83,141.5,0.83,12.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
109,,,,第1节,12.5,0.83,-11.5,0.83,141.5,0.83,141.5,0.83,-11.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
110,,,,第1节,11.5,0.83,-11.5,0.87,141.5,0.83,141.5,0.83,11.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
111,,,,第1节,11.5,0.8,-12.5,0.87,141.5,0.83,141.5,0.83,-12.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
112,,,,第1节,12.5,0.87,-12.5,0.8,141.5,0.83,141.5,0.83,12.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
113,,,,第1节,12.5,0.8,-13.5,0.87,141.5,0.83,141.5,0.83,-13.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
114,,,,第1节,13.5,0.8,-13.5,0.83,141.5,0.83,141.5,0.83,13.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
115,,,,第1节,13.5,0.83,-12.5,0.83,141.5,0.83,141.5,0.83,-12.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
