,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
27,,3.0,-24.5,0.8695652173913043,24.5,0.8,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,^,,7.0,5.0,5.0,13.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,56.0,0,1,7.0,44.0,1.0,20181019140657.0,21074^11077,0.004,17.0
28,,3.0,-25.5,0.9090909090909091,25.5,0.7692307692307693,159.5,0.8695652173913043,159.5,0.8,3.0,,,,7.0,5.0,5.0,13.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,56.0,0,1,7.0,37.0,1.0,20181019140705.0,21077.0,0.004,17.0
29,,3.0,-25.5,0.8,25.5,0.8695652173913043,162.5,0.8,162.5,0.8695652173913043,3.0,,^,,7.0,5.0,5.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,7.0,36.0,1.0,20181019140705.0,21074^11077,0.004,17.0
30,,3.0,-25.5,0.8,25.5,0.8695652173913043,161.5,0.8333333333333334,161.5,0.8333333333333334,3.0,,^,,7.0,5.0,5.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,7.0,28.0,1.0,20181019140714.0,21074^11077,0.004,17.0
31,,3.0,-25.5,0.8,25.5,0.8695652173913043,161.5,0.8,161.5,0.8695652173913043,3.0,,^,,7.0,5.0,5.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,7.0,20.0,1.0,20181019140722.0,21074^11077,0.004,17.0
32,,3.0,-25.5,0.8,25.5,0.8695652173913043,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,^,,7.0,5.0,5.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,7.0,11.0,1.0,20181019140730.0,21074^11077,0.004,17.0
33,,3.0,-25.5,0.8,25.5,0.8695652173913043,160.5,0.8,160.5,0.8695652173913043,3.0,,^,,7.0,5.0,5.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,7.0,9.0,0.0,20181019140733.0,21074^11077,0.004,17.0
34,,3.0,-26.5,0.8,26.5,0.8695652173913043,160.5,0.8,160.5,0.8695652173913043,3.0,,,,7.0,5.0,5.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,7.0,9.0,1.0,20181019140746.0,21077.0,0.004,17.0
35,,3.0,-26.5,0.8,26.5,0.8695652173913043,159.5,0.8333333333333334,159.5,0.8333333333333334,3.0,,,,7.0,5.0,5.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,7.0,0.0,1.0,20181019140755.0,21077.0,0.004,17.0
36,,3.0,-26.5,0.8,26.5,0.8695652173913043,158.5,0.8695652173913043,158.5,0.8,3.0,,,,7.0,5.0,5.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,6.0,52.0,1.0,20181019140803.0,21077.0,0.004,17.0
37,,3.0,-25.5,0.8,25.5,0.8695652173913043,158.5,0.8695652173913043,158.5,0.8,3.0,,^,,7.0,5.0,6.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,6.0,52.0,1.0,20181019140803.0,11077.0,0.004,17.0
38,,3.0,-25.5,0.8,25.5,0.8695652173913043,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,^,,7.0,5.0,6.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,6.0,41.0,1.0,20181019140814.0,11077.0,0.004,17.0
39,,3.0,-25.5,0.8,25.5,0.8695652173913043,159.5,0.8695652173913043,159.5,0.8,3.0,,^,,7.0,5.0,6.0,14.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,58.0,0,1,6.0,33.0,1.0,20181019140822.0,11077.0,0.004,17.0
40,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,162.5,0.8,162.5,0.8695652173913043,3.0,,^,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,38.0,60.0,0,1,6.0,31.0,1.0,20181019140824.0,21074^11077,0.004,17.0
41,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,161.5,0.8695652173913043,161.5,0.8,3.0,,^,,7.0,5.0,6.0,15.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,38.0,60.0,0,1,6.0,29.0,0.0,20181019140826.0,21074^11077,0.004,17.0
