,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
51,44.0,5.0,,第1节,9.5,0.87,-9.5,0.87,159.5,0.83,159.5,0.91,159.5,,1.0,9220022.0,,,0.0,0.0,5.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,,1,7.0,GD,11.0,0,,21081.0,,0.0,0.0,
52,44.0,5.0,,第1节,9.5,0.87,-9.5,0.87,159.5,0.83,159.5,0.91,159.5,,1.0,9220022.0,,,0.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,,1,7.0,GD,11.0,0,,21074.0,,0.0,0.0,"0.08,0.57"
53,44.0,5.0,,第1节,9.5,0.87,-9.5,0.87,159.5,0.83,159.5,0.91,159.5,,1.0,9220022.0,,,0.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,,1,6.0,GD,56.0,0,,11077.0,,0.0,0.0,
54,44.0,5.0,,第1节,9.5,0.91,-8.5,0.83,159.5,0.83,159.5,0.91,-8.5,,1.0,9220022.0,,,0.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,,1,6.0,GD,56.0,0,,11077.0,,0.0,0.0,
55,44.0,5.0,,第1节,8.5,0.91,-8.5,0.83,159.5,0.83,160.5,0.87,8.5,,1.0,9220022.0,,,0.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,,1,6.0,GD,56.0,0,,11077.0,,0.0,0.0,
56,44.0,5.0,,第1节,8.5,0.91,-8.5,0.83,160.5,0.87,160.5,0.87,160.5,,1.0,9220022.0,,,0.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,,1,6.0,GD,56.0,0,,11077.0,,0.0,0.0,
57,44.0,5.0,,第1节,8.5,0.91,-8.5,0.83,160.5,0.87,160.5,0.87,160.5,,1.0,9220022.0,,,0.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,,1,6.0,GD,32.0,0,,11077.0,,0.0,0.0,
58,44.0,5.0,,第1节,8.5,0.91,-8.5,0.83,160.5,0.87,160.5,0.87,160.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,13.0,10.0,0.0,,1,6.0,GD,32.0,0,,11075.0,,0.0,0.0,"0.73,0.28"
59,44.0,5.0,,第1节,8.5,0.91,-9.5,0.83,160.5,0.87,160.5,0.87,-9.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,13.0,10.0,0.0,,1,6.0,GD,32.0,0,,21077.0,,0.0,0.0,
60,44.0,5.0,,第1节,9.5,0.91,-9.5,0.83,160.5,0.87,161.5,0.83,9.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,13.0,10.0,0.0,,1,6.0,GD,32.0,0,,21077.0,,0.0,0.0,
61,44.0,5.0,,第1节,9.5,0.91,-9.5,0.83,161.5,0.91,161.5,0.83,161.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,13.0,10.0,0.0,,1,6.0,GD,32.0,0,,21077.0,,0.0,0.0,
62,44.0,5.0,,第1节,9.5,0.91,-9.5,0.83,161.5,0.91,161.5,0.83,161.5,,1.0,9220022.0,,,1.0,0.0,5.0,2.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,,1,6.0,GD,32.0,0,,21077.0,,0.0,0.0,
