,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
154,,,,第1节,148.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.8,,,1.0,1.0,0.0,5.0,3.0,0.0,5.0,10.0,0.0,1,4.0,GD,19.0,0,,11077.0,0.77,0.91,
155,,,,第1节,146.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,146.5,1.0,0.87,,,1.0,1.0,0.0,5.0,3.0,0.0,5.0,10.0,0.0,1,4.0,GD,19.0,0,,11077.0,0.77,0.91,
156,,,,第1节,146.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,146.5,1.0,0.87,,,1.0,1.0,0.0,5.0,3.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11077.0,0.77,0.91,
157,,,,第1节,146.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,146.5,1.0,0.87,,,1.0,1.0,0.0,5.0,3.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11095.0,0.77,0.91,"0.92,0.61"
158,,,,第1节,146.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,146.5,1.0,0.83,,,1.0,1.0,0.0,5.0,3.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,21077.0,0.77,0.91,
159,,,,第1节,146.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,146.5,1.0,0.83,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,21086.0,0.77,0.91,
160,,,,第1节,-4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-4.5,1.0,0.83,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11077.0,0.77,0.91,
161,,,,第1节,4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,4.5,1.0,0.47,1:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11078.0,0.77,0.91,
162,,,,第1节,-5.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-5.5,1.0,0.0,1:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11078.0,0.77,0.91,
163,,,,第1节,5.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,0.0,1:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11078.0,0.77,0.91,
164,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,1:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11078.0,0.77,0.91,
165,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,0.0,1:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11078.0,0.77,0.91,
166,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,1.7,1:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,1,4.0,GD,14.0,0,,11079.0,0.77,0.91,"0.79,0.50"
167,,,,第1节,147.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,147.5,1.0,1.7,2:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,14.0,0,,11078.0,0.77,0.91,"0.79,0.50"
168,,,,第1节,148.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,1.7,2:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,14.0,0,,11078.0,0.77,0.91,"0.79,0.50"
169,,,,第1节,148.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.0,2:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,14.0,0,,11078.0,0.77,0.91,"0.79,0.50"
170,,,,第1节,148.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,1.75,2:2,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,14.0,0,,11080.0,0.77,0.91,"0.79,0.50"
171,,,,第1节,-4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-4.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,14.0,0,,21077.0,0.77,0.91,
172,,,,第1节,4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,4.5,1.0,0.87,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,14.0,0,,21077.0,0.77,0.91,
173,,,,第1节,4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,4.5,1.0,0.0,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,14.0,0,,21077.0,0.77,0.91,
174,,,,第1节,4.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,4.5,1.0,0.0,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,13.0,0,,21077.0,0.77,0.91,
175,,,,第1节,-5.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-5.5,1.0,0.87,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,13.0,0,,11077.0,0.77,0.91,
176,,,,第1节,5.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,5.5,1.0,0.8,,,1.0,1.0,0.0,5.0,4.0,0.0,5.0,11.0,0.0,1,4.0,GD,13.0,0,,11077.0,0.77,0.91,
