,AM,AS,CB,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,MD,MS,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,VI,WA_ODD,WH_ODD
477,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8695652173913043,-2.5,0.8,192.5,0.8,192.5,0.8695652173913043,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,0.0,100.0,58.8,74.0,76.0,0,1,9.0,42.0,1.0,20181028155044.0,11077.0,1.0,1.55,0.47619047619047616
478,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8695652173913043,-2.5,0.8,191.5,0.8333333333333334,191.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,0.0,100.0,58.8,74.0,76.0,0,1,9.0,33.0,1.0,20181028155053.0,11077.0,1.0,1.55,0.47619047619047616
479,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8695652173913043,-2.5,0.8,190.5,0.8695652173913043,190.5,0.8,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,0.0,100.0,58.8,74.0,76.0,0,1,9.0,25.0,0.0,20181028155101.0,11077.0,1.0,1.55,0.47619047619047616
480,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8695652173913043,-2.5,0.8,190.5,0.8695652173913043,190.5,0.8,1.0,17.0,3.0,10540588.0,^,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,74.0,76.0,0,1,9.0,25.0,0.0,20181028155103.0,21086^11077,1.0,1.55,0.47619047619047616
481,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8695652173913043,-2.5,0.8,190.5,0.8695652173913043,190.5,0.8,1.0,17.0,3.0,10540588.0,^,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,74.0,76.0,0,1,9.0,25.0,1.0,20181028155113.0,21086^11077,1.0,1.55,0.47619047619047616
482,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8695652173913043,-2.5,0.8,190.5,0.8,190.5,0.8695652173913043,1.0,17.0,3.0,10540588.0,^,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,74.0,76.0,0,1,9.0,16.0,1.0,20181028155122.0,21086^11077,1.0,1.55,0.47619047619047616
483,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,190.5,0.7692307692307693,190.5,0.9090909090909091,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,74.0,76.0,0,1,9.0,15.0,1.0,20181028155124.0,21077.0,1.0,1.4,0.5263157894736842
484,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,189.5,0.8333333333333334,189.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,74.0,76.0,0,1,9.0,6.0,1.0,20181028155133.0,21077.0,1.0,1.4,0.5263157894736842
485,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,189.5,0.8,189.5,0.8695652173913043,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,74.0,76.0,0,1,9.0,4.0,1.0,20181028155134.0,11077.0,1.0,1.5,0.5
486,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,188.5,0.8333333333333334,188.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,,0.0,1.0,10.0,10.0,16.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,74.0,76.0,0,1,8.0,55.0,1.0,20181028155143.0,11077.0,1.0,1.5,0.5
