,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
31,4.0,-8.5,0.0,8.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,50.0,1.0,20181019163555.0,11077.0
32,4.0,-8.5,0.0,8.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,41.0,1.0,20181019163610.0,11077.0
33,4.0,-8.5,0.0,8.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,33.0,1.0,20181019163618.0,11077.0
34,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,28.0,1.0,20181019163624.0,21077.0
35,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,19.0,1.0,20181019163632.0,21077.0
36,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,11.0,1.0,20181019163640.0,21077.0
37,4.0,-10.5,0.0,10.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,5.0,0.0,20181019163646.0,21077.0
38,4.0,-9.5,0.0,9.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,5.0,0.0,20181019163648.0,11077.0
39,4.0,-9.5,0.0,9.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,0.0,0.0,20181019163652.0,11077.0
40,4.0,-9.5,0.0,9.5,0.0,3.0,,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,10.0,1.0,20181019163655.0,11077.0
