,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1,S2,S3,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
77,,,,第1节,36.5,0.83,-36.5,0.83,172.5,0.83,172.5,0.83,36.5,1.0,9241317.0,,,,,,,,,9.0,9.0,0.0,1,5.0,GD,30.0,1.0,20180702183718.0,21077.0,
78,,,,第1节,36.5,0.83,-36.5,0.83,172.5,0.83,172.5,0.83,36.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,21077.0,
79,,,,第1节,36.5,0.83,-36.5,0.83,172.5,0.83,172.5,0.83,36.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,21077.0,
80,,,,第1节,36.5,0.83,-36.5,0.83,172.5,0.83,172.5,0.83,36.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,21077.0,
81,,,,第1节,36.5,0.83,-36.5,0.83,163.5,0.83,163.5,0.83,163.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,21077.0,
82,,,,第1节,36.5,0.83,-36.5,0.8,163.5,0.83,163.5,0.83,163.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,21077.0,
83,,,,第1节,36.5,0.87,-35.5,0.8,163.5,0.83,163.5,0.83,-35.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,21077.0,
84,,,,第1节,35.5,0.87,-35.5,0.8,163.5,0.83,163.5,0.83,35.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,21074.0,
85,,,,第1节,35.5,0.87,-35.5,0.8,163.5,0.83,163.5,0.83,35.5,1.0,9241317.0,,,,,,,,,11.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,11077.0,
86,,,,第1节,35.5,0.87,-35.5,0.8,165.5,0.83,165.5,0.83,165.5,1.0,9241317.0,,,,,,,,,11.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,11077.0,
87,,,,第1节,35.5,0.87,-35.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,9241317.0,,,,,,,,,11.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,11077.0,
88,,,,第1节,35.5,0.83,-34.5,0.83,165.5,0.83,165.5,0.83,-34.5,1.0,9241317.0,,,,,,,,,11.0,9.0,1.0,1,5.0,GD,30.0,1.0,20180702183718.0,11077.0,
89,,,,第1节,34.5,0.83,-34.5,0.83,165.5,0.83,165.5,0.83,34.5,1.0,9241317.0,,,,,,,,,11.0,9.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11077.0,
90,,,,第1节,34.5,0.83,-34.5,0.83,165.5,0.83,165.5,0.83,34.5,1.0,9241317.0,,,,,,,,,11.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
91,,,,第1节,34.5,0.83,-34.5,0.83,167.5,0.83,167.5,0.83,167.5,1.0,9241317.0,,,,,,,,,11.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
92,,,,第1节,34.5,0.83,-34.5,0.83,167.5,0.83,167.5,0.83,167.5,1.0,9241317.0,,,,,,,,,11.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
93,,,,第1节,34.5,0.83,-35.5,0.83,167.5,0.83,167.5,0.83,-35.5,1.0,9241317.0,,,,,,,,,11.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
94,,,,第1节,35.5,0.83,-35.5,0.83,167.5,0.83,167.5,0.83,35.5,1.0,9241317.0,,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,21074.0,
95,,,,第1节,35.5,0.83,-35.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,9241317.0,,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,21074.0,
96,,,,第1节,35.5,0.83,-35.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,9241317.0,,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,21074.0,
97,,,,第1节,35.5,0.83,-34.5,0.83,170.5,0.83,170.5,0.83,-34.5,1.0,9241317.0,,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,21074.0,
98,,,,第1节,34.5,0.83,-34.5,0.83,170.5,0.83,171.5,0.83,34.5,1.0,9241317.0,1:2,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11078.0,
99,,,,第1节,34.5,0.83,-34.5,0.83,171.5,0.83,171.5,0.83,171.5,1.0,9241317.0,1:2,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11078.0,
100,,,,第1节,34.5,0.83,-34.5,0.83,171.5,0.83,171.5,0.83,171.5,1.0,9241317.0,1:2,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11078.0,
101,,,,第1节,34.5,0.83,-35.5,0.83,171.5,0.83,171.5,0.83,-35.5,1.0,9241317.0,1:2,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11078.0,
102,,,,第1节,35.5,0.83,-35.5,0.83,171.5,0.83,171.5,0.83,35.5,1.0,9241317.0,1:2,,,,,,,,13.0,11.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11079.0,
103,,,,第1节,35.5,0.83,-35.5,0.83,171.5,0.83,171.5,0.83,35.5,1.0,9241317.0,2:2,,,,,,,,13.0,12.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11078.0,
104,,,,第1节,35.5,0.83,-35.5,0.83,171.5,0.83,171.5,0.83,35.5,1.0,9241317.0,2:2,,,,,,,,13.0,12.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11079.0,
105,,,,第1节,35.5,0.83,-35.5,0.83,171.5,0.83,171.5,0.83,35.5,1.0,9241317.0,2:2,,,,,,,,13.0,13.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11079.0,
106,,,,第1节,35.5,0.83,-35.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,9241317.0,2:2,,,,,,,,13.0,13.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11079.0,
107,,,,第1节,35.5,0.83,-35.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,9241317.0,,,,,,,,,13.0,13.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,21077.0,
108,,,,第1节,35.5,0.83,-35.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
109,,,,第1节,35.5,0.8,-36.5,0.87,172.5,0.83,172.5,0.83,-36.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
110,,,,第1节,36.5,0.8,-36.5,0.87,172.5,0.83,175.5,0.83,36.5,1.0,9241317.0,,,,,,,,,13.0,15.0,1.0,1,3.0,GD,46.0,0.0,20180702183718.0,11074.0,
