,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,KI,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
77,,,,第1节,7.5,0.83,-7.5,0.83,120.5,0.83,120.5,0.83,120.5,"#0A0A0A,#0A0A0A,#0A0A0A,#0A0A0A,#FF0000,#0000FF,#3D4A4E",0.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#0A0A0A,1,6.0,GD,20.0,0,,11077.0,0.0,0.0
78,,,,第1节,7.5,0.83,-7.5,0.83,120.5,0.83,120.5,0.83,120.5,"#0A0A0A,#0A0A0A,#0A0A0A,#0A0A0A,#FF0000,#0000FF,#3D4A4E",0.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#0A0A0A,1,6.0,GD,7.0,0,,11077.0,0.0,0.0
79,,,,第1节,7.5,0.83,-7.5,0.83,120.5,0.83,120.5,0.83,120.5,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#F0F0F0,1,6.0,GD,7.0,0,,11077.0,0.0,0.0
80,,,,第1节,7.5,0.87,-6.5,0.8,120.5,0.83,120.5,0.83,-6.5,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#F0F0F0,1,6.0,GD,7.0,0,,21077.0,0.0,0.0
81,,,,第1节,6.5,0.87,-6.5,0.8,120.5,0.83,119.5,0.83,6.5,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#F0F0F0,1,6.0,GD,7.0,0,,21077.0,0.0,0.0
82,,,,第1节,6.5,0.87,-6.5,0.8,119.5,0.83,119.5,0.83,119.5,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#F0F0F0,1,6.0,GD,7.0,0,,21077.0,0.0,0.0
83,44.0,5.0,,第1节,6.5,0.87,-6.5,0.8,119.5,0.83,119.5,0.83,119.5,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#F0F0F0,1,5.0,GD,51.0,0,,21081.0,0.0,0.0
84,44.0,5.0,,第1节,6.5,0.8,-7.5,0.87,119.5,0.83,119.5,0.83,-7.5,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#F0F0F0,1,5.0,GD,51.0,0,,11077.0,0.0,0.0
85,44.0,5.0,,第1节,7.5,0.8,-7.5,0.87,119.5,0.83,118.5,0.83,7.5,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#F0F0F0,1,5.0,GD,51.0,0,,11077.0,0.0,0.0
86,44.0,5.0,,第1节,7.5,0.8,-7.5,0.87,118.5,0.83,118.5,0.83,118.5,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FF0000,#0000FF,#3D4A4E",1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#F0F0F0,1,5.0,GD,51.0,0,,11077.0,0.0,0.0
