,AM,AS,CB,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
10,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721034033.0,21077.0,,0.0,0.0
11,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,57.0,1.0,20180721034036.0,21077.0,,0.0,0.0
12,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,152.5,0.83,153.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,57.0,1.0,20180721034036.0,21077.0,,0.0,0.0
13,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180721034044.0,21077.0,,0.0,0.0
14,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,152.5,0.8,152.5,0.87,152.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180721034044.0,21077.0,,0.0,0.0
15,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,152.5,0.8,152.5,0.87,152.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,41.0,1.0,20180721034052.0,21077.0,,0.0,0.0
16,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,151.5,0.83,152.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,41.0,1.0,20180721034052.0,21077.0,,0.0,0.0
17,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,37.0,1.0,20180721034056.0,21077.0,,0.0,0.0
18,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,37.0,1.0,20180721034056.0,21095.0,,0.0,0.0
19,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,29.0,1.0,20180721034104.0,11077.0,,0.0,0.0
20,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,150.5,0.83,151.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,29.0,1.0,20180721034104.0,11077.0,,0.0,0.0
21,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,21.0,1.0,20180721034113.0,11077.0,,0.0,0.0
22,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,149.5,0.87,150.5,0.8,149.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,21.0,1.0,20180721034113.0,11077.0,,0.0,0.0
23,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,149.5,0.87,149.5,0.8,149.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,14.0,1.0,20180721034119.0,11077.0,,0.0,0.0
24,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,149.5,0.87,149.5,0.8,149.5,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,14.0,1.0,20180721034119.0,11095.0,,0.0,0.0
25,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,152.5,0.8,149.5,0.87,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1,9.0,1~GD,10.0,1.0,20180721034122.0,11077.0,,0.0,0.0
26,,,ASCACNGUHKMOMPPRTWUSVI,,,-12.5,0.83,13.5,0.83,152.5,0.8,152.5,0.87,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1,9.0,1~GD,10.0,1.0,20180721034122.0,11077.0,,0.0,0.0
27,,,ASCACNGUHKMOMPPRTWUSVI,,,-12.5,0.8,12.5,0.83,152.5,0.8,152.5,0.87,-12.5,,9449746.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1,9.0,1~GD,10.0,1.0,20180721034122.0,11077.0,,0.0,0.0
28,,,ASCACNGUHKMOMPPRTWUSVI,,,-12.5,0.8,12.5,0.87,152.5,0.8,152.5,0.87,12.5,,9449746.0,^,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1,9.0,1~GD,10.0,1.0,20180721034122.0,11074^21077,,0.0,0.0
29,,,ASCACNGUHKMOMPPRTWUSVI,,,-12.5,0.8,12.5,0.87,151.5,0.83,152.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1,9.0,1~GD,10.0,1.0,20180721034122.0,21077.0,,0.0,0.0
30,,,ASCACNGUHKMOMPPRTWUSVI,,,-12.5,0.8,12.5,0.87,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1,9.0,1~GD,2.0,1.0,20180721034131.0,21077.0,,0.0,0.0
31,,,ASCACNGUHKMOMPPRTWUSVI,,,-12.5,0.8,12.5,0.87,153.5,0.83,151.5,0.83,153.5,,9449746.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1,9.0,1~GD,2.0,1.0,20180721034131.0,21077.0,,0.0,0.0
32,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,12.5,0.87,153.5,0.83,153.5,0.83,153.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,54.0,1.0,20180721034138.0,21077.0,,0.0,0.0
33,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.87,153.5,0.83,153.5,0.83,-13.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,54.0,1.0,20180721034138.0,21077.0,,0.0,0.0
34,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,13.5,,9449746.0,^,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,54.0,1.0,20180721034138.0,21074^11077,,0.0,0.0
35,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,152.5,0.83,153.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,54.0,1.0,20180721034138.0,11077.0,,0.0,0.0
36,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,46.0,1.0,20180721034147.0,11077.0,,0.0,0.0
37,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,151.5,0.87,152.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,46.0,1.0,20180721034147.0,11077.0,,0.0,0.0
38,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,151.5,0.87,151.5,0.8,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,38.0,1.0,20180721034155.0,11077.0,,0.0,0.0
39,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,151.5,0.83,151.5,0.8,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,38.0,1.0,20180721034155.0,21077.0,,0.0,0.0
40,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,30.0,1.0,20180721034203.0,21077.0,,0.0,0.0
41,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,153.5,0.8,151.5,0.87,153.5,,9449746.0,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1,8.0,1~GD,30.0,1.0,20180721034203.0,21077.0,,0.0,0.0
42,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.83,153.5,0.8,153.5,0.87,153.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,22.0,1.0,20180721034210.0,21077.0,,0.0,0.0
43,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,153.5,0.8,153.5,0.87,153.5,,9449746.0,^,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,22.0,1.0,20180721034210.0,21074^11077,,0.0,0.0
44,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,153.5,0.8,153.5,0.87,153.5,,9449746.0,^,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,22.0,1.0,20180721034211.0,21074^11077,,0.0,0.0
45,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,152.5,0.83,153.5,0.87,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,22.0,1.0,20180721034211.0,11077.0,,0.0,0.0
46,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,14.0,1.0,20180721034219.0,11077.0,,0.0,0.0
47,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,14.0,1.0,20180721034219.0,11077.0,,0.0,0.0
48,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,12.0,0.0,20180721034221.0,11077.0,,0.0,0.0
49,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,12.0,0.0,20180721034221.0,11077.0,,0.0,0.0
50,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,12.0,0.0,20180721034228.0,11077.0,,0.0,0.0
51,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,152.5,0.83,152.5,0.83,152.5,,9449746.0,^,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,12.0,0.0,20180721034228.0,21086^11077,,0.0,0.0
52,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,152.5,0.83,152.5,0.83,152.5,,9449746.0,^,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,12.0,1.0,20180721034242.0,21086^11077,,0.0,0.0
53,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,151.5,0.83,152.5,0.83,151.5,,9449746.0,^,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,12.0,1.0,20180721034242.0,21086^11077,,0.0,0.0
54,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.8,13.5,0.87,151.5,0.83,151.5,0.83,151.5,,9449746.0,^,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,6.0,1.0,20180721034248.0,21086^11077,,0.0,0.0
55,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.87,151.5,0.83,151.5,0.83,-14.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,8.0,1~GD,6.0,1.0,20180721034248.0,11095.0,,0.0,0.0
56,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,151.5,0.83,151.5,0.83,14.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,58.0,1.0,20180721034256.0,21077.0,,0.0,0.0
57,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.83,151.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,58.0,1.0,20180721034256.0,21077.0,,0.0,0.0
58,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,50.0,1.0,20180721034304.0,21077.0,,0.0,0.0
59,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,50.0,1.0,20180721034304.0,21077.0,,0.0,0.0
60,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,48.0,1.0,20180721034305.0,21077.0,,0.0,0.0
61,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,48.0,1.0,20180721034305.0,21095.0,,0.0,0.0
62,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,47.0,1.0,20180721034306.0,21077.0,,0.0,0.0
63,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,47.0,1.0,20180721034306.0,21095.0,,0.0,0.0
64,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,47.0,1.0,20180721034307.0,21095.0,,0.0,0.0
65,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.8,150.5,0.87,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,47.0,1.0,20180721034307.0,21077.0,,0.0,0.0
66,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.8,150.5,0.87,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,45.0,1.0,20180721034308.0,21077.0,,0.0,0.0
67,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,150.5,0.8,150.5,0.87,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,45.0,1.0,20180721034308.0,21095.0,,0.0,0.0
68,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,152.5,0.83,150.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,1,7.0,1~GD,45.0,1.0,20180721034308.0,21077.0,,0.0,0.0
69,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.87,14.5,0.8,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,43.0,1.0,20180721034310.0,21077.0,,0.0,0.0
70,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,152.5,0.83,152.5,0.83,152.5,,9449746.0,^,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,43.0,1.0,20180721034310.0,21074^11077,,0.0,0.0
71,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,151.5,0.83,152.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,43.0,1.0,20180721034310.0,11077.0,,0.0,0.0
72,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,35.0,1.0,20180721034318.0,11077.0,,0.0,0.0
73,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,35.0,1.0,20180721034318.0,11077.0,,0.0,0.0
74,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,30.0,1.0,20180721034323.0,11077.0,,0.0,0.0
75,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,151.5,0.83,151.5,0.83,151.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,30.0,1.0,20180721034323.0,11095.0,,0.0,0.0
76,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,150.5,0.83,151.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,22.0,0.0,20180721034331.0,21077.0,,0.0,0.0
77,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,22.0,0.0,20180721034331.0,21077.0,,0.0,0.0
78,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,150.5,0.83,150.5,0.83,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,22.0,1.0,20180721034346.0,21077.0,,0.0,0.0
79,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,150.5,0.8,150.5,0.87,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,22.0,1.0,20180721034346.0,21077.0,,0.0,0.0
80,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,150.5,0.8,150.5,0.87,150.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,14.0,1.0,20180721034354.0,21077.0,,0.0,0.0
81,,,ASCACNGUHKMOMPPRTWUSVI,,,-14.5,0.83,14.5,0.83,153.5,0.83,150.5,0.87,153.5,,9449746.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,1,7.0,1~GD,14.0,1.0,20180721034354.0,21077.0,,0.0,0.0
82,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,14.5,0.83,153.5,0.83,153.5,0.83,153.5,,9449746.0,,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,13.0,1.0,20180721034354.0,21077.0,,0.0,0.0
83,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,153.5,0.83,153.5,0.83,-15.5,,9449746.0,,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,13.0,1.0,20180721034354.0,21077.0,,0.0,0.0
84,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,153.5,0.83,153.5,0.83,15.5,,9449746.0,^,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,13.0,1.0,20180721034355.0,21075^11077,,0.0,0.0
85,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,152.5,0.83,153.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,13.0,1.0,20180721034355.0,11077.0,,0.0,0.0
86,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,5.0,1.0,20180721034403.0,11077.0,,0.0,0.0
87,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,5.0,1.0,20180721034403.0,11077.0,,0.0,0.0
88,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,0.0,20180721034407.0,11077.0,,0.0,0.0
89,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,0.0,20180721034407.0,11077.0,,0.0,0.0
90,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,152.5,0.83,152.5,0.83,152.5,,9449746.0,,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,0.0,20180721034408.0,11077.0,,0.0,0.0
91,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,153.5,0.83,152.5,0.83,153.5,,9449746.0,^,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,0.0,20180721034408.0,21086^11077,,0.0,0.0
92,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,153.5,0.83,153.5,0.83,153.5,,9449746.0,^,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,0.0,20180721034410.0,21086^11077,,0.0,0.0
93,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,154.5,0.83,153.5,0.83,154.5,,9449746.0,1:2,,,,,,,,,,,,,,2.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,0.0,20180721034410.0,11078.0,,0.0,0.0
94,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,154.5,0.83,154.5,0.83,154.5,,9449746.0,1:2,,,,,,,,,,,,,,3.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,0.0,20180721034433.0,11078.0,,0.0,0.0
95,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.87,15.5,0.8,153.5,0.83,154.5,0.83,153.5,,9449746.0,1:2^2:2,,,,,,,,,,,,,,3.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,0.0,20180721034433.0,11079^11078,,0.0,0.0
96,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.8,153.5,0.83,153.5,0.83,153.5,,9449746.0,1:2^2:2,,,,,,,,,,,,,,3.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,1.0,20180721034448.0,11079^11078,,0.0,0.0
97,,,ASCACNGUHKMOMPPRTWUSVI,,,-15.5,0.83,15.5,0.83,153.5,0.83,153.5,0.83,153.5,,9449746.0,2:2^,,,,,,,,,,,,,,3.0,9.0,0.0,0.0,1,7.0,1~GD,1.0,1.0,20180721034448.0,11080^21077,,0.0,0.0
