,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
70,,,,第1节,-5.5,0.87,5.5,0.8,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,7.0,2.0,0.0,1,7.0,GD,44.0,0,,11077.0,,0.0,0.0
71,,,,第1节,-5.5,0.83,5.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,8804222.0,,7.0,2.0,0.0,1,7.0,GD,44.0,0,,21077.0,,0.0,0.0
72,,,,第1节,-5.5,0.83,5.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,8804222.0,,7.0,2.0,0.0,1,7.0,GD,44.0,0,,21075.0,,0.0,0.0
73,,,,第1节,-5.5,0.83,5.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,8804222.0,,10.0,2.0,0.0,1,7.0,GD,44.0,0,,11077.0,,0.0,0.0
74,,,,第1节,-5.5,0.83,5.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,8804222.0,,10.0,2.0,0.0,1,7.0,GD,26.0,0,,11077.0,,0.0,0.0
75,,,,第1节,-5.5,0.83,7.5,0.83,153.5,0.83,153.5,0.83,7.5,1.0,8804222.0,,10.0,2.0,0.0,1,7.0,GD,26.0,0,,11077.0,,0.0,0.0
76,,,,第1节,-7.5,0.83,7.5,0.83,153.5,0.83,156.5,0.83,-7.5,1.0,8804222.0,,10.0,2.0,0.0,1,7.0,GD,26.0,0,,11077.0,,0.0,0.0
77,,,,第1节,-7.5,0.83,7.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,10.0,2.0,0.0,1,7.0,GD,26.0,0,,11077.0,,0.0,0.0
78,,,,第1节,-7.5,0.83,7.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,10.0,2.0,0.0,1,7.0,GD,23.0,0,,11077.0,,0.0,0.0
79,,,,第1节,-7.5,0.83,7.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,10.0,2.0,0.0,1,7.0,GD,23.0,0,,11074.0,,0.0,0.0
80,,,,第1节,-7.5,0.83,7.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,10.0,4.0,0.0,1,7.0,GD,23.0,0,,21077.0,,0.0,0.0
81,,,,第1节,-7.5,0.83,7.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,10.0,4.0,0.0,1,7.0,GD,7.0,0,,21077.0,,0.0,0.0
82,,,,第1节,-7.5,0.8,5.5,0.87,156.5,0.83,156.5,0.83,5.5,1.0,8804222.0,,10.0,4.0,0.0,1,7.0,GD,7.0,0,,21077.0,,0.0,0.0
83,,,,第1节,-5.5,0.8,5.5,0.87,156.5,0.83,157.5,0.83,-5.5,1.0,8804222.0,,10.0,4.0,0.0,1,7.0,GD,7.0,0,,21077.0,,0.0,0.0
84,,,,第1节,-5.5,0.8,5.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,10.0,4.0,0.0,1,7.0,GD,7.0,0,,21077.0,,0.0,0.0
85,,,,第1节,-5.5,0.8,5.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,10.0,4.0,0.0,1,7.0,GD,4.0,0,,21077.0,,0.0,0.0
86,,,,第1节,-5.5,0.8,5.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,10.0,4.0,0.0,1,7.0,GD,4.0,0,,21074.0,,0.0,0.0
87,,,,第1节,-5.5,0.8,5.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,12.0,4.0,0.0,1,7.0,GD,4.0,0,,11077.0,,0.0,0.0
88,,,,第1节,-5.5,0.83,7.5,0.83,157.5,0.83,157.5,0.83,7.5,1.0,8804222.0,,12.0,4.0,0.0,1,7.0,GD,4.0,0,,11077.0,,0.0,0.0
89,,,,第1节,-7.5,0.83,7.5,0.83,157.5,0.83,158.5,0.83,-7.5,1.0,8804222.0,,12.0,4.0,0.0,1,7.0,GD,4.0,0,,11077.0,,0.0,0.0
90,,,,第1节,-7.5,0.83,7.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,12.0,4.0,0.0,1,7.0,GD,4.0,0,,11077.0,,0.0,0.0
91,,,,第1节,-7.5,0.83,7.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,12.0,4.0,0.0,1,6.0,GD,47.0,0,,11077.0,,0.0,0.0
92,,,,第1节,-7.5,0.83,7.5,0.83,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,12.0,4.0,0.0,1,6.0,GD,47.0,0,,11077.0,,0.0,0.0
93,,,,第1节,-7.5,0.83,7.5,0.83,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,12.0,4.0,0.0,1,6.0,GD,44.0,0,,11077.0,,0.0,0.0
94,,,,第1节,-7.5,0.83,7.5,0.83,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,12.0,4.0,0.0,1,6.0,GD,44.0,0,,11077.0,,0.0,0.0
95,,,,第1节,-7.5,0.83,7.5,0.83,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,12.0,4.0,0.0,1,6.0,GD,35.0,0,,11077.0,,0.0,0.0
96,,,,第1节,-7.5,0.83,7.5,0.83,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,12.0,4.0,0.0,1,6.0,GD,35.0,0,,21086.0,,0.0,0.0
97,,,,第1节,-7.5,0.8,6.5,0.87,157.5,0.83,157.5,0.83,6.5,1.0,8804222.0,,12.0,4.0,0.0,1,6.0,GD,35.0,0,,11077.0,,0.0,0.0
98,,,,第1节,-6.5,0.8,6.5,0.87,157.5,0.83,157.5,0.83,-6.5,1.0,8804222.0,,12.0,4.0,0.0,1,6.0,GD,35.0,0,,11074.0,,0.0,0.0
99,,,,第1节,-6.5,0.8,6.5,0.87,157.5,0.83,157.5,0.83,-6.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,35.0,0,,21077.0,,0.0,0.0
100,,,,第1节,-6.5,0.83,5.5,0.83,157.5,0.83,157.5,0.83,5.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,35.0,0,,21077.0,,0.0,0.0
101,,,,第1节,-5.5,0.83,5.5,0.83,157.5,0.83,159.5,0.83,-5.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,35.0,0,,21077.0,,0.0,0.0
102,,,,第1节,-5.5,0.83,5.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,35.0,0,,21077.0,,0.0,0.0
103,,,,第1节,-5.5,0.83,5.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,24.0,0,,21077.0,,0.0,0.0
104,,,,第1节,-5.5,0.83,5.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,24.0,0,,21077.0,,0.0,1.75
105,,,,第1节,-5.5,0.83,5.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,21.0,0,,21077.0,,0.0,1.75
106,,,,第1节,-5.5,0.83,5.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,21.0,0,,21077.0,,0.0,1.75
107,,,,第1节,-5.5,0.83,5.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,7.0,0,,11077.0,,0.0,1.75
108,,,,第1节,-5.5,0.83,5.5,0.83,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,7.0,0,,11077.0,,0.0,1.75
109,,,,第1节,-5.5,0.83,5.5,0.83,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,6.0,0,,11077.0,,0.0,1.75
110,,,,第1节,-5.5,0.8,4.5,0.87,157.5,0.83,157.5,0.83,4.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,6.0,0,,11077.0,,0.0,1.75
111,,,,第1节,-4.5,0.8,4.5,0.87,157.5,0.83,157.5,0.83,-4.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,6.0,0,,21086.0,,0.0,1.75
112,,,,第1节,-4.5,0.8,4.5,0.87,157.5,0.83,157.5,0.83,-4.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,6.0,0,,11077.0,,0.0,0.0
113,,,,第1节,-4.5,0.83,5.5,0.83,157.5,0.83,157.5,0.83,5.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,6.0,0,,21077.0,,0.0,0.0
114,,,,第1节,-5.5,0.83,5.5,0.83,157.5,0.83,156.5,0.83,-5.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,6.0,0,,21077.0,,0.0,0.0
115,,,,第1节,-5.5,0.83,5.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,12.0,6.0,0.0,1,6.0,GD,6.0,0,,21077.0,,0.0,0.0
116,,,,第1节,-5.5,0.83,5.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,12.0,6.0,0.0,1,5.0,GD,53.0,0,,21077.0,,0.0,1.7
117,,,,第1节,-5.5,0.83,5.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,53.0,0,,21074.0,,0.0,1.7
118,,,,第1节,-5.5,0.83,5.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,45.0,0,,21074.0,,0.0,1.7
119,,,,第1节,-5.5,0.83,6.5,0.83,156.5,0.83,156.5,0.83,6.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,45.0,0,,11077.0,,0.0,1.7
120,,,,第1节,-6.5,0.83,6.5,0.83,156.5,0.83,158.5,0.83,-6.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,45.0,0,,11077.0,,0.0,1.7
121,,,,第1节,-6.5,0.83,6.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,45.0,0,,11077.0,,0.0,1.7
122,,,,第1节,-6.5,0.83,6.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,43.0,0,,11077.0,,0.0,0.0
123,,,,第1节,-6.5,0.83,6.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,43.0,0,,11077.0,,0.0,0.0
124,,,,第1节,-6.5,0.83,6.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,31.0,0,,11077.0,,0.0,0.0
125,,,,第1节,-6.5,0.83,6.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,31.0,0,,21086.0,,0.0,0.0
126,,,,第1节,-6.5,0.8,5.5,0.87,158.5,0.83,158.5,0.83,5.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,31.0,0,,11077.0,,0.0,0.0
127,,,,第1节,-5.5,0.8,5.5,0.87,158.5,0.83,158.5,0.83,-5.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,28.0,0,,11077.0,,0.0,0.0
128,,,,第1节,-5.5,0.8,5.5,0.87,158.5,0.83,158.5,0.83,-5.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,28.0,0,,21086.0,,0.0,0.0
129,,,,第1节,-5.5,0.8,5.5,0.87,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,28.0,0,,11077.0,,0.0,0.0
130,,,,第1节,-5.5,0.87,5.5,0.8,157.5,0.83,158.5,0.83,157.5,1.0,8804222.0,1:2,14.0,6.0,0.0,1,5.0,GD,28.0,0,,11078.0,,0.0,0.0
131,,,,第1节,-5.5,0.87,5.5,0.8,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,1:2,14.0,6.0,0.0,1,5.0,GD,28.0,0,,11078.0,,0.0,0.0
132,,,,第1节,-5.5,0.83,5.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,1:2,14.0,6.0,0.0,1,5.0,GD,28.0,0,,11080.0,,0.0,0.0
133,,,,第1节,-5.5,0.83,5.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,2:2,14.0,6.0,0.0,1,5.0,GD,28.0,0,,11078.0,,0.0,1.75
134,,,,第1节,-5.5,0.83,5.5,0.83,158.5,0.83,158.5,0.83,158.5,1.0,8804222.0,2:2,14.0,6.0,0.0,1,5.0,GD,28.0,0,,11080.0,,0.0,1.75
135,,,,第1节,-5.5,0.87,6.5,0.8,158.5,0.83,158.5,0.83,6.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,28.0,0,,21077.0,,0.0,1.75
136,,,,第1节,-6.5,0.87,6.5,0.8,158.5,0.83,157.5,0.83,-6.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,28.0,0,,21077.0,,0.0,1.75
137,,,,第1节,-6.5,0.87,6.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,28.0,0,,21077.0,,0.0,1.75
138,,,,第1节,-6.5,0.87,6.5,0.8,157.5,0.83,157.5,0.83,157.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,28.0,0,,21074.0,,0.0,0.0
139,,,,第1节,-6.5,0.83,7.5,0.83,157.5,0.83,157.5,0.83,7.5,1.0,8804222.0,,14.0,6.0,0.0,1,5.0,GD,28.0,0,,11077.0,,0.0,0.0
