,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
65,,,,,3.5,0.87,-3.5,0.8,140.5,0.83,140.5,0.83,-3.5,,0.0,1:2,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012937.0,21078.0,0.0,0.0
66,,,,,3.5,0.87,-3.5,0.8,140.5,0.83,140.5,0.83,-3.5,,0.45,1:2,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012940.0,21078.0,0.0,0.0
67,,,,,4.5,0.83,-4.5,0.8,140.5,0.83,140.5,0.83,4.5,,0.45,1:2,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012940.0,21078.0,0.0,0.0
68,,,,,4.5,0.83,-4.5,0.83,140.5,0.8,140.5,0.83,-4.5,,0.45,1:2,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012940.0,21078.0,0.0,0.0
69,,,,,4.5,0.83,-4.5,0.83,141.5,0.8,140.5,0.87,141.5,,0.0,1:2,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012940.0,21078.0,0.0,0.0
70,,,,,4.5,0.83,-4.5,0.83,141.5,0.8,141.5,0.87,141.5,,0.47,1:2,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,5.0,34.0,0.0,20180721012940.0,21078.0,0.0,0.0
71,,,,,4.5,0.8,-4.5,0.87,137.5,0.87,141.5,0.8,137.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,58.0,1.0,20180721013003.0,11077.0,0.0,0.0
72,,,,,4.5,0.83,-4.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,58.0,1.0,20180721013003.0,11077.0,0.0,0.0
73,,,,,4.5,0.83,-4.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,50.0,1.0,20180721013011.0,11077.0,0.0,0.0
74,,,,,4.5,0.83,-4.5,0.83,136.5,0.87,137.5,0.83,136.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,50.0,1.0,20180721013011.0,11077.0,0.0,0.0
75,,,,,4.5,0.83,-4.5,0.83,136.5,0.87,136.5,0.8,136.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,42.0,1.0,20180721013020.0,11077.0,0.0,0.0
76,,,,,4.5,0.83,-4.5,0.83,136.5,0.83,136.5,0.83,136.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,42.0,1.0,20180721013020.0,11077.0,0.0,0.0
77,,,,,4.5,0.83,-4.5,0.83,136.5,0.83,136.5,0.83,136.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,37.0,1.0,20180721013025.0,11077.0,0.0,0.0
78,,,,,4.5,0.83,-4.5,0.83,136.5,0.8,136.5,0.87,136.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,37.0,1.0,20180721013025.0,21095.0,0.0,0.0
79,,,,,4.5,0.83,-4.5,0.83,136.5,0.8,136.5,0.87,136.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,30.0,1.0,20180721013031.0,21095.0,0.0,0.0
80,,,,,4.5,0.83,-4.5,0.83,136.5,0.8,136.5,0.87,136.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,30.0,1.0,20180721013031.0,11077.0,0.0,0.0
81,,,,,4.5,0.83,-4.5,0.83,135.5,0.83,136.5,0.83,135.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,22.0,1.0,20180721013039.0,11077.0,0.0,0.0
82,,,,,4.5,0.83,-4.5,0.83,135.5,0.83,135.5,0.83,135.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,22.0,1.0,20180721013039.0,11077.0,0.0,0.0
83,,,,,4.5,0.83,-4.5,0.83,137.5,0.83,135.5,0.83,137.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,25.0,0.0,1,4.0,22.0,1.0,20180721013039.0,11077.0,0.0,0.0
84,,,,,4.5,0.83,-4.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,21.0,1.0,20180721013040.0,11077.0,0.0,0.0
85,,,,,5.5,0.83,-5.5,0.83,137.5,0.83,137.5,0.83,5.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,21.0,1.0,20180721013040.0,11077.0,0.0,0.0
86,,,,,5.5,0.83,-5.5,0.83,137.5,0.83,137.5,0.83,-5.5,,0.0,^,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,21.0,1.0,20180721013040.0,11074^21077,0.0,0.0
87,,,,,5.5,0.83,-5.5,0.83,137.5,0.83,137.5,0.83,-5.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,13.0,1.0,20180721013048.0,21077.0,0.0,0.0
88,,,,,5.5,0.83,-5.5,0.83,136.5,0.83,137.5,0.83,136.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,13.0,1.0,20180721013048.0,21077.0,0.0,0.0
89,,,,,5.5,0.83,-5.5,0.83,136.5,0.83,136.5,0.83,136.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,5.0,1.0,20180721013056.0,21077.0,0.0,0.0
90,,,,,5.5,0.83,-5.5,0.83,136.5,0.83,136.5,0.83,136.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,5.0,1.0,20180721013056.0,21077.0,0.0,0.0
91,,,,,5.5,0.83,-5.5,0.83,136.5,0.83,136.5,0.83,136.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,3.0,1.0,20180721013058.0,21077.0,0.0,0.0
92,,,,,5.5,0.83,-5.5,0.83,136.5,0.8,136.5,0.87,136.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,4.0,3.0,1.0,20180721013058.0,21095.0,0.0,0.0
93,,,,,5.5,0.83,-5.5,0.83,136.5,0.8,136.5,0.87,136.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,57.0,1.0,20180721013104.0,21095.0,0.0,0.0
94,,,,,5.5,0.87,-5.5,0.8,135.5,0.83,136.5,0.83,135.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,57.0,1.0,20180721013104.0,11077.0,0.0,0.0
95,,,,,5.5,0.87,-5.5,0.8,135.5,0.83,135.5,0.83,135.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,49.0,1.0,20180721013112.0,11077.0,0.0,0.0
96,,,,,5.5,0.87,-5.5,0.8,135.5,0.8,135.5,0.87,135.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,49.0,1.0,20180721013112.0,11077.0,0.0,0.0
97,,,,,5.5,0.87,-5.5,0.8,135.5,0.8,135.5,0.87,135.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,43.0,1.0,20180721013118.0,11077.0,0.0,0.0
98,,,,,5.5,0.83,-5.5,0.83,135.5,0.8,135.5,0.87,135.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,43.0,1.0,20180721013118.0,21077.0,0.0,0.0
99,,,,,5.5,0.83,-5.5,0.83,135.5,0.8,135.5,0.87,135.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,43.0,1.0,20180721013122.0,21077.0,0.0,0.0
100,,,,,5.5,0.83,-5.5,0.83,134.5,0.83,135.5,0.83,134.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,43.0,1.0,20180721013122.0,21077.0,0.0,0.0
101,,,,,5.5,0.83,-5.5,0.83,134.5,0.83,134.5,0.83,134.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,35.0,1.0,20180721013130.0,21077.0,0.0,0.0
102,,,,,5.5,0.83,-5.5,0.83,134.5,0.83,134.5,0.83,134.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,35.0,1.0,20180721013130.0,21077.0,0.0,0.0
103,,,,,5.5,0.83,-5.5,0.83,134.5,0.83,134.5,0.83,134.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,30.0,1.0,20180721013131.0,21077.0,0.0,0.0
104,,,,,5.5,0.83,-5.5,0.83,134.5,0.8,134.5,0.87,134.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,30.0,1.0,20180721013131.0,21094.0,0.0,0.0
105,,,,,5.5,0.83,-5.5,0.83,134.5,0.8,134.5,0.87,134.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,28.0,1.0,20180721013132.0,21094.0,0.0,0.0
106,,,,,5.5,0.87,-5.5,0.8,133.5,0.83,134.5,0.83,133.5,,0.0,,,2,9.0,6,3.0,1,,5,3.0,2,,100.0,27.0,27,25.0,0.0,1,3.0,28.0,1.0,20180721013132.0,11077.0,0.0,0.0
