,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
29,4.0,-16.5,0.8695652173913043,16.5,0.8,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,50.0,1.0,20180922154322.0,11077.0
30,4.0,-16.5,0.8695652173913043,16.5,0.8,151.5,0.7692307692307693,151.5,0.9090909090909091,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,41.0,1.0,20180922154330.0,11077.0
31,4.0,-16.5,0.8695652173913043,16.5,0.8,150.5,1.0,150.5,0.7142857142857143,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,40.0,0.0,20180922154332.0,11077.0
32,4.0,-16.5,0.8695652173913043,16.5,0.8,151.5,0.8,151.5,0.8695652173913043,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,45.0,0.0,20180922154336.0,11077.0
33,4.0,-16.5,0.8695652173913043,16.5,0.8,151.5,0.8,151.5,0.8695652173913043,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,45.0,1.0,20180922154351.0,11077.0
34,4.0,-16.5,0.9090909090909091,16.5,0.7692307692307693,150.5,0.9090909090909091,150.5,0.7692307692307693,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,36.0,1.0,20180922154359.0,11077.0
35,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,32.0,1.0,20180922154403.0,21077.0
36,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,149.5,1.0,149.5,0.7142857142857143,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,23.0,1.0,20180922154412.0,21077.0
37,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,149.5,0.9090909090909091,149.5,0.7692307692307693,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,21.0,0.0,20180922154415.0,21077.0
38,4.0,-17.5,0.9090909090909091,17.5,0.7692307692307693,149.5,0.9090909090909091,149.5,0.7692307692307693,,,,3,8.0,21.0,17.0,8.0,14.0,5,4,3.0,2.0,57.1,87.5,59,72,0,1,5.0,21.0,1.0,20180922154430.0,21077.0
