,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
66,,,,第1节,12.5,0.8,-12.5,0.83,132.5,0.83,132.5,0.83,12.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
67,,,,第1节,12.5,0.83,-10.5,0.83,132.5,0.83,132.5,0.83,-10.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
68,,,,第1节,10.5,0.83,-10.5,0.83,132.5,0.83,132.5,0.83,10.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
69,,,,第1节,10.5,0.83,-7.5,0.83,132.5,0.83,132.5,0.83,-7.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
70,,,,第1节,7.5,0.83,-7.5,0.83,132.5,0.83,132.5,0.83,7.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
71,,,,第1节,7.5,0.83,-14.5,0.83,132.5,0.83,132.5,0.83,-14.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
72,,,,第1节,14.5,0.83,-14.5,0.8,132.5,0.83,132.5,0.83,14.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
73,,,,第1节,14.5,0.87,-12.5,0.8,132.5,0.83,132.5,0.83,-12.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
74,,,,第1节,12.5,0.8,-12.5,0.87,132.5,0.83,132.5,0.83,12.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
75,,,,第1节,12.5,0.83,-13.5,0.83,132.5,0.83,132.5,0.83,-13.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
76,,,,第1节,13.5,0.83,-13.5,0.83,132.5,0.83,132.5,0.83,13.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
77,,,,第1节,13.5,0.83,-13.5,0.83,132.5,0.83,132.5,0.83,13.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
78,,,,第1节,13.5,0.83,-13.5,0.83,132.5,0.83,132.5,0.83,13.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
