,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
22,,,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,18.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,68.0,66.0,0.0,1,5.0,24.0,0,,11074.0,"0.84,0.52"
23,,,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,18.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,5.0,24.0,0,,21077.0,
24,,,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,18.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,5.0,22.0,0,,21077.0,
25,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,5.0,22.0,0,,21081.0,
26,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,5.0,24.0,0,,21081.0,
27,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,5.0,24.0,0,,21081.0,
28,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,5.0,2.0,0,,21081.0,
29,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,5.0,2.0,0,,21095.0,"0.14,0.54"
30,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,151.5,0.87,151.5,0.8,151.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,5.0,2.0,0,,11077.0,
31,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,151.5,0.87,151.5,0.8,151.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,0.0,40.0,33.3,24.0,68.0,0.0,1,4.0,44.0,0,,11077.0,
32,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,151.5,0.87,151.5,0.8,151.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,1.0,40.0,33.3,24.0,68.0,0.0,1,4.0,44.0,0,,21086.0,
33,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,150.5,0.83,150.5,0.83,150.5,,,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,1.0,40.0,33.3,24.0,68.0,0.0,1,4.0,44.0,0,,11077.0,
34,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,150.5,0.83,151.5,0.83,150.5,,1:2,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,1.0,40.0,33.3,24.0,68.0,0.0,1,4.0,44.0,0,,11078.0,
35,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,151.5,0.83,151.5,0.83,151.5,,1:2,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,1.0,40.0,33.3,24.0,68.0,0.0,1,4.0,44.0,0,,11078.0,
36,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,151.5,0.83,152.5,0.83,151.5,,1:2,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,1.0,40.0,33.3,24.0,68.0,0.0,1,4.0,44.0,0,,11078.0,
37,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,152.5,0.83,152.5,0.83,152.5,,1:2,10.0,2,18.0,8.0,2.0,2,5,2.0,1.0,1.0,40.0,33.3,24.0,68.0,0.0,1,4.0,44.0,0,,11078.0,
38,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,152.5,0.83,152.5,0.83,152.5,,1:2,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,50.0,33.3,69.0,68.0,0.0,1,4.0,44.0,0,,11079.0,"0.80,0.50"
39,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,152.5,0.83,152.5,0.83,152.5,,2:2,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,50.0,33.3,24.0,69.0,0.0,1,4.0,44.0,0,,11078.0,"0.80,0.50"
40,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,152.5,0.83,152.5,0.83,152.5,,2:2,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,44.0,0,,11080.0,"0.80,0.50"
41,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,151.5,0.83,151.5,0.83,151.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,44.0,0,,21077.0,
42,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,151.5,0.83,151.5,0.83,151.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,42.0,0,,21077.0,
43,44.0,5.0,,第3节,69.5,0.83,-70.5,0.83,151.5,0.83,151.5,0.83,-70.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,42.0,0,,11077.0,
44,44.0,5.0,,第3节,70.5,0.83,-70.5,0.83,151.5,0.83,151.5,0.83,70.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,42.0,0,,11095.0,"0.87,0.60"
45,44.0,5.0,,第3节,70.5,0.83,-70.5,0.83,151.5,0.83,151.5,0.83,70.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,30.0,0,,21077.0,
46,44.0,5.0,,第3节,70.5,0.87,-68.5,0.8,151.5,0.83,151.5,0.83,-68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,30.0,0,,21077.0,
47,44.0,5.0,,第3节,68.5,0.87,-68.5,0.8,151.5,0.83,150.5,0.83,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,30.0,0,,21077.0,
48,44.0,5.0,,第3节,68.5,0.87,-68.5,0.8,150.5,0.83,150.5,0.83,150.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,30.0,0,,21077.0,
49,44.0,5.0,,第3节,68.5,0.87,-68.5,0.8,150.5,0.83,150.5,0.83,150.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,30.0,0,,11077.0,
50,44.0,5.0,,第3节,68.5,0.87,-69.5,0.8,150.5,0.83,150.5,0.83,-69.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,30.0,0,,11077.0,
51,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,150.5,0.83,150.5,0.83,69.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,30.0,0,,11095.0,"0.87,0.60"
52,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,150.5,0.83,150.5,0.83,69.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,28.0,0,,21077.0,
53,44.0,5.0,,第3节,69.5,0.87,-68.5,0.8,150.5,0.83,150.5,0.83,-68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,28.0,0,,21077.0,
54,44.0,5.0,,第3节,68.5,0.87,-68.5,0.8,150.5,0.83,150.5,0.83,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,23.0,0,,21077.0,
55,44.0,5.0,,第3节,68.5,0.87,-69.5,0.8,150.5,0.83,150.5,0.83,-69.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,23.0,0,,11077.0,
56,44.0,5.0,,第3节,69.5,0.87,-69.5,0.8,150.5,0.8,150.5,0.87,69.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,3.0,0,,21077.0,
57,44.0,5.0,,第3节,69.5,0.8,-68.5,0.87,150.5,0.8,150.5,0.87,-68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,3.0,0,,21077.0,
58,44.0,5.0,,第3节,68.5,0.8,-68.5,0.87,150.5,0.8,148.5,0.83,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,3.0,0,,21077.0,
59,44.0,5.0,,第3节,68.5,0.8,-68.5,0.87,148.5,0.83,148.5,0.83,148.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,4.0,3.0,0,,21077.0,
60,44.0,5.0,,第3节,68.5,0.8,-68.5,0.87,148.5,0.83,148.5,0.83,148.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,49.0,0,,21077.0,
61,44.0,5.0,,第3节,68.5,0.8,-68.5,0.87,148.5,0.83,148.5,0.83,148.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,49.0,0,,21094.0,"0.24,0.18"
62,44.0,5.0,,第3节,68.5,0.87,-68.5,0.8,147.5,0.83,147.5,0.83,147.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,49.0,0,,11077.0,
63,44.0,5.0,,第3节,68.5,0.87,-68.5,0.8,147.5,0.83,147.5,0.83,147.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,49.0,0,,11094.0,"0.58,0.85"
64,44.0,5.0,,第3节,68.5,0.83,-67.5,0.83,147.5,0.83,147.5,0.83,-67.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,49.0,0,,21077.0,
65,44.0,5.0,,第3节,67.5,0.83,-67.5,0.83,147.5,0.83,146.5,0.8,67.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,49.0,0,,21077.0,
66,44.0,5.0,,第3节,67.5,0.83,-67.5,0.83,146.5,0.87,146.5,0.8,146.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,49.0,0,,21077.0,
67,44.0,5.0,,第3节,67.5,0.83,-67.5,0.83,146.5,0.87,146.5,0.8,146.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,40.0,0,,21077.0,
68,44.0,5.0,,第3节,67.5,0.83,-68.5,0.83,146.5,0.87,146.5,0.8,-68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,40.0,0,,11077.0,
69,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.87,146.5,0.8,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,29.0,0,,11077.0,
70,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.87,146.5,0.8,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,29.0,0,,11095.0,"0.89,0.60"
71,44.0,5.0,,第3节,68.5,0.83,-67.5,0.83,146.5,0.87,146.5,0.8,-67.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,29.0,0,,21077.0,
72,44.0,5.0,,第3节,67.5,0.83,-67.5,0.83,146.5,0.8,146.5,0.87,67.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,29.0,0,,21077.0,
73,44.0,5.0,,第3节,67.5,0.83,-68.5,0.83,146.5,0.8,146.5,0.87,-68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,29.0,0,,21077.0,
74,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.8,146.5,0.87,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,25.0,0,,11077.0,
75,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.8,146.5,0.87,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,25.0,0,,11077.0,
76,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.8,146.5,0.87,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,28.0,0,,11077.0,
77,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.77,146.5,0.91,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,28.0,0,,11077.0,
78,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.83,146.5,0.83,68.5,,,10.0,2,18.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,69.0,0.0,1,3.0,20.0,0,,11077.0,
79,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.83,146.5,0.83,68.5,,,10.0,2,19.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,71.0,69.0,0.0,1,3.0,20.0,0,,11074.0,"0.84,0.56"
80,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.83,146.5,0.83,68.5,,,10.0,2,19.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,71.0,0.0,1,3.0,20.0,0,,21077.0,
81,44.0,5.0,,第3节,68.5,0.83,-69.5,0.83,146.5,0.83,146.5,0.83,-69.5,,,10.0,2,19.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,71.0,0.0,1,3.0,20.0,0,,21077.0,
82,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,146.5,0.83,148.5,0.87,69.5,,,10.0,2,19.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,71.0,0.0,1,3.0,20.0,0,,21077.0,
83,44.0,5.0,,第3节,69.5,0.83,-69.5,0.83,148.5,0.8,148.5,0.87,148.5,,,10.0,2,19.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,71.0,0.0,1,3.0,20.0,0,,21077.0,
84,44.0,5.0,,第3节,69.5,0.8,-69.5,0.87,148.5,0.8,148.5,0.87,148.5,,,10.0,2,19.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,71.0,0.0,1,3.0,19.0,0,,21077.0,
85,44.0,5.0,,第3节,69.5,0.87,-67.5,0.8,148.5,0.8,148.5,0.87,-67.5,,,10.0,2,19.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,71.0,0.0,1,3.0,19.0,0,,21077.0,
86,44.0,5.0,,第3节,67.5,0.87,-67.5,0.8,148.5,0.83,148.5,0.83,67.5,,,10.0,2,19.0,8.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,71.0,0.0,1,2.0,56.0,0,,21077.0,
87,44.0,5.0,,第3节,67.5,0.87,-67.5,0.8,148.5,0.83,148.5,0.83,67.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,24.0,26.0,0.0,1,2.0,56.0,0,,21074.0,"0.15,0.52"
88,44.0,5.0,,第3节,67.5,0.87,-67.5,0.8,148.5,0.83,148.5,0.83,67.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,56.0,0,,11077.0,
89,44.0,5.0,,第3节,67.5,0.87,-67.5,0.8,148.5,0.83,148.5,0.83,67.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,32.0,0,,11077.0,
90,44.0,5.0,,第3节,67.5,0.87,-67.5,0.8,148.5,0.83,148.5,0.83,67.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,32.0,0,,11077.0,
91,44.0,5.0,,第3节,67.5,0.87,-67.5,0.8,148.5,0.83,148.5,0.83,67.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,28.0,0,,11077.0,
92,44.0,5.0,,第3节,67.5,0.91,-65.5,0.77,148.5,0.83,148.5,0.83,-65.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,28.0,0,,21077.0,
93,44.0,5.0,,第3节,65.5,0.91,-65.5,0.77,148.5,0.83,146.5,0.83,65.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,28.0,0,,21077.0,
94,44.0,5.0,,第3节,65.5,0.91,-65.5,0.77,146.5,0.83,146.5,0.83,146.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,28.0,0,,21077.0,
95,44.0,5.0,,第3节,65.5,0.91,-65.5,0.77,146.5,0.83,146.5,0.83,146.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,4.0,0,,11077.0,
96,44.0,5.0,,第3节,65.5,0.83,-66.5,0.83,146.5,0.83,146.5,0.83,-66.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,4.0,0,,11077.0,
97,44.0,5.0,,第3节,66.5,0.83,-66.5,0.83,146.5,0.83,144.5,0.8,66.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,4.0,0,,11077.0,
98,44.0,5.0,,第3节,66.5,0.83,-66.5,0.83,144.5,0.87,144.5,0.8,144.5,,,10.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,71.0,0.0,1,2.0,4.0,0,,11077.0,
99,44.0,5.0,,第3节,66.5,0.83,-66.5,0.83,144.5,0.87,144.5,0.8,144.5,,,11.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,74.0,71.0,0.0,1,2.0,4.0,0,,11075.0,"0.72,0.22"
100,44.0,5.0,,第3节,66.5,0.83,-66.5,0.83,144.5,0.87,144.5,0.8,144.5,,,11.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,74.0,0.0,1,1.0,43.0,0,,21077.0,
101,44.0,5.0,,第3节,66.5,0.83,-67.5,0.83,144.5,0.87,144.5,0.8,-67.5,,,11.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,74.0,0.0,1,1.0,43.0,0,,21077.0,
102,44.0,5.0,,第3节,67.5,0.83,-67.5,0.83,144.5,0.87,146.5,0.83,67.5,,,11.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,74.0,0.0,1,1.0,43.0,0,,21077.0,
103,44.0,5.0,,第3节,67.5,0.83,-67.5,0.83,146.5,0.83,146.5,0.83,146.5,,,11.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,74.0,0.0,1,1.0,43.0,0,,21077.0,
104,44.0,5.0,,第3节,67.5,0.83,-67.5,0.83,146.5,0.83,146.5,0.83,146.5,,,11.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,74.0,0.0,1,1.0,43.0,0,,11077.0,
105,44.0,5.0,,第3节,67.5,0.83,-68.5,0.83,146.5,0.83,146.5,0.83,-68.5,,,11.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,74.0,0.0,1,1.0,43.0,0,,11077.0,
106,44.0,5.0,,第3节,68.5,0.83,-68.5,0.83,146.5,0.8,146.5,0.87,68.5,,,11.0,2,19.0,9.0,3.0,2,5,2.0,1.0,1.0,42.9,33.3,26.0,74.0,0.0,1,1.0,37.0,0,,11077.0,
