,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
40,,,,第2节,10.5,0.83,-10.5,0.83,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
41,,,,第2节,10.5,0.8,-11.5,0.87,129.5,0.83,129.5,0.83,-11.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
42,,,,第2节,11.5,0.8,-11.5,0.87,129.5,0.83,128.5,0.83,11.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
43,,,,第2节,11.5,0.8,-11.5,0.87,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
44,,,,第2节,11.5,0.8,-11.5,0.87,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
45,,,,第2节,11.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,-12.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
46,,,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,130.5,0.83,12.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
47,,,,第2节,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
48,,,,第2节,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,31.0,0.0,1,1.0,53.0,0,,11077.0,0.0,0.0,
49,,,,第2节,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,31.0,0.0,1,1.0,48.0,0,,11077.0,0.0,0.0,
50,,,,第2节,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,31.0,0.0,1,1.0,48.0,0,,11074.0,0.0,0.0,"0.85,0.65"
51,,,,第2节,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,33.0,0.0,1,1.0,48.0,0,,21077.0,0.0,0.0,
52,,,,第2节,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,33.0,0.0,1,1.0,48.0,0,,21095.0,0.0,0.0,"0.09,0.43"
53,,,,第2节,12.5,0.83,-12.5,0.83,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,33.0,0.0,1,1.0,20.0,0,,11077.0,0.0,0.0,
54,,,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,1.0,20.0,0,,11077.0,0.0,0.0,
55,,,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,1.0,20.0,0,,11077.0,0.0,0.0,
56,,,,第2节,12.5,0.8,-12.5,0.87,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,1.0,20.0,0,,11077.0,0.0,0.0,
57,,,,第2节,12.5,0.8,-12.5,0.87,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,1.0,20.0,0,,11077.0,0.0,0.0,
58,,,,第2节,12.5,0.8,-12.5,0.87,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,1.0,20.0,0,,21077.0,0.0,0.0,
59,,,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,1.0,18.0,0,,11077.0,0.0,0.0,
60,,,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,1.0,18.0,0,,11077.0,0.0,0.0,
61,44.0,5.0,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,0.0,55.0,0,,21081.0,0.0,0.0,
62,44.0,5.0,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,33.0,0.0,1,0.0,55.0,0,,11074.0,0.0,0.0,"0.91,0.51"
63,44.0,5.0,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,35.0,0.0,1,0.0,55.0,0,,21077.0,0.0,0.0,
