,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
75,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,4.0,3.0,0.0,20181026190355.0,21077.0
76,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,54.0,0.0,20181026190403.0,21077.0
77,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,47.0,0.0,20181026190410.0,21077.0
78,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,47.0,0.0,20181026190411.0,21077.0
79,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,47.0,1.0,20181026190432.0,21077.0
80,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,47.0,1.0,20181026190433.0,21077.0
81,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,41.0,1.0,20181026190439.0,11077.0
82,4.0,26.5,0.8695652173913043,-26.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,32.0,1.0,20181026190448.0,11077.0
83,4.0,26.5,0.8695652173913043,-26.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,24.0,1.0,20181026190456.0,11077.0
84,4.0,26.5,0.8695652173913043,-26.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,3.0,47.1,50.0,62.0,36,0,1,3.0,22.0,0.0,20181026190458.0,11077.0
85,4.0,26.5,0.8695652173913043,-26.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,^,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,5.0,47.1,50.0,62.0,36,0,1,3.0,30.0,0.0,20181026190506.0,21086^11077
86,4.0,27.5,0.7692307692307693,-27.5,0.9090909090909091,114.5,0.8695652173913043,114.5,0.8,4.0,1:2,5.0,4.0,19.0,9.0,8.0,6.0,4,2,1.0,5.0,47.1,50.0,62.0,36,0,1,3.0,30.0,0.0,20181026190510.0,11078.0
87,4.0,27.5,0.8333333333333334,-27.5,0.8333333333333334,114.5,0.8695652173913043,114.5,0.8,4.0,1:2^2:2,5.0,4.0,19.0,9.0,9.0,6.0,4,2,1.0,5.0,50.0,50.0,63.0,36,0,1,3.0,30.0,0.0,20181026190527.0,11079^11078
88,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,2:2^,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,30.0,0.0,20181026190538.0,11079^21077
89,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,2:2^,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,30.0,1.0,20181026190543.0,11079^21077
90,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,2:2^,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,29.0,1.0,20181026190544.0,11079^21077
91,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,29.0,1.0,20181026190545.0,21077.0
92,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,20.0,1.0,20181026190553.0,21077.0
93,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,20.0,0.0,20181026190553.0,21077.0
94,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,20.0,1.0,20181026190611.0,21077.0
95,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,20.0,1.0,20181026190612.0,21077.0
96,4.0,27.5,0.8695652173913043,-27.5,0.8,114.5,0.8695652173913043,114.5,0.8,4.0,,5.0,4.0,19.0,9.0,10.0,6.0,4,2,1.0,5.0,52.6,50.0,64.0,36,0,1,3.0,19.0,1.0,20181026190612.0,21077.0
