,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
36,,3.0,-4.5,0.9090909090909091,4.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,22.0,1.0,20181108151141.0,11079^21077,0.3448275862068966,2.15
37,,3.0,-4.5,0.9090909090909091,4.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,26.0,1.0,20181108151142.0,11079^21077,0.3448275862068966,2.15
38,,3.0,-4.5,0.9090909090909091,4.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,,,1:1^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,27.0,1.0,20181108151146.0,11079^21077,0.3448275862068966,2.15
39,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,,,,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,25.0,1.0,20181108151148.0,11077.0,0.43478260869565216,1.65
40,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,,,,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,23.0,0.0,20181108151150.0,11077.0,0.43478260869565216,1.65
41,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,111.5,0.8333333333333334,111.5,0.8333333333333334,,,,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,23.0,1.0,20181108151211.0,11077.0,0.43478260869565216,1.65
42,,3.0,-3.5,0.8695652173913043,3.5,0.8,110.5,0.8333333333333334,110.5,0.8333333333333334,,,,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,15.0,1.0,20181108151219.0,11077.0,0.43478260869565216,1.65
43,,3.0,-3.5,0.8695652173913043,3.5,0.8,110.5,0.8333333333333334,110.5,0.8333333333333334,,,,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,6.0,1.0,20181108151227.0,11077.0,0.4166666666666667,1.7
44,,3.0,-3.5,0.8,3.5,0.8695652173913043,109.5,0.8333333333333334,109.5,0.8333333333333334,,,,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,0.0,0.0,0.0,20181108151235.0,11077.0,0.37037037037037035,1.95
45,Q4,4th Quarter,-3.5,0.8,3.5,0.8695652173913043,109.5,0.8333333333333334,109.5,0.8333333333333334,,4.0,3.0,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,10.0,0.0,0.0,20181108151235.0,1082.0,0.37037037037037035,1.95
