,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
30,,,4.0,-29.5,0.9090909090909091,29.5,0.7692307692307693,114.5,0.9090909090909091,114.5,0.7692307692307693,,,1,7.0,13.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,60,0,1,5.0,51.0,1.0,20181010041504.0,21077.0
31,,,4.0,-28.5,0.7692307692307693,28.5,0.9090909090909091,114.5,0.8333333333333334,114.5,0.8333333333333334,,,1,7.0,13.0,13.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,60,0,1,5.0,43.0,1.0,20181010041512.0,21077.0
32,,,4.0,-29.5,0.7692307692307693,29.5,0.9090909090909091,116.5,0.8,116.5,0.8695652173913043,,^,1,7.0,13.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,62,0,1,5.0,41.0,1.0,20181010041514.0,21074^11077
33,,,4.0,-29.5,0.7692307692307693,29.5,0.9090909090909091,115.5,0.9090909090909091,115.5,0.7692307692307693,,,1,7.0,13.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,35.0,62,0,1,5.0,32.0,1.0,20181010041522.0,11077.0
34,,,4.0,-28.5,0.7692307692307693,28.5,0.9090909090909091,117.5,0.9090909090909091,117.5,0.7692307692307693,,^,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,32.0,1.0,20181010041523.0,11074^21077
35,,,4.0,-28.5,0.7692307692307693,28.5,0.9090909090909091,117.5,0.9090909090909091,117.5,0.7692307692307693,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,32.0,1.0,20181010041524.0,21077.0
36,,,4.0,-28.5,0.8,28.5,0.8695652173913043,117.5,0.8333333333333334,117.5,0.8333333333333334,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,23.0,1.0,20181010041532.0,21077.0
37,,,4.0,-27.5,0.8,27.5,0.8695652173913043,117.5,0.8,117.5,0.8695652173913043,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,22.0,1.0,20181010041533.0,11077.0
38,,,4.0,-27.5,0.8,27.5,0.8695652173913043,116.5,0.9090909090909091,116.5,0.7692307692307693,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,15.0,1.0,20181010041540.0,11095.0
39,,,4.0,-28.5,0.8,28.5,0.8695652173913043,116.5,0.9090909090909091,116.5,0.7692307692307693,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,15.0,1.0,20181010041541.0,21077.0
40,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,116.5,0.8333333333333334,116.5,0.8333333333333334,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,6.0,1.0,20181010041549.0,21077.0
41,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,5.0,0.0,20181010041551.0,21077.0
42,,,4.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,5.0,1.0,20181010041558.0,21077.0
43,,,4.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,5.0,0.0,1.0,20181010041603.0,11077.0
44,,,4.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,,1,7.0,14.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,37.0,62,0,1,4.0,51.0,1.0,20181010041611.0,11077.0
45,,,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,,1,7.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,62,0,1,4.0,47.0,1.0,20181010041615.0,21077.0
46,,,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,,1,7.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,62,0,1,4.0,38.0,1.0,20181010041624.0,21077.0
47,,,4.0,-28.5,0.8695652173913043,28.5,0.8,116.5,0.8,116.5,0.8695652173913043,4.0,^,1,9.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,65,0,1,4.0,33.0,1.0,20181010041629.0,21075^11077
48,,,4.0,-28.5,0.9090909090909091,28.5,0.7692307692307693,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,65,0,1,4.0,24.0,1.0,20181010041638.0,11077.0
49,,,4.0,-28.5,0.9090909090909091,28.5,0.7692307692307693,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,65,0,1,4.0,17.0,0.0,20181010041646.0,11077.0
50,,,4.0,-29.5,0.9090909090909091,29.5,0.7692307692307693,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,65,0,1,4.0,17.0,0.0,20181010041714.0,21077.0
51,,,4.0,-29.5,0.9090909090909091,29.5,0.7692307692307693,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,65,0,1,4.0,17.0,1.0,20181010041719.0,21077.0
52,,,4.0,-29.5,1.0,29.5,0.7142857142857143,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,65,0,1,4.0,8.0,1.0,20181010041727.0,21077.0
53,,,4.0,-27.5,0.7142857142857143,27.5,1.0,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,65,0,1,4.0,3.0,1.0,20181010041732.0,11077.0
54,,,4.0,-27.5,0.7692307692307693,27.5,0.9090909090909091,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,15.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,39.0,65,0,1,3.0,54.0,1.0,20181010041740.0,11077.0
55,,,4.0,-26.5,0.7692307692307693,26.5,0.9090909090909091,116.5,0.8,116.5,0.8695652173913043,4.0,^,1,9.0,16.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,41.0,65,0,1,3.0,48.0,1.0,20181010041748.0,11074^21077
56,,,4.0,-26.5,0.7692307692307693,26.5,0.9090909090909091,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,16.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,41.0,65,0,1,3.0,48.0,1.0,20181010041748.0,21077.0
57,,,4.0,-24.5,0.7692307692307693,24.5,0.9090909090909091,116.5,0.8,116.5,0.8695652173913043,4.0,^,1,9.0,17.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,43.0,65,0,1,3.0,36.0,1.0,20181010041759.0,11074^21077
58,,,4.0,-24.5,0.8,24.5,0.8695652173913043,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,17.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,43.0,65,0,1,3.0,27.0,1.0,20181010041808.0,21077.0
59,,,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,17.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,43.0,65,0,1,3.0,19.0,1.0,20181010041816.0,21077.0
60,,,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,17.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,43.0,65,0,1,3.0,12.0,1.0,20181010041823.0,21095.0
61,,,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,,1,9.0,17.0,14.0,6,10,3.0,4,1,0.0,40.0,83.3,43.0,65,0,1,3.0,10.0,0.0,20181010041826.0,11077.0
62,,,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,^,1,9.0,17.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,43.0,65,0,1,3.0,10.0,0.0,20181010041835.0,21086^11077
63,,,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,^,1,9.0,17.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,43.0,65,0,1,3.0,10.0,1.0,20181010041848.0,21086^11077
64,,,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,116.5,0.8,116.5,0.8695652173913043,4.0,^,1,9.0,17.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,43.0,65,0,1,3.0,1.0,1.0,20181010041857.0,21086^11077
65,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,^,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,54.0,1.0,20181010041903.0,11074^21077
66,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,55.0,1.0,20181010041903.0,21077.0
67,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,46.0,1.0,20181010041911.0,21077.0
68,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,42.0,0.0,20181010041916.0,21077.0
69,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,42.0,1.0,20181010041917.0,21077.0
70,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,33.0,1.0,20181010041925.0,21077.0
71,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,31.0,0.0,20181010041928.0,21077.0
72,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,31.0,1.0,20181010041946.0,21077.0
73,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,22.0,1.0,20181010041954.0,21077.0
74,,,4.0,-21.5,0.0,21.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,22.0,1.0,20181010041956.0,11077.0
75,,,4.0,-20.5,0.0,20.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,19.0,0.0,20181010041958.0,11077.0
76,,,4.0,-20.5,0.0,20.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,19.0,1.0,20181010042012.0,11077.0
77,,,4.0,-20.5,0.0,20.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,,1,9.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,65,0,1,2.0,10.0,1.0,20181010042020.0,11077.0
78,,,4.0,-23.5,0.0,23.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,^,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,2.0,10.0,1.0,20181010042020.0,21075^11077
79,,,4.0,-23.5,0.0,23.5,0.0,116.5,0.8,116.5,0.8695652173913043,3.0,^,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,2.0,1.0,1.0,20181010042029.0,21075^11077
80,,,4.0,-23.5,0.0,23.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,1.0,57.0,1.0,20181010042034.0,11094.0
81,,,4.0,-23.5,0.0,23.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,1.0,48.0,1.0,20181010042043.0,11077.0
82,,,4.0,-23.5,0.0,23.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,1.0,47.0,1.0,20181010042044.0,11095.0
83,,,4.0,-24.5,0.0,24.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,1.0,38.0,1.0,20181010042052.0,21077.0
84,,,4.0,-24.5,0.0,24.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,1.0,30.0,1.0,20181010042101.0,21077.0
85,,,4.0,-23.5,0.0,23.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,1.0,27.0,1.0,20181010042104.0,11077.0
86,,,4.0,-23.5,0.0,23.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,1.0,18.0,1.0,20181010042112.0,11077.0
87,,,4.0,-23.5,0.0,23.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,18.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,45.0,68,0,1,1.0,18.0,1.0,20181010042112.0,11077.0
88,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,^,1,10.0,19.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,47.0,68,0,1,1.0,7.0,1.0,20181010042124.0,11074^21077
89,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,19.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,47.0,68,0,1,1.0,7.0,1.0,20181010042125.0,21077.0
90,,,4.0,-22.5,0.0,22.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,19.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,47.0,68,0,1,0.0,59.0,0.0,20181010042132.0,21077.0
91,,,4.0,-21.5,0.0,21.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,19.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,47.0,68,0,1,0.0,59.0,0.0,20181010042140.0,11077.0
92,,,4.0,-21.5,0.0,21.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,19.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,47.0,68,0,1,0.0,59.0,1.0,20181010042154.0,11077.0
93,,,4.0,-21.5,0.0,21.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,19.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,47.0,68,0,1,0.0,50.0,1.0,20181010042203.0,11077.0
94,,,4.0,-20.5,0.0,20.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,20.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,49.0,68,0,1,0.0,50.0,1.0,20181010042203.0,21077.0
95,,,4.0,-19.5,0.0,19.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,20.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,49.0,68,0,1,0.0,41.0,1.0,20181010042211.0,21077.0
96,,,4.0,-19.5,0.0,19.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,20.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,49.0,68,0,1,0.0,33.0,1.0,20181010042219.0,21077.0
97,,,4.0,-19.5,0.0,19.5,0.0,116.5,0.8,116.5,0.8695652173913043,1.0,,1,10.0,20.0,14.0,6,10,3.0,4,1,1.0,40.0,83.3,49.0,68,0,1,0.0,25.0,1.0,20181010042228.0,21077.0
