,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
80,,,,,-10.5,0.83,10.5,0.83,159.5,0.83,159.5,0.83,10.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,5.0,1~GD,59.0,1.0,20180717140540.0,1015,,0.0,0.0
81,,,,,-10.5,0.83,10.5,0.83,158.5,0.83,159.5,0.83,158.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,5.0,1~GD,59.0,1.0,20180717140540.0,1015,,0.0,0.0
82,,,,,-10.5,0.83,10.5,0.83,158.5,0.8,158.5,0.87,158.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,5.0,1~GD,51.0,1.0,20180717140548.0,1015,,0.0,0.0
83,,,,,-10.5,0.83,10.5,0.83,157.5,0.83,158.5,0.83,157.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,5.0,1~GD,43.0,1.0,20180717140556.0,1015,,0.0,0.0
84,,,,,-10.5,0.83,10.5,0.83,157.5,0.8,157.5,0.87,157.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,5.0,1~GD,40.0,1.0,20180717140600.0,1015,,0.0,0.0
85,,,,,-10.5,0.83,10.5,0.83,156.5,0.83,157.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,5.0,1~GD,32.0,1.0,20180717140608.0,1015,,0.0,0.0
86,,,,,-10.5,0.83,10.5,0.83,156.5,0.87,156.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,5.0,1~GD,28.0,1.0,20180717140611.0,1015,,0.0,0.0
87,,,,,-10.5,0.83,10.5,0.83,158.5,0.87,156.5,0.8,158.5,3,1,1,4,57,57,31,29,9.0,3.0,0.0,0.0,0,5.0,1~GD,28.0,1.0,20180717140611.0,1015,,0.0,0.0
88,,,,,-8.5,0.83,10.5,0.83,158.5,0.87,158.5,0.8,158.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,5.0,1~GD,24.0,1.0,20180717140615.0,1015,,0.0,0.0
89,,,,,-8.5,0.83,8.5,0.83,158.5,0.87,158.5,0.8,-8.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,5.0,1~GD,24.0,1.0,20180717140615.0,1015,,0.0,0.0
90,,,,,-8.5,0.8,8.5,0.87,158.5,0.83,158.5,0.83,8.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,5.0,1~GD,22.0,1.0,20180717140617.0,1015,,0.0,0.0
91,,,,,-8.5,0.8,8.5,0.87,157.5,0.83,158.5,0.83,157.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,5.0,1~GD,14.0,1.0,20180717140625.0,1015,,0.0,0.0
92,,,,,-8.5,0.8,8.5,0.87,157.5,0.83,157.5,0.83,157.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,5.0,1~GD,6.0,1.0,20180717140634.0,1015,,0.0,0.0
93,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,157.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,5.0,1~GD,6.0,1.0,20180717140634.0,1015,,0.0,0.0
94,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,156.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,58.0,1.0,20180717140642.0,1015,,0.0,0.0
95,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,156.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,54.0,0.0,20180717140646.0,1015,,0.0,0.0
96,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,156.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,54.0,0.0,20180717140647.0,1015,,0.0,0.0
97,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,156.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,54.0,0.0,20180717140648.0,1015,,0.0,0.0
98,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,156.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,54.0,0.0,20180717140654.0,1015,,0.0,0.0
99,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,156.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,54.0,0.0,20180717140655.0,1015,,0.0,0.0
100,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,156.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,52.0,0.0,20180717140710.0,1015,,0.0,0.0
101,,,,,-8.5,0.8,8.5,0.87,155.5,0.83,156.5,0.83,155.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,52.0,1.0,20180717140720.0,1015,,0.0,0.0
102,,,,,-8.5,0.8,8.5,0.87,155.5,0.83,155.5,0.83,155.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,44.0,1.0,20180717140728.0,1015,,0.0,0.0
103,,,,,-8.5,0.8,8.5,0.87,154.5,0.83,155.5,0.83,154.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,44.0,1.0,20180717140728.0,1015,,0.0,0.0
104,,,,,-8.5,0.8,8.5,0.87,154.5,0.83,154.5,0.83,154.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,36.0,1.0,20180717140736.0,1015,,0.0,0.0
105,,,,,-8.5,0.8,8.5,0.87,156.5,0.83,154.5,0.83,156.5,3,1,1,4,57,57,31,29,9.0,5.0,0.0,0.0,0,4.0,1~GD,36.0,1.0,20180717140736.0,1015,,0.0,0.0
106,,,,,-10.5,0.8,8.5,0.87,156.5,0.83,156.5,0.83,156.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,30.0,1.0,20180717140742.0,1015,,0.0,0.0
107,,,,,-10.5,0.83,10.5,0.87,156.5,0.83,156.5,0.83,-10.5,3,1,1,4,57,57,31,29,11.0,5.0,0.0,0.0,0,4.0,1~GD,30.0,1.0,20180717140742.0,1015,,0.0,0.0
