,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
32,,,,第2节,-3.5,0.87,3.5,0.8,189.5,0.83,189.5,0.83,189.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,44.0,42.0,0.0,#FFDF1B,1,1.0,22.0,0,,11074.0,0.56,1.3
33,,,,第2节,-3.5,0.87,3.5,0.8,189.5,0.83,189.5,0.83,189.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,1.0,3.0,0,,21077.0,0.56,1.3
34,,,,第2节,-3.5,0.8,1.5,0.87,189.5,0.83,189.5,0.83,1.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,1.0,3.0,0,,21077.0,0.56,1.3
35,,,,第2节,-1.5,0.8,1.5,0.87,189.5,0.83,189.5,0.83,-1.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,50.0,0,,21077.0,0.66,1.1
36,,,,第2节,-1.5,0.83,1.5,0.83,188.5,0.83,188.5,0.83,188.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,50.0,0,,11077.0,0.66,1.1
37,,,,第2节,-1.5,0.83,1.5,0.8,188.5,0.83,188.5,0.83,188.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,50.0,0,,21077.0,0.71,1.0
38,,,,第2节,-1.5,0.87,2.5,0.8,188.5,0.83,188.5,0.83,2.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,50.0,0,,21077.0,0.71,1.0
39,,,,第2节,-2.5,0.87,2.5,0.8,188.5,0.83,187.5,0.83,-2.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,50.0,0,,21077.0,0.71,1.0
40,,,,第2节,-2.5,0.87,2.5,0.8,187.5,0.83,187.5,0.83,187.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,50.0,0,,21077.0,0.71,1.0
41,,,,第2节,-2.5,0.87,2.5,0.8,187.5,0.83,187.5,0.83,187.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,36.0,0,,21077.0,0.71,1.0
42,,,,第2节,-2.5,0.83,1.5,0.83,187.5,0.83,187.5,0.83,1.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,36.0,0,,21077.0,0.66,1.1
43,,,,第2节,-1.5,0.83,1.5,0.83,187.5,0.83,185.5,0.83,-1.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,36.0,0,,21077.0,0.66,1.1
44,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,36.0,0,,21077.0,0.66,1.1
45,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,11.0,0,,21077.0,0.66,1.1
46,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,11.0,0,,11077.0,0.71,1.0
47,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,0.0,0,,11077.0,0.71,1.0
48,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,0.0,0,,1083.0,0.71,1.0
49,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,2.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,0.0,0,,1083.0,0.71,1.0
50,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,3.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,0.0,0,,1083.0,0.71,1.0
51,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,0.0,0.0,0,,1083.0,0.71,1.0
52,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
53,,,,第2节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
54,,,,第3节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
55,,,,第3节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
56,,,第3节,第3节,-1.5,0.83,1.5,0.83,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
57,,,第3节,第3节,-1.5,0.83,1.5,0.87,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
58,,,第3节,第3节,-1.5,0.8,1.5,0.87,185.5,0.83,185.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
59,,,第3节,第3节,-1.5,0.8,1.5,0.87,185.5,0.83,184.5,0.83,185.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
60,,,第3节,第3节,-1.5,0.8,1.5,0.87,185.5,0.83,184.5,0.83,184.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
61,,,第3节,第3节,-1.5,0.8,1.5,0.87,184.5,0.83,184.5,0.83,184.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
62,,,第3节,第3节,-1.5,0.8,1.5,0.87,184.5,0.83,184.5,0.83,184.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.0
63,,,第3节,第3节,-1.5,0.8,1.5,0.87,184.5,0.83,184.5,0.83,184.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.71,1.1
64,,,第3节,第3节,-1.5,0.8,1.5,0.87,184.5,0.83,184.5,0.83,184.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",,1.0,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1083.0,0.66,1.1
65,,,第3节,第3节,-1.5,0.8,1.5,0.87,184.5,0.83,184.5,0.83,184.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",3.0,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,10.0,0.0,0,,1089.0,0.66,1.1
66,,,第3节,第3节,-1.5,0.8,1.5,0.87,184.5,0.83,184.5,0.83,184.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",3.0,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,9.0,36.0,0,,21077.0,0.66,1.1
67,,,第3节,第3节,-1.5,0.87,2.5,0.8,184.5,0.83,184.5,0.83,2.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",3.0,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,9.0,36.0,0,,21077.0,0.66,1.1
68,,,第3节,第3节,-2.5,0.87,2.5,0.8,184.5,0.83,181.5,0.83,-2.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",3.0,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,9.0,36.0,0,,21077.0,0.66,1.1
69,,,第3节,第3节,-2.5,0.87,2.5,0.8,181.5,0.83,181.5,0.83,181.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",3.0,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,9.0,36.0,0,,21077.0,0.66,1.1
70,,,第3节,第3节,-2.5,0.87,2.5,0.8,181.5,0.83,181.5,0.83,181.5,"#F0F0F0,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#3D4A4E",3.0,,,2.0,8.0,18.0,11.0,5.0,6.0,3.0,4.0,0.0,0.0,62.5,85.7,49.0,44.0,0.0,#FFDF1B,1,9.0,21.0,0,,11077.0,0.66,1.1
