,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
12,,,,第3节,-4.5,0.83,4.5,0.83,169.5,0.83,169.5,0.83,-4.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,3.0,6.0,0,,21077.0,0.0,1.75,
13,,,,第3节,-4.5,0.83,3.5,0.83,169.5,0.83,169.5,0.83,3.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,3.0,6.0,0,,21077.0,0.0,1.75,
14,,,,第3节,-3.5,0.83,3.5,0.83,169.5,0.83,171.5,0.83,-3.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,3.0,6.0,0,,21077.0,0.0,1.75,
15,,,,第3节,-3.5,0.83,3.5,0.83,171.5,0.83,171.5,0.83,171.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,3.0,6.0,0,,21077.0,0.0,1.75,
16,,,,第3节,-3.5,0.83,3.5,0.83,171.5,0.83,171.5,0.83,171.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,2.0,36.0,0,,21077.0,0.47,0.0,
17,,,,第3节,-3.5,0.83,2.5,0.83,171.5,0.83,171.5,0.83,2.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,2.0,36.0,0,,21077.0,0.47,0.0,
18,,,,第3节,-2.5,0.83,2.5,0.83,171.5,0.83,169.5,0.83,-2.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,2.0,36.0,0,,21077.0,0.47,0.0,
19,,,,第3节,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,169.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,2.0,36.0,0,,21077.0,0.47,0.0,
20,,,,第3节,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,169.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,2.0,25.0,0,,11077.0,0.56,1.3,
21,,,,第3节,-2.5,0.83,2.5,0.83,168.5,0.83,168.5,0.83,168.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,60.0,55.0,0.0,1,2.0,25.0,0,,11077.0,0.56,1.3,
