,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
59,4.0,-23.5,0.0,23.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,3.0,5,2,69.2,72.7,53.3,,71,94,0,1,1.0,0.0,0.0,20181020140141.0,21077.0
60,4.0,-23.5,0.0,23.5,0.0,1.0,,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,6.0,5,2,69.2,72.7,53.3,,71,94,0,1,1.0,0.0,0.0,20181020140142.0,11086.0
61,4.0,-23.5,0.0,23.5,0.0,1.0,1:2,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,6.0,5,2,69.2,72.7,53.3,,71,94,0,1,1.0,0.0,0.0,20181020140143.0,21078.0
62,4.0,-24.5,0.0,24.5,0.0,1.0,1:2^2:2,,13.0,6,12,22.0,19,20,9.0,8,8,3,1,6.0,5,2,56.2,72.7,53.3,,71,95,0,1,1.0,0.0,0.0,20181020140150.0,21079^21078
63,4.0,-24.5,0.0,24.5,0.0,1.0,,,13.0,6,12,22.0,19,20,10.0,8,8,3,1,6.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,1.0,0.0,0.0,20181020140200.0,11077.0
64,4.0,-24.5,0.0,24.5,0.0,1.0,,,13.0,6,12,22.0,19,20,10.0,8,8,3,1,6.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,1.0,0.0,1.0,20181020140203.0,11077.0
65,4.0,-24.5,0.0,24.5,0.0,1.0,,,13.0,6,12,22.0,19,20,10.0,8,8,3,1,6.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,51.0,1.0,20181020140211.0,11077.0
66,4.0,-24.5,0.0,24.5,0.0,1.0,,,13.0,6,12,22.0,19,20,10.0,8,8,3,1,6.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,50.0,1.0,20181020140212.0,11077.0
67,4.0,-24.5,0.0,24.5,0.0,1.0,,,13.0,6,12,22.0,19,20,10.0,8,8,3,1,6.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,50.0,0.0,20181020140213.0,11077.0
68,4.0,-24.5,0.0,24.5,0.0,1.0,,,13.0,6,12,22.0,19,20,10.0,8,8,3,1,6.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,50.0,0.0,20181020140219.0,11077.0
69,4.0,-24.5,0.0,24.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,50.0,0.0,20181020140220.0,21086.0
70,4.0,-24.5,0.0,24.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,50.0,0.0,20181020140223.0,21086.0
71,4.0,-24.5,0.0,24.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,50.0,0.0,20181020140230.0,11077.0
72,4.0,-24.5,0.0,24.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,50.0,1.0,20181020140231.0,11077.0
73,4.0,-24.5,0.0,24.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,41.0,1.0,20181020140239.0,11077.0
74,4.0,-25.5,0.0,25.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,40.0,1.0,20181020140241.0,21077.0
75,4.0,-25.5,0.0,25.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,33.0,1.0,20181020140246.0,21077.0
76,4.0,-25.5,0.0,25.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,24.0,1.0,20181020140254.0,21077.0
77,4.0,-25.5,0.0,25.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,23.0,0.0,20181020140257.0,21077.0
78,4.0,-24.5,0.0,24.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,22.0,0.0,20181020140310.0,11077.0
79,4.0,-24.5,0.0,24.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,22.0,1.0,20181020140310.0,11077.0
80,4.0,-24.5,0.0,24.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,13.0,1.0,20181020140321.0,11077.0
81,4.0,-25.5,0.0,25.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,7.0,1.0,20181020140328.0,21077.0
82,4.0,-25.5,0.0,25.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,0.0,0.0,20181020140336.0,21077.0
83,4.0,-25.5,0.0,25.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,0.0,0.0,20181020140347.0,21077.0
84,4.0,-25.5,0.0,25.5,0.0,1.0,,1.0,13.0,6,12,22.0,19,20,10.0,8,8,3,1,4.0,5,2,58.8,72.7,53.3,96.0,71,96,0,1,0.0,0.0,0.0,20181020140347.0,1084.0
