,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,MD,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
52,,,,,3.0,10.5,0.8695652173913043,-10.5,0.8,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,21.0,8.0,8.0,3,3.0,1.0,1.0,88.9,80.0,72.0,62.0,0,1,4.0,52.0,0.0,20181109034007.0,21077.0,5.25,0.10526315789473684
53,44.0,5.0,,,3.0,10.5,0.8695652173913043,-10.5,0.8,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,21.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,62.0,0,1,4.0,53.0,0.0,20181109034008.0,21081.0,5.25,0.10526315789473684
54,44.0,5.0,,,3.0,10.5,0.8695652173913043,-10.5,0.8,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,21.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,62.0,0,1,4.0,53.0,0.0,20181109034009.0,21081.0,5.25,0.10526315789473684
55,,,,,3.0,10.5,0.8695652173913043,-10.5,0.8,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,21.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,62.0,0,1,4.0,53.0,1.0,20181109034143.0,21077.0,5.25,0.10526315789473684
56,,,,,3.0,10.5,0.8695652173913043,-10.5,0.8,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,21.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,62.0,0,1,4.0,52.0,1.0,20181109034144.0,21077.0,5.25,0.10526315789473684
57,,,,,3.0,10.5,0.8695652173913043,-10.5,0.8,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,21.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,62.0,0,1,4.0,43.0,1.0,20181109034153.0,21077.0,5.25,0.10526315789473684
58,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,^,,,8.0,4.0,20.0,22.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,64.0,0,1,4.0,36.0,1.0,20181109034200.0,21074^11077,5.25,0.10526315789473684
59,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,22.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,64.0,0,1,4.0,27.0,1.0,20181109034209.0,11077.0,5.25,0.10526315789473684
60,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,22.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,64.0,0,1,4.0,23.0,0.0,20181109034213.0,11077.0,5.25,0.10526315789473684
61,,,,,3.0,10.5,0.8,-10.5,0.8695652173913043,206.5,0.8333333333333334,206.5,0.8333333333333334,,,,,,,8.0,4.0,20.0,22.0,8.0,8.0,3,2.0,1.0,1.0,88.9,80.0,72.0,64.0,0,1,4.0,23.0,1.0,20181109034227.0,11077.0,5.25,0.10526315789473684
