,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,XY
22,,,,第1节,63.5,0.83,-63.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,21.0,0,,21077.0,
23,,,,第1节,63.5,0.83,-63.5,0.83,141.5,0.83,140.5,0.83,141.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,21.0,0,,11077.0,
24,,,,第1节,63.5,0.83,-63.5,0.83,140.5,0.83,140.5,0.83,140.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,21.0,0,,11077.0,
25,,,,第1节,63.5,0.83,-63.5,0.83,140.5,0.83,140.5,0.83,140.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,16.0,0,,11077.0,
26,,,,第1节,63.5,0.83,-63.5,0.83,140.5,0.83,140.5,0.83,140.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,16.0,0,,11077.0,
27,,,,第1节,63.5,0.83,-63.5,0.83,140.5,0.83,140.5,0.83,140.5,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,10.0,0,,11077.0,
28,,,,第1节,63.5,0.83,-63.5,0.83,140.5,0.83,140.5,0.83,140.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1,9.0,GD,10.0,0,,11074.0,"0.87,0.62"
29,,,,第1节,63.5,0.83,-63.5,0.83,140.5,0.83,140.5,0.83,140.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,9.0,GD,10.0,0,,21077.0,
30,,,,第1节,63.5,0.8,-65.5,0.87,140.5,0.83,140.5,0.83,-65.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,9.0,GD,10.0,0,,21077.0,
31,,,,第1节,65.5,0.8,-65.5,0.87,140.5,0.83,142.5,0.8,65.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,9.0,GD,10.0,0,,21077.0,
32,,,,第1节,65.5,0.8,-65.5,0.87,142.5,0.87,142.5,0.8,142.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,9.0,GD,10.0,0,,21077.0,
33,,,,第1节,65.5,0.8,-65.5,0.83,142.5,0.87,142.5,0.8,142.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,9.0,GD,10.0,0,,11077.0,
34,,,,第1节,65.5,0.83,-64.5,0.83,142.5,0.87,142.5,0.8,-64.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,9.0,GD,10.0,0,,11077.0,
35,,,,第1节,64.5,0.83,-64.5,0.83,142.5,0.87,141.5,0.83,64.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,9.0,GD,10.0,0,,11077.0,
36,,,,第1节,64.5,0.83,-64.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,9.0,GD,10.0,0,,11077.0,
37,,,,第1节,64.5,0.83,-64.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,8.0,GD,56.0,0,,11077.0,
38,,,,第1节,64.5,0.83,-64.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1,8.0,GD,56.0,0,,11074.0,"0.93,0.55"
39,,,,第1节,64.5,0.83,-64.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1,8.0,GD,56.0,0,,21077.0,
40,,,,第1节,64.5,0.83,-65.5,0.83,141.5,0.83,141.5,0.83,-65.5,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1,8.0,GD,56.0,0,,21077.0,
41,,,,第1节,65.5,0.83,-65.5,0.83,141.5,0.83,143.5,0.83,65.5,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1,8.0,GD,56.0,0,,21077.0,
42,,,,第1节,65.5,0.83,-65.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1,8.0,GD,56.0,0,,21077.0,
43,,,,第1节,65.5,0.83,-65.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1,8.0,GD,40.0,0,,21077.0,
44,,,,第1节,65.5,0.83,-65.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1,8.0,GD,40.0,0,,21086.0,
45,,,,第1节,65.5,0.87,-65.5,0.8,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1,8.0,GD,40.0,0,,11077.0,
46,,,,第1节,65.5,0.83,-66.5,0.83,143.5,0.83,143.5,0.83,-66.5,1.0,1:1,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1,8.0,GD,40.0,0,,11078.0,
47,,,,第1节,66.5,0.83,-66.5,0.83,143.5,0.83,143.5,0.83,66.5,1.0,1:1,0.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,9.0,8.0,0.0,1,8.0,GD,40.0,0,,11079.0,"0.80,0.50"
48,,,,第1节,66.5,0.83,-66.5,0.83,143.5,0.83,143.5,0.83,66.5,1.0,,0.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,9.0,0.0,1,8.0,GD,40.0,0,,21077.0,
49,,,,第1节,66.5,0.83,-66.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,9.0,0.0,1,8.0,GD,40.0,0,,21077.0,
50,,,,第1节,66.5,0.83,-66.5,0.83,144.5,0.83,143.5,0.83,144.5,1.0,,0.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,9.0,0.0,1,8.0,GD,40.0,0,,21077.0,
51,,,,第1节,66.5,0.83,-66.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,9.0,0.0,1,8.0,GD,40.0,0,,21077.0,
52,,,,第1节,66.5,0.83,-66.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,9.0,0.0,1,8.0,GD,23.0,0,,21077.0,
53,,,,第1节,66.5,0.83,-66.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,4.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,11.0,9.0,0.0,1,8.0,GD,23.0,0,,11077.0,
54,,,,第1节,66.5,0.83,-66.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,11.0,9.0,0.0,1,8.0,GD,23.0,0,,11074.0,"0.89,0.49"
55,,,,第1节,66.5,0.83,-66.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,18.0,0,,21077.0,
56,,,,第1节,66.5,0.83,-67.5,0.83,143.5,0.83,143.5,0.83,-67.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,18.0,0,,21077.0,
57,,,,第1节,67.5,0.83,-67.5,0.83,143.5,0.83,145.5,0.83,67.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,18.0,0,,21077.0,
58,,,,第1节,67.5,0.83,-67.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,18.0,0,,21077.0,
59,,,,第1节,67.5,0.83,-67.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,18.0,0,,21095.0,"0.11,0.58"
60,,,,第1节,67.5,0.83,-67.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,18.0,0,,11077.0,
61,,,,第1节,67.5,0.83,-67.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,3.0,0,,11077.0,
62,,,,第1节,67.5,0.87,-68.5,0.8,144.5,0.83,144.5,0.83,-68.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,3.0,0,,11077.0,
63,,,,第1节,68.5,0.87,-68.5,0.8,144.5,0.83,146.5,0.83,68.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,3.0,0,,11077.0,
64,,,,第1节,68.5,0.87,-68.5,0.8,146.5,0.83,146.5,0.83,146.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,8.0,GD,3.0,0,,11077.0,
65,,,,第1节,68.5,0.87,-68.5,0.8,146.5,0.83,146.5,0.83,146.5,1.0,,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,0.0,11.0,0.0,1,7.0,GD,58.0,0,,11077.0,
66,,,,第1节,68.5,0.87,-68.5,0.8,146.5,0.83,146.5,0.83,146.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,13.0,11.0,0.0,1,7.0,GD,58.0,0,,11074.0,"0.85,0.51"
