,AM,AS,ED,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
54,,,,,2:2^,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,6.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,41.0,1.0,20181108165544.0,11080^21077
55,,,,,2:2^,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,6.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,41.0,1.0,20181108165545.0,11080^21077
56,,,,,2:2^,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,6.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,39.0,1.0,20181108165546.0,11080^21077
57,,,,,2:2^,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,6.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,32.0,0.0,20181108165553.0,11080^21077
58,,,,,^,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,32.0,0.0,20181108165603.0,21086^11077
59,,,,,^,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,32.0,0.0,20181108165605.0,21086^11077
60,,,,,^,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,32.0,1.0,20181108165618.0,21086^11077
61,,,,,^,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,31.0,1.0,20181108165618.0,21086^11077
62,,,,,,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,31.0,1.0,20181108165618.0,11077.0
63,,,,,,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,23.0,1.0,20181108165627.0,11077.0
64,,,,,,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,18.0,0.0,20181108165632.0,11077.0
65,,,,,,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,18.0,1.0,20181108165645.0,11077.0
66,,,,,,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,17.0,1.0,20181108165645.0,11077.0
67,,,,,,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,17.0,1.0,20181108165646.0,11077.0
68,,,,,,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,8.0,1.0,20181108165654.0,11077.0
69,,,,,,,2.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,64,65,0,1,2.0,0.0,1.0,20181108165702.0,11077.0
70,,,,,^,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,57.0,1.0,20181108165706.0,11075^21077
71,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,56.0,1.0,20181108165707.0,21077.0
72,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,47.0,1.0,20181108165715.0,21077.0
73,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,42.0,1.0,20181108165721.0,21077.0
74,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,33.0,1.0,20181108165729.0,21077.0
75,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,32.0,1.0,20181108165730.0,21077.0
76,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,31.0,1.0,20181108165732.0,11077.0
77,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,31.0,1.0,20181108165733.0,11077.0
78,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,31.0,1.0,20181108165802.0,11077.0
79,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,29.0,1.0,20181108165803.0,21077.0
80,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,20.0,1.0,20181108165811.0,21077.0
81,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,20.0,1.0,20181108165813.0,11077.0
82,,,,,,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,7.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,16.0,0.0,20181108165816.0,11077.0
83,,,,,^,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,8.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,18.0,0.0,20181108165821.0,21086^11077
84,,,,,1:2,,4.0,3,1,18.0,19,17,14.0,11,21,,4,2,8.0,2,4,58.3,55.0,77.8,67,65,0,1,1.0,18.0,0.0,20181108165822.0,11078.0
85,,,,,1:2^2:2,,4.0,3,1,18.0,19,17,15.0,11,21,,4,2,8.0,2,4,60.0,55.0,77.8,68,65,0,1,1.0,18.0,0.0,20181108165853.0,11079^11078
86,,,,,2:2^,,4.0,3,1,18.0,19,17,15.0,11,21,,4,2,8.0,2,4,57.7,55.0,77.8,68,65,0,1,1.0,18.0,1.0,20181108165911.0,11080^21077
87,,,,,,,4.0,3,1,18.0,19,17,15.0,11,21,,4,2,8.0,2,4,57.7,55.0,77.8,68,65,0,1,1.0,17.0,1.0,20181108165916.0,11077.0
88,,,,,^,,4.0,3,1,21.0,19,17,15.0,11,21,,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,1.0,17.0,1.0,20181108165918.0,11074^21077
89,,,,,^,,4.0,3,1,21.0,19,17,15.0,11,21,,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,1.0,15.0,0.0,20181108165918.0,11074^21077
90,,,,,^,,4.0,3,1,21.0,19,17,15.0,11,21,,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,1.0,15.0,0.0,20181108165919.0,11074^21077
91,44.0,5.0,,,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,1.0,15.0,0.0,20181108165931.0,21081.0
92,,,,,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,1.0,15.0,1.0,20181108170059.0,21077.0
93,,,,,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,1.0,14.0,1.0,20181108170100.0,21077.0
94,,,,,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,1.0,4.0,1.0,20181108170107.0,11077.0
95,,,,,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,0.0,56.0,1.0,20181108170115.0,21077.0
96,,,,,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,0.0,55.0,1.0,20181108170115.0,21077.0
97,,,,,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,0.0,47.0,1.0,20181108170124.0,21077.0
98,,,,,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,0.0,38.0,1.0,20181108170132.0,21077.0
99,,,,1.0,,,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,8.0,2,4,57.7,55.0,77.8,70,65,0,1,0.0,30.0,0.0,20181108170140.0,21077.0
100,,,,2.0,^,1.0,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,4.0,2,4,57.7,55.0,77.8,70,65,0,1,0.0,46.0,0.0,20181108170144.0,11086^21077
101,,,,2.0,1:2,1.0,4.0,3,1,21.0,19,17,15.0,11,21,1.0,4,2,4.0,2,4,57.7,55.0,77.8,70,65,0,1,0.0,46.0,0.0,20181108170146.0,21078.0
102,,,,2.0,1:2^2:2,1.0,4.0,3,1,21.0,19,17,23.0,11,21,1.0,4,2,4.0,2,4,76.7,55.0,77.8,70,66,0,1,0.0,46.0,0.0,20181108170153.0,21079^21078
103,,,,2.0,2:2^,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,46.0,0.0,20181108170202.0,21079^11077
104,,,,2.0,2:2^,1.0,4.0,3,1,21.0,19,17,24.0,11,21,1.0,4,2,4.0,2,4,77.4,55.0,77.8,70,67,0,1,0.0,46.0,1.0,20181108170210.0,21079^11077
