,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
25,,42.5,0.0,-42.5,0.0,,^,79.0,37.0,0,1,1.0,41.0,1,20180913151943.0,11074^21077,^
26,,42.5,0.0,-42.5,0.0,,,79.0,37.0,0,1,1.0,40.0,1,20180913151943.0,21077.0,
27,,42.5,0.0,-42.5,0.0,,,79.0,37.0,0,1,1.0,31.0,1,20180913151952.0,21077.0,
28,,42.5,0.0,-42.5,0.0,,,79.0,37.0,0,1,1.0,29.0,1,20180913151954.0,21077.0,
29,,43.5,0.0,-43.5,0.0,,,79.0,37.0,0,1,1.0,19.0,1,20180913152001.0,11077.0,
30,,43.5,0.0,-43.5,0.0,,,79.0,37.0,0,1,1.0,18.0,1,20180913152002.0,11077.0,
31,,43.5,0.0,-43.5,0.0,,,79.0,37.0,0,1,1.0,10.0,1,20180913152010.0,11077.0,
32,,43.5,0.0,-43.5,0.0,,,79.0,37.0,0,1,1.0,1.0,1,20180913152019.0,11077.0,
33,,43.5,0.0,-43.5,0.0,,,79.0,37.0,0,1,1.0,0.0,1,20180913152021.0,11077.0,
34,,43.5,0.0,-43.5,0.0,1.0,,79.0,37.0,0,1,0.0,56.0,0.0,20180913152024.0,11077.0,
35,,43.5,0.0,-43.5,0.0,1.0,,79.0,37.0,0,1,0.0,56.0,1.0,20180913152037.0,11077.0,
36,,43.5,0.0,-43.5,0.0,1.0,,79.0,37.0,0,1,0.0,56.0,1.0,20180913152038.0,11077.0,
37,,43.5,0.0,-43.5,0.0,1.0,,79.0,37.0,0,1,0.0,47.0,1.0,20180913152046.0,11077.0,
38,,43.5,0.0,-43.5,0.0,1.0,,79.0,37.0,0,1,0.0,38.0,1.0,20180913152055.0,11077.0,
39,,43.5,0.0,-43.5,0.0,1.0,,79.0,37.0,0,1,0.0,38.0,1.0,20180913152056.0,11077.0,
40,,43.5,0.0,-43.5,0.0,1.0,,79.0,37.0,0,1,0.0,35.0,1.0,20180913152056.0,11077.0,
41,,41.5,0.0,-41.5,0.0,1.0,,79.0,37.0,0,1,0.0,30.0,1.0,20180913152104.0,21077.0,
42,,41.5,0.0,-41.5,0.0,1.0,,79.0,37.0,0,1,0.0,29.0,1.0,20180913152104.0,21077.0,
43,,41.5,0.0,-41.5,0.0,1.0,,79.0,37.0,0,1,0.0,27.0,1.0,20180913152107.0,21077.0,
44,,41.5,0.0,-41.5,0.0,1.0,,79.0,37.0,0,1,0.0,18.0,1.0,20180913152115.0,21077.0,
45,,41.5,0.0,-41.5,0.0,1.0,,79.0,37.0,0,1,0.0,15.0,0.0,20180913152119.0,21077.0,
46,,41.5,0.0,-41.5,0.0,1.0,,79.0,37.0,0,1,0.0,15.0,1.0,20180913152128.0,21077.0,
47,,41.5,0.0,-41.5,0.0,1.0,,79.0,37.0,0,1,0.0,14.0,1.0,20180913152128.0,21077.0,
48,,42.5,0.0,-42.5,0.0,1.0,,79.0,37.0,0,1,0.0,13.0,1.0,20180913152129.0,11077.0,
49,,42.5,0.0,-42.5,0.0,1.0,,79.0,37.0,0,1,0.0,4.0,1.0,20180913152138.0,11077.0,
50,,42.5,0.0,-42.5,0.0,1.0,,79.0,37.0,0,1,0.0,0.0,0.0,20180913152143.0,11077.0,
51,,42.5,0.0,-42.5,0.0,1.0,,79.0,37.0,0,1,0.0,0.0,0.0,20180913152200.0,11077.0,
52,,42.5,0.0,-42.5,0.0,1.0,,79.0,37.0,0,1,0.0,0.0,0.0,20180913152200.0,1084.0,
