,AM,AS,CU,DC,ED,MD,PG,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,UC,VC
45,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,12.0,8.0,12.0,0,1,4.0,42.0,1.0,20180919102652.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
46,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,13.0,8.0,13.0,0,1,4.0,42.0,1.0,20180919102652.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
47,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,13.0,8.0,13.0,0,1,4.0,42.0,1.0,20180919102652.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
48,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,14.0,8.0,14.0,0,1,4.0,42.0,1.0,20180919102652.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
49,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,14.0,8.0,14.0,0,1,4.0,9.0,0.0,20180919102652.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
50,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,14.0,8.0,14.0,0,1,4.0,9.0,1.0,20180919102744.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
51,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,9.0,8.0,14.0,0,1,4.0,9.0,1.0,20180919102744.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
52,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,9.0,9.0,14.0,0,1,4.0,9.0,1.0,20180919102744.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
53,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,15.0,9.0,15.0,0,1,4.0,9.0,1.0,20180919102744.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
54,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,10.0,10.0,15.0,0,1,4.0,9.0,1.0,20180919102744.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
