,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
34,,上半场,3.5,0.91,-1.5,0.83,109.5,0.87,109.5,0.87,-1.5,1.0,,2.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
35,,上半场,1.5,0.91,-1.5,0.83,109.5,0.87,109.5,0.87,1.5,1.0,,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1,18.0,GD,0.0,1.0,,11075.0,1.1,0.71
36,,上半场,1.5,0.91,-1.5,0.83,109.5,0.87,109.5,0.87,1.5,1.0,,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
37,,上半场,1.5,0.91,-1.5,0.83,112.5,0.83,112.5,0.91,112.5,1.0,,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
38,,上半场,1.5,0.91,-1.5,0.87,112.5,0.83,112.5,0.91,112.5,1.0,,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
39,,上半场,1.5,0.87,-3.5,0.87,112.5,0.83,112.5,0.91,-3.5,1.0,,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.1,0.71
40,,上半场,3.5,0.87,-3.5,0.87,112.5,0.83,112.5,0.91,3.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,21074.0,1.5,0.56
41,,上半场,3.5,0.87,-3.5,0.87,112.5,0.83,112.5,0.91,3.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
42,,上半场,3.5,0.87,-3.5,0.87,114.5,0.87,114.5,0.87,114.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
43,,上半场,3.5,0.87,-3.5,0.87,114.5,0.87,114.5,0.87,114.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
44,,上半场,3.5,0.87,-2.5,0.87,114.5,0.87,114.5,0.87,-2.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.5,0.56
45,,上半场,2.5,0.83,-2.5,0.91,114.5,0.83,114.5,0.91,2.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.2,0.66
46,,上半场,2.5,0.83,-2.5,0.91,116.5,0.87,116.5,0.87,116.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.2,0.66
47,,上半场,2.5,0.83,-2.5,0.91,116.5,0.87,116.5,0.87,116.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.2,0.66
48,,上半场,2.5,0.83,-1.5,0.91,116.5,0.87,116.5,0.87,-1.5,1.0,,3.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.2,0.66
49,,上半场,1.5,0.83,-1.5,0.91,116.5,0.87,116.5,0.87,1.5,1.0,,3.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,13.0,1.0,1,18.0,GD,0.0,1.0,,21074.0,1.0,0.77
50,,上半场,1.5,0.83,-1.5,0.91,116.5,0.87,116.5,0.87,1.5,1.0,,3.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.0,0.77
51,,上半场,1.5,0.83,-1.5,0.91,117.5,0.91,117.5,0.83,117.5,1.0,,3.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.0,0.77
52,,上半场,1.5,0.83,-1.5,0.87,117.5,0.91,117.5,0.83,117.5,1.0,,3.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.0,0.77
53,,上半场,1.5,0.87,-2.5,0.87,117.5,0.91,117.5,0.83,-2.5,1.0,,3.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.0,0.77
54,,上半场,2.5,0.87,-2.5,0.87,117.5,0.91,117.5,0.83,2.5,1.0,,4.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11075.0,1.3,0.63
55,,上半场,2.5,0.87,-2.5,0.87,117.5,0.91,117.5,0.83,2.5,1.0,,4.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,13.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.3,0.63
56,,上半场,2.5,0.91,-2.5,0.83,117.5,0.87,117.5,0.87,2.5,1.0,,4.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
57,,上半场,2.5,0.91,-2.5,0.83,117.5,0.87,117.5,0.87,2.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,1,18.0,GD,0.0,1.0,,11074.0,1.35,0.61
58,,上半场,2.5,0.91,-2.5,0.83,117.5,0.87,117.5,0.87,2.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
59,,上半场,2.5,0.91,-2.5,0.83,120.5,0.83,120.5,0.91,120.5,1.0,,4.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
