,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
29,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1,9.0,GD,20.0,1.0,20180519004241.0,21077.0,0.0,0.0
30,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1,9.0,GD,20.0,1.0,20180519004241.0,21077.0,0.0,0.0
31,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1,9.0,GD,7.0,1.0,20180519004252.0,21077.0,0.0,0.0
32,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1,9.0,GD,7.0,1.0,20180519004252.0,21077.0,0.0,0.0
33,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1,8.0,GD,56.0,1.0,20180519004303.0,21077.0,0.0,0.0
34,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1,8.0,GD,56.0,1.0,20180519004303.0,21077.0,0.0,0.0
35,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,8.0,GD,53.0,1.0,20180519004307.0,21077.0,0.0,0.0
36,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,8.0,GD,53.0,0.0,20180519004307.0,21077.0,0.0,0.0
37,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,53.0,0.0,20180519004307.0,21077.0,0.0,0.0
38,,,,第1节,15.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,15.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,GD,53.0,1.0,20180519004314.0,21077.0,0.0,0.0
