,AM,AS,ED,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
40,,,,,,10,11,18.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,95,95,0,1,0.0,17.0,1.0,20181010043939.0,11077.0
41,,,,,,10,11,18.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,95,95,0,1,0.0,22.0,1.0,20181010043940.0,11077.0
42,,,,,,10,11,18.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,95,95,0,1,0.0,13.0,1.0,20181010043949.0,11077.0
43,,,,1.0,^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,97,95,0,1,0.0,5.0,1.0,20181010043957.0,11074^21077
44,,,,1.0,^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,97,95,0,1,0.0,4.0,1.0,20181010043957.0,11074^21077
45,,,,1.0,^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,97,95,0,1,0.0,1.0,0.0,20181010044000.0,11074^21077
46,,,,1.0,^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,97,95,0,1,0.0,2.0,0.0,20181010044004.0,11074^21077
47,,,,1.0,^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,97,95,0,1,0.0,2.0,0.0,20181010044005.0,11074^21077
48,,,,1.0,1:1,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,85.7,75.0,83.9,97,95,0,1,0.0,2.0,0.0,20181010044010.0,11078.0
49,,,,1.0,1:1^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,71.8,75.0,83.9,97,95,0,1,0.0,6.0,1.0,20181010044051.0,11080^21077
50,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,71.8,75.0,83.9,97,95,0,1,0.0,6.0,1.0,20181010044054.0,11077.0
51,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,71.8,75.0,83.9,97,95,0,1,0.0,5.0,1.0,20181010044054.0,11077.0
52,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,71.8,75.0,83.9,97,95,0,1,0.0,4.0,0.0,20181010044055.0,11077.0
53,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,7.0,7,6,71.8,75.0,83.9,97,95,0,1,0.0,4.0,0.0,20181010044056.0,11077.0
54,,,,1.0,^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,71.8,75.0,83.9,97,95,0,1,0.0,5.0,0.0,20181010044107.0,21086^11077
55,,,,2.0,1:2,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,71.8,75.0,83.9,97,95,0,1,0.0,5.0,0.0,20181010044109.0,11078.0
56,,,,1.0,1:2^2:2,10,11,19.0,17,15,29.0,27,26,1.0,2,1,9.0,7,6,72.5,75.0,83.9,98,95,0,1,0.0,5.0,0.0,20181010044127.0,11079^11078
57,,,,1.0,2:2^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,73.2,75.0,83.9,99,95,0,1,0.0,5.0,0.0,20181010044142.0,11079^21077
58,,,,1.0,2:2^,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,73.2,75.0,83.9,99,95,0,1,0.0,4.0,0.0,20181010044146.0,11079^21077
59,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,73.2,75.0,83.9,99,95,0,1,0.0,0.0,0.0,20181010044151.0,21077.0
60,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,73.2,75.0,83.9,99,95,0,1,0.0,0.0,0.0,20181010044154.0,21077.0
61,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,73.2,75.0,83.9,99,95,0,1,0.0,0.0,0.0,20181010044155.0,21077.0
62,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,73.2,75.0,83.9,99,95,0,1,0.0,0.0,0.0,20181010044201.0,21077.0
63,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,73.2,75.0,83.9,99,95,0,1,0.0,0.0,0.0,20181010044215.0,1084.0
64,,,,1.0,,10,11,19.0,17,15,30.0,27,26,1.0,2,1,9.0,7,6,73.2,75.0,83.9,99,95,0,1,0.0,0.0,0.0,20181010044215.0,1084.0
