,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
36,,,4.0,-3.5,1.0,3.5,0.7692307692307693,187.5,0.7692307692307693,187.5,1.0,10.0,^,9,12.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,89,0,1,2.0,43.0,1.0,20181111034534.0,21075^11077,0.3125,2.4
37,,,4.0,-3.5,1.0,3.5,0.7692307692307693,187.5,0.7692307692307693,187.5,1.0,10.0,^,9,12.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,89,0,1,2.0,34.0,1.0,20181111034542.0,21075^11077,0.30303030303030304,2.5
38,,,4.0,-3.5,1.0,3.5,0.7692307692307693,187.5,0.7692307692307693,187.5,1.0,10.0,^,9,12.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,89,0,1,2.0,31.0,1.0,20181111034546.0,11094.0,0.30303030303030304,2.5
39,,,4.0,-4.5,1.05,4.5,0.7407407407407407,187.5,0.7692307692307693,187.5,1.0,10.0,^,9,12.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,89,0,1,2.0,22.0,1.0,20181111034555.0,21077.0,0.2,3.6
40,,,4.0,-4.5,1.05,4.5,0.7407407407407407,187.5,0.7692307692307693,187.5,1.0,10.0,^,9,12.0,19.0,19.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,89,0,1,2.0,13.0,1.0,20181111034604.0,21077.0,0.18181818181818182,3.9
41,,,4.0,-4.5,0.8333333333333334,4.5,0.9090909090909091,187.5,0.7692307692307693,187.5,1.0,10.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,2.0,12.0,1.0,20181111034605.0,11077.0,0.11764705882352941,5.5
42,,,4.0,-4.5,0.8,4.5,0.9523809523809523,187.5,0.7692307692307693,187.5,1.0,10.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,2.0,3.0,1.0,20181111034613.0,11077.0,0.1111111111111111,5.75
43,,,4.0,-4.5,0.0,4.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,56.0,1.0,20181111034620.0,11094.0,0.10526315789473684,6.0
44,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,55.0,1.0,20181111034621.0,21077.0,0.0625,9.25
45,,,4.0,-5.5,0.0,5.5,0.0,187.5,0.7692307692307693,187.5,1.0,3.0,^,9,12.0,19.0,20.0,20.0,13.0,3,0.0,7.0,1,71.4,76.5,85,91,0,1,1.0,47.0,1.0,20181111034630.0,21077.0,0.05555555555555555,10.25
