,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
23,,,,,,5.5,0.83,-5.5,0.83,155.5,0.83,155.5,0.83,155.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,9.0,1~GD,21.0,1.0,20180721120117.0,11077.0,,1.25,0.0
24,,,,,,7.5,0.83,-7.5,0.83,155.5,0.83,155.5,0.83,7.5,,,0.0,,0.0,,1.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,9.0,1~GD,21.0,1.0,20180721120117.0,11077.0,,1.25,0.0
25,,,,,,7.5,0.83,-7.5,0.83,155.5,0.83,155.5,0.83,-7.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,9.0,1~GD,18.0,1.0,20180721120120.0,11074.0,,1.25,0.0
26,,,,,,7.5,0.8,-7.5,0.87,154.5,0.83,155.5,0.83,154.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,9.0,1~GD,18.0,1.0,20180721120120.0,21077.0,,1.25,0.0
27,,,,,,7.5,0.8,-7.5,0.87,154.5,0.83,154.5,0.83,154.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,9.0,1~GD,10.0,1.0,20180721120128.0,21077.0,,1.25,0.0
28,,,,,,7.5,0.8,-7.5,0.87,154.5,0.8,154.5,0.87,154.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,9.0,1~GD,10.0,1.0,20180721120128.0,21077.0,,1.25,0.0
29,,,,,,7.5,0.8,-7.5,0.87,154.5,0.8,154.5,0.87,154.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,9.0,1~GD,2.0,1.0,20180721120136.0,21077.0,,1.25,0.0
30,,,,,,7.5,0.8,-7.5,0.87,153.5,0.83,154.5,0.83,153.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,9.0,1~GD,2.0,1.0,20180721120136.0,21077.0,,1.25,0.0
31,,,,,,7.5,0.8,-7.5,0.87,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,8.0,1~GD,55.0,1.0,20180721120143.0,21077.0,,1.25,0.0
32,,,,,,7.5,0.83,-7.5,0.83,152.5,0.83,153.5,0.83,152.5,,,0.0,,0.0,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1,8.0,1~GD,55.0,1.0,20180721120143.0,11077.0,,1.25,0.0
