,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
40,,第1节,3.5,0.8,-3.5,0.87,160.5,0.83,160.5,0.83,160.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,9.0,GD,17.0,0,,11077.0,1.25,0.0,
41,,第1节,3.5,0.83,-1.5,0.83,160.5,0.83,160.5,0.83,-1.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,9.0,GD,17.0,0,,11077.0,1.25,0.0,
42,,第1节,1.5,0.83,-1.5,0.83,160.5,0.83,161.5,0.83,1.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,9.0,GD,17.0,0,,11077.0,1.25,0.0,
43,,第1节,1.5,0.83,-1.5,0.83,161.5,0.83,161.5,0.83,161.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,9.0,GD,17.0,0,,11077.0,1.25,0.0,
44,,第1节,1.5,0.83,-1.5,0.83,161.5,0.83,161.5,0.83,161.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,9.0,GD,3.0,0,,11077.0,1.0,0.71,
45,,第1节,1.5,0.83,-1.5,0.83,161.5,0.83,161.5,0.83,161.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,9.0,GD,3.0,0,,11094.0,1.0,0.71,"0.73,0.22"
46,,第1节,1.5,0.83,-1.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,9.0,GD,3.0,0,,21077.0,1.0,0.71,
47,,第1节,1.5,0.83,-1.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,8.0,GD,56.0,0,,21077.0,1.0,0.71,
48,,第1节,1.5,0.83,-1.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,2.0,3.0,0.0,1,8.0,GD,56.0,0,,11077.0,1.0,0.71,
49,,第1节,1.5,0.83,-1.5,0.83,159.5,0.83,159.5,0.83,159.5,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,6.0,3.0,0.0,1,8.0,GD,56.0,0,,11075.0,1.0,0.71,"0.70,0.71"
