,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
46,第1节,-8.5,0.83,8.5,0.83,186.5,0.83,186.5,0.83,186.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,2.0,0.0,1,10.0,30.0,0,,21077.0,0.0,0.0
47,第1节,-8.5,0.83,8.5,0.83,186.5,0.83,186.5,0.83,186.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,2.0,0.0,1,8.0,30.0,0,,21077.0,0.0,0.0
48,第1节,-8.5,0.83,8.5,0.83,186.5,0.83,186.5,0.83,186.5,0.0,0,1.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,2.0,0.0,1,8.0,23.0,0,,21077.0,0.0,0.0
49,第1节,-8.5,0.83,8.5,0.83,186.5,0.83,186.5,0.83,186.5,0.0,0,2.0,8.0,0,0,5,5,0,0,0.0,0.0,4.0,2.0,0.0,1,8.0,23.0,0,,11074.0,0.0,0.0
50,第1节,-8.5,0.83,8.5,0.83,186.5,0.83,186.5,0.83,186.5,0.0,0,2.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,4.0,0.0,1,8.0,23.0,0,,21077.0,0.0,0.0
51,第1节,-8.5,0.83,6.5,0.83,186.5,0.83,186.5,0.83,6.5,0.0,0,2.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,4.0,0.0,1,8.0,23.0,0,,21077.0,0.0,0.0
52,第1节,-6.5,0.83,6.5,0.83,186.5,0.83,188.5,0.83,-6.5,0.0,0,2.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,4.0,0.0,1,8.0,23.0,0,,21077.0,0.0,0.0
53,第1节,-6.5,0.83,6.5,0.83,188.5,0.83,188.5,0.83,188.5,0.0,0,2.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,4.0,0.0,1,8.0,23.0,0,,21077.0,0.0,0.0
54,第1节,-6.5,0.83,6.5,0.83,188.5,0.83,188.5,0.83,188.5,0.0,0,2.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,4.0,0.0,1,8.0,19.0,0,,21077.0,0.0,0.0
55,第1节,-6.5,0.83,6.5,0.83,188.5,0.83,188.5,0.83,188.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,6.0,4.0,0.0,1,8.0,19.0,0,,11074.0,0.0,0.0
56,第1节,-6.5,0.83,6.5,0.83,188.5,0.83,188.5,0.83,188.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,6.0,0.0,1,8.0,19.0,0,,21077.0,0.0,0.0
57,第1节,-6.5,0.87,5.5,0.8,188.5,0.83,188.5,0.83,5.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,6.0,0.0,1,8.0,19.0,0,,21077.0,0.0,0.0
58,第1节,-5.5,0.87,5.5,0.8,188.5,0.83,190.5,0.83,-5.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,6.0,0.0,1,8.0,19.0,0,,21077.0,0.0,0.0
59,第1节,-5.5,0.87,5.5,0.8,190.5,0.83,190.5,0.83,190.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,6.0,0.0,1,8.0,19.0,0,,21077.0,0.0,0.0
60,第1节,-5.5,0.87,5.5,0.83,190.5,0.83,190.5,0.83,190.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,6.0,0.0,1,8.0,19.0,0,,21077.0,0.45,0.0
61,第1节,-5.5,0.83,3.5,0.83,190.5,0.83,190.5,0.83,3.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,6.0,0.0,1,8.0,19.0,0,,21077.0,0.45,0.0
62,第1节,-3.5,0.83,3.5,0.83,190.5,0.83,192.5,0.83,-3.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,6.0,0.0,1,8.0,19.0,0,,21077.0,0.45,0.0
63,第1节,-3.5,0.83,3.5,0.83,192.5,0.83,192.5,0.83,192.5,0.0,0,3.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,6.0,0.0,1,8.0,19.0,0,,21077.0,0.45,0.0
64,第1节,-3.5,0.83,3.5,0.83,192.5,0.83,192.5,0.83,192.5,0.0,0,4.0,8.0,0,0,5,5,0,0,0.0,0.0,8.0,6.0,0.0,1,8.0,19.0,0,,11074.0,0.0,1.25
65,第1节,-3.5,0.83,3.5,0.83,192.5,0.83,192.5,0.83,192.5,0.0,0,4.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,8.0,0.0,1,8.0,14.0,0,,21077.0,0.0,1.25
66,第1节,-3.5,0.83,3.5,0.83,192.5,0.83,192.5,0.83,192.5,0.0,0,5.0,8.0,0,0,5,5,0,0,0.0,0.0,10.0,8.0,0.0,1,8.0,14.0,0,,11074.0,0.0,1.25
67,第1节,-3.5,0.83,3.5,0.83,192.5,0.83,192.5,0.83,192.5,0.0,0,5.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,10.0,0.0,1,8.0,14.0,0,,21077.0,0.0,1.25
68,第1节,-3.5,0.83,3.5,0.83,192.5,0.83,192.5,0.83,192.5,0.0,0,5.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,10.0,0.0,1,8.0,9.0,0,,21077.0,0.0,1.25
69,第1节,-3.5,0.8,1.5,0.87,192.5,0.83,192.5,0.83,1.5,0.0,0,5.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,10.0,0.0,1,8.0,9.0,0,,21077.0,0.0,1.25
70,第1节,-1.5,0.8,1.5,0.87,192.5,0.83,194.5,0.83,-1.5,0.0,0,5.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,10.0,0.0,1,8.0,9.0,0,,21077.0,0.0,1.25
71,第1节,-1.5,0.8,1.5,0.87,194.5,0.83,194.5,0.83,194.5,0.0,0,5.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,10.0,0.0,1,8.0,9.0,0,,21077.0,0.0,1.25
72,第1节,-1.5,0.8,1.5,0.87,194.5,0.83,194.5,0.83,194.5,0.0,0,6.0,8.0,0,0,5,5,0,0,0.0,0.0,12.0,10.0,0.0,1,8.0,9.0,0,,11074.0,0.71,1.0
73,第1节,-1.5,0.8,1.5,0.87,194.5,0.83,194.5,0.83,194.5,0.0,0,6.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,12.0,0.0,1,8.0,9.0,0,,21077.0,0.71,1.0
74,第1节,-1.5,0.8,1.5,0.87,194.5,0.83,194.5,0.83,194.5,0.0,0,6.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,12.0,0.0,1,8.0,1.0,0,,21077.0,0.71,1.0
75,第1节,-1.5,0.77,-1.5,0.91,194.5,0.83,194.5,0.83,-1.5,0.0,0,6.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,12.0,0.0,1,8.0,1.0,0,,21077.0,0.71,1.0
76,第1节,1.5,0.77,-1.5,0.91,194.5,0.83,196.5,0.83,1.5,0.0,0,6.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,12.0,0.0,1,8.0,1.0,0,,21077.0,0.71,1.0
77,第1节,1.5,0.77,-1.5,0.91,196.5,0.83,196.5,0.83,196.5,0.0,0,6.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,12.0,0.0,1,8.0,1.0,0,,21077.0,0.71,1.0
78,第1节,1.5,0.77,-1.5,0.91,196.5,0.83,196.5,0.83,196.5,0.0,0,6.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,12.0,0.0,1,7.0,57.0,0,,21077.0,0.83,0.83
79,第1节,1.5,0.77,-1.5,0.91,196.5,0.83,196.5,0.83,196.5,0.0,0,7.0,8.0,0,0,5,5,0,0,0.0,0.0,14.0,12.0,0.0,1,7.0,57.0,0,,11074.0,0.83,0.83
80,第1节,1.5,0.8,-2.5,0.87,196.5,0.83,196.5,0.83,-2.5,0.0,0,7.0,8.0,0,0,5,5,0,0,0.0,0.0,14.0,12.0,0.0,1,7.0,57.0,0,,21077.0,0.83,0.83
81,第1节,2.5,0.8,-2.5,0.87,196.5,0.83,198.5,0.83,2.5,0.0,0,7.0,8.0,0,0,5,5,0,0,0.0,0.0,14.0,12.0,0.0,1,7.0,57.0,0,,21077.0,0.83,0.83
82,第1节,2.5,0.8,-2.5,0.87,198.5,0.83,198.5,0.83,198.5,0.0,0,7.0,8.0,0,0,5,5,0,0,0.0,0.0,14.0,12.0,0.0,1,7.0,57.0,0,,21077.0,0.83,0.83
83,第1节,2.5,0.8,-2.5,0.87,198.5,0.83,198.5,0.83,198.5,0.0,0,7.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,14.0,0.0,1,7.0,57.0,0,,21077.0,1.0,0.71
84,第1节,2.5,0.8,-2.5,0.87,198.5,0.83,198.5,0.83,198.5,0.0,0,7.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,14.0,0.0,1,7.0,50.0,0,,21077.0,1.0,0.71
85,第1节,2.5,0.8,-2.5,0.87,198.5,0.83,198.5,0.83,198.5,0.0,0,8.0,8.0,0,0,5,5,0,0,0.0,0.0,16.0,14.0,0.0,1,7.0,50.0,0,,11074.0,1.0,0.71
86,第1节,2.5,0.8,-2.5,0.87,198.5,0.83,198.5,0.83,198.5,0.0,0,8.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,0.0,1,7.0,50.0,0,,21077.0,1.0,0.71
87,第1节,2.5,0.83,-3.5,0.83,198.5,0.83,198.5,0.83,-3.5,0.0,0,8.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,0.0,1,7.0,50.0,0,,21077.0,1.0,0.71
88,第1节,3.5,0.83,-3.5,0.83,198.5,0.83,200.5,0.83,3.5,0.0,0,8.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,0.0,1,7.0,50.0,0,,21077.0,1.0,0.71
89,第1节,3.5,0.83,-3.5,0.83,200.5,0.83,200.5,0.83,200.5,0.0,0,8.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,16.0,0.0,1,7.0,50.0,0,,21077.0,1.0,0.71
90,第1节,3.5,0.83,-3.5,0.83,200.5,0.83,200.5,0.83,200.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,18.0,16.0,0.0,1,7.0,50.0,0,,11074.0,1.25,0.0
91,第1节,3.5,0.83,-3.5,0.83,200.5,0.83,200.5,0.83,200.5,0.0,0,9.0,8.0,0,0,5,5,0,0,0.0,0.0,17.0,18.0,0.0,1,7.0,50.0,0,,21077.0,1.25,0.0
