,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
37,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,241.5,0.7692307692307693,241.5,0.9090909090909091,,,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,2.0,77.8,83.3,117,105,0,1,4.0,6.0,1.0,20181026020249.0,11077.0,15.0,0.006666666666666667
38,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.8333333333333334,240.5,0.8333333333333334,12.0,,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,2.0,77.8,83.3,117,105,0,1,3.0,58.0,1.0,20181026020257.0,11077.0,15.0,0.006666666666666667
39,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.8,240.5,0.8695652173913043,12.0,,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,2.0,77.8,83.3,117,105,0,1,3.0,56.0,0.0,20181026020259.0,11077.0,15.0,0.006666666666666667
40,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.8,240.5,0.8695652173913043,12.0,^,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,56.0,0.0,20181026020303.0,21086^11077,15.0,0.006666666666666667
41,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.8,240.5,0.8695652173913043,12.0,^,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,56.0,1.0,20181026020314.0,21086^11077,15.0,0.006666666666666667
42,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.8,240.5,0.8695652173913043,12.0,^,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,56.0,0.0,20181026020315.0,21086^11077,15.0,0.006666666666666667
43,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.8,240.5,0.8695652173913043,12.0,^,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,56.0,1.0,20181026020329.0,21086^11077,15.0,0.006666666666666667
44,4.0,10.5,0.8695652173913043,-10.5,0.8,239.5,0.8695652173913043,239.5,0.8,12.0,^,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,47.0,1.0,20181026020337.0,21086^11077,16.0,0.005
45,4.0,10.5,0.8695652173913043,-10.5,0.8,239.5,0.8,239.5,0.8695652173913043,12.0,,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,44.0,1.0,20181026020341.0,11094.0,16.0,0.005
46,4.0,9.5,0.8695652173913043,-9.5,0.8,239.5,0.8333333333333334,239.5,0.8333333333333334,12.0,,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,35.0,1.0,20181026020350.0,21077.0,14.0,0.01
47,4.0,10.5,0.8695652173913043,-10.5,0.8,239.5,0.8333333333333334,239.5,0.8333333333333334,12.0,,,10.0,11.0,35.0,28.0,14.0,15.0,2,2,4,3.0,77.8,83.3,117,105,0,1,3.0,35.0,1.0,20181026020352.0,21095.0,14.0,0.01
