,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
34,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,34.0,1.0,20180518140256.0,11077.0,,0.0,0.0
35,,,,,166.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,166.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,34.0,1.0,20180518140256.0,11077.0,,0.0,0.0
36,,,,,166.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,166.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,26.0,1.0,20180518140304.0,11077.0,,0.0,0.0
37,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.0,,,,0.0,0.0,1,9.0,1~GD,26.0,1.0,20180518140304.0,11077.0,,0.0,0.0
38,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.0,,0.0,3.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180518140305.0,11077.0,,0.0,0.0
39,,,,,8.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,8.5,,0.87,,0.0,3.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180518140305.0,11077.0,,0.0,0.0
40,,,,,-8.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-8.5,,0.0,,0.0,3.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180518140305.0,11077.0,,0.0,0.0
41,,,,,-8.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-8.5,,0.8,^,0.0,3.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180518140305.0,11075^21077,,0.0,0.0
42,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.8,,0.0,3.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180518140305.0,21077.0,,0.0,0.0
43,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.8,,0.0,3.0,0.0,0.0,1,9.0,1~GD,17.0,1.0,20180518140313.0,21077.0,,0.0,0.0
44,,,,,171.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,171.5,,0.8,,0.0,3.0,0.0,0.0,1,9.0,1~GD,17.0,1.0,20180518140313.0,21077.0,,0.0,0.0
45,,,,,171.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,171.5,,0.0,,2.0,3.0,0.0,0.0,1,9.0,1~GD,11.0,1.0,20180518140318.0,21077.0,,0.0,0.0
46,,,,,7.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,7.5,,0.0,,2.0,3.0,0.0,0.0,1,9.0,1~GD,11.0,1.0,20180518140318.0,21077.0,,0.0,0.0
47,,,,,-7.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-7.5,,0.0,^,2.0,3.0,0.0,0.0,1,9.0,1~GD,11.0,1.0,20180518140318.0,21074^11077,,0.0,0.0
48,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.0,,2.0,3.0,0.0,0.0,1,9.0,1~GD,3.0,1.0,20180518140327.0,11077.0,,0.0,0.0
49,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.87,,2.0,3.0,0.0,0.0,1,9.0,1~GD,3.0,1.0,20180518140327.0,11077.0,,0.0,0.0
50,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.8,,2.0,3.0,0.0,0.0,1,9.0,1~GD,3.0,1.0,20180518140327.0,11077.0,,0.0,0.0
