,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,KC,KI,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
54,,,,,,-4.5,0.83,4.5,0.83,140.5,0.83,141.5,0.83,140.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,8.0,1.0,20180721114749.0,21077.0,,0.47,0.0
55,,,,,,-4.5,0.83,4.5,0.83,140.5,0.83,140.5,0.83,140.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,0.0,1.0,20180721114757.0,21077.0,,0.47,0.0
56,,,,,,-4.5,0.83,4.5,0.83,144.5,0.83,140.5,0.83,144.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,#C40010,1,8.0,1~GD,0.0,1.0,20180721114757.0,21077.0,,0.47,0.0
57,,,,,,-4.5,0.83,4.5,0.83,144.5,0.83,144.5,0.83,144.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,55.0,1.0,20180721114802.0,21077.0,,0.47,0.0
58,,,,,,-6.5,0.8,6.5,0.83,144.5,0.83,144.5,0.83,-6.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,55.0,1.0,20180721114802.0,21077.0,,0.47,0.0
59,,,,,,-6.5,0.8,6.5,0.87,144.5,0.83,144.5,0.83,6.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,55.0,1.0,20180721114802.0,21075.0,,0.47,0.0
60,,,,,,-6.5,0.8,6.5,0.87,144.5,0.83,144.5,0.83,6.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,54.0,1.0,20180721114803.0,21075.0,,0.47,0.0
61,,,,,,-6.5,0.83,6.5,0.83,143.5,0.83,144.5,0.83,143.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,54.0,1.0,20180721114803.0,11077.0,,0.47,0.0
62,,,,,,-6.5,0.83,6.5,0.83,143.5,0.83,143.5,0.83,143.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,46.0,1.0,20180721114812.0,11077.0,,0.47,0.0
63,,,,,,-6.5,0.83,6.5,0.83,142.5,0.87,143.5,0.8,142.5,,"#C40010,#0A0A0A,#0A0A0A,#0A0A0A,#C40010,#0046A8,#3D4A4E",1.0,,0.0,,0.0,,0.0,3.0,0.0,5.0,0.0,0.0,6.0,6.0,8.0,0.0,0.0,#C40010,1,7.0,1~GD,46.0,1.0,20180721114812.0,11077.0,,0.47,0.0
