,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KI,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
24,,,,第1节,-3.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,-3.5,,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,25.0,0,,21077.0,0.66,1.1
25,,,,第1节,142.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,142.5,,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,25.0,0,,21077.0,0.66,1.1
26,,,,第1节,142.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,142.5,,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,25.0,0,,21077.0,0.66,1.1
27,,,,第1节,142.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,142.5,,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,5.0,0,,21077.0,0.66,1.1
28,,,,第1节,142.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,142.5,,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,,2.0,0.0,1,9.0,GD,5.0,0,,21074.0,0.66,1.1
29,,,,第1节,142.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,142.5,,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,5.0,0,,11077.0,0.66,1.1
30,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,5.0,0,,11077.0,0.66,1.1
31,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,3.0,0,,11077.0,0.66,1.1
32,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,3.0,0,,11077.0,0.66,1.1
33,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,47.0,0,,11077.0,0.66,1.1
34,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,47.0,0,,11074.0,0.66,1.1
35,,,,第1节,141.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,141.5,,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,47.0,0,,21077.0,0.66,1.1
36,,,,第1节,2.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,2.5,,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,47.0,0,,21077.0,0.66,1.1
37,,,,第1节,-2.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,-2.5,,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,47.0,0,,21077.0,0.66,1.1
38,,,,第1节,143.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,143.5,,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,47.0,0,,21077.0,0.66,1.1
39,,,,第1节,143.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,143.5,,1.0,1.2,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,47.0,0,,21077.0,0.66,1.1
40,,,,第1节,143.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,143.5,,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,45.0,0,,21077.0,0.66,1.1
41,,,,第1节,143.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,143.5,,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,45.0,0,,11077.0,0.66,1.1
