,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
36,,,3.0,6.5,0.9090909090909091,-6.5,0.8333333333333334,232.5,0.8695652173913043,232.5,0.8695652173913043,76.0,,,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,80.0,0,1,0.0,43.0,1.0,20181113021642.0,11077.0,2.05,0.4
37,,,3.0,6.5,0.9090909090909091,-6.5,0.8333333333333334,231.5,0.9523809523809523,231.5,0.8,76.0,,,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,80.0,0,1,0.0,34.0,1.0,20181113021651.0,11077.0,2.05,0.4
38,,,3.0,6.5,0.9523809523809523,-6.5,0.8,231.5,0.9090909090909091,231.5,0.8333333333333334,76.0,,,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,80.0,0,1,0.0,32.0,1.0,20181113021653.0,11094.0,2.05,0.4
39,,,3.0,5.5,0.9523809523809523,-5.5,0.8,231.5,0.9090909090909091,231.5,0.8333333333333334,76.0,,,1.0,6.0,10.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,80.0,0,1,0.0,32.0,1.0,20181113021654.0,21077.0,2.05,0.4
40,,,3.0,4.5,0.8,-4.5,0.9523809523809523,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,,^,1.0,6.0,11.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,83.0,0,1,0.0,26.0,1.0,20181113021659.0,21075^11077,2.05,0.4
41,,,3.0,4.5,0.8,-4.5,0.9523809523809523,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,,,1.0,6.0,11.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,83.0,0,1,0.0,26.0,1.0,20181113021700.0,11077.0,2.05,0.4
42,,,3.0,4.5,0.8,-4.5,0.9523809523809523,234.5,0.8333333333333334,234.5,0.9090909090909091,76.0,,,1.0,6.0,11.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,83.0,0,1,0.0,24.0,1.0,20181113021702.0,11077.0,2.2,0.35714285714285715
43,,,3.0,4.5,0.8333333333333334,-4.5,0.9090909090909091,233.5,0.9090909090909091,233.5,0.8333333333333334,76.0,,,1.0,6.0,11.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,83.0,0,1,0.0,18.0,0.0,20181113021707.0,11077.0,2.2,0.35714285714285715
44,,,3.0,4.5,0.8333333333333334,-4.5,0.9090909090909091,233.5,0.9090909090909091,233.5,0.8333333333333334,76.0,,,1.0,6.0,11.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,83.0,0,1,0.0,18.0,1.0,20181113021713.0,11077.0,1.95,0.4166666666666667
45,,,3.0,4.5,0.8333333333333334,-4.5,0.9090909090909091,233.5,0.8333333333333334,233.5,0.9090909090909091,76.0,,,1.0,6.0,11.0,34.0,18.0,3.0,14.0,3.0,3.0,2.0,3.0,50.0,82.4,92.0,83.0,0,1,0.0,8.0,1.0,20181113021722.0,11077.0,1.95,0.4166666666666667
