,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
53,,,,第1节,3.5,0.83,-3.5,0.83,146.5,0.87,146.5,0.8,146.5,1.0,,6.0,2.0,0.0,1,8.0,GD,30.0,1.0,20180627165138.0,11077.0
54,,,,第1节,3.5,0.83,-3.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,6.0,2.0,0.0,1,8.0,GD,30.0,1.0,20180627165138.0,11077.0
55,,,,第1节,3.5,0.83,-3.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,6.0,2.0,0.0,1,8.0,GD,17.0,1.0,20180627165152.0,11077.0
56,,,,第1节,3.5,0.83,-3.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,6.0,2.0,0.0,1,8.0,GD,17.0,1.0,20180627165152.0,21077.0
57,,,,第1节,3.5,0.83,-3.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,6.0,2.0,0.0,1,8.0,GD,17.0,1.0,20180627165152.0,21074.0
58,,,,第1节,3.5,0.83,-3.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,8.0,2.0,0.0,1,8.0,GD,17.0,1.0,20180627165152.0,11077.0
59,,,,第1节,3.5,0.8,-2.5,0.87,145.5,0.83,145.5,0.83,-2.5,1.0,,8.0,2.0,0.0,1,8.0,GD,17.0,1.0,20180627165152.0,11077.0
60,,,,第1节,2.5,0.8,-2.5,0.87,145.5,0.83,147.5,0.83,2.5,1.0,,8.0,2.0,0.0,1,8.0,GD,17.0,1.0,20180627165152.0,11077.0
61,,,,第1节,2.5,0.8,-2.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,8.0,2.0,0.0,1,8.0,GD,17.0,1.0,20180627165152.0,11077.0
62,,,,第1节,2.5,0.8,-2.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,8.0,2.0,0.0,1,8.0,GD,3.0,1.0,20180627165206.0,11077.0
63,,,,第1节,2.5,0.8,-2.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,8.0,2.0,0.0,1,8.0,GD,3.0,1.0,20180627165206.0,11077.0
64,,,,第1节,2.5,0.8,-2.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,8.0,2.0,0.0,1,8.0,GD,2.0,1.0,20180627165207.0,11077.0
65,,,,第1节,2.5,0.8,-2.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,8.0,2.0,0.0,1,8.0,GD,2.0,0.0,20180627165207.0,11077.0
66,,,,第1节,2.5,0.8,-2.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11077.0
67,,,,第1节,2.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,-1.5,1.0,,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11077.0
68,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,145.5,0.83,1.5,1.0,,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11077.0
69,,,,第1节,1.5,0.87,-1.5,0.8,145.5,0.83,145.5,0.83,145.5,1.0,,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11077.0
70,,,,第1节,1.5,0.87,-1.5,0.8,145.5,0.83,145.5,0.83,145.5,1.0,,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,21086.0
71,,,,第1节,1.5,0.87,-1.5,0.8,145.5,0.83,145.5,0.83,145.5,1.0,,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11077.0
72,,,,第1节,1.5,0.8,-3.5,0.87,145.5,0.83,145.5,0.83,-3.5,1.0,1:2,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11078.0
73,,,,第1节,3.5,0.8,-3.5,0.87,145.5,0.83,146.5,0.83,3.5,1.0,1:2,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11078.0
74,,,,第1节,3.5,0.8,-3.5,0.87,146.5,0.83,146.5,0.83,146.5,1.0,1:2,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11078.0
75,,,,第1节,3.5,0.8,-3.5,0.87,146.5,0.83,146.5,0.83,146.5,1.0,1:2,8.0,2.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11079.0
76,,,,第1节,3.5,0.8,-3.5,0.87,146.5,0.83,146.5,0.83,146.5,1.0,2:2,8.0,3.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11078.0
77,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,2:2,8.0,3.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11078.0
78,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,2:2,8.0,3.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,11079.0
79,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.83,147.5,0.83,147.5,1.0,,8.0,4.0,0.0,1,7.0,GD,38.0,0.0,20180627165230.0,21077.0
80,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.87,147.5,0.8,147.5,1.0,,8.0,4.0,0.0,1,7.0,GD,38.0,1.0,20180627165310.0,21077.0
81,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.87,147.5,0.8,147.5,1.0,,8.0,4.0,0.0,1,7.0,GD,38.0,1.0,20180627165310.0,21077.0
82,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.87,147.5,0.8,147.5,1.0,,8.0,4.0,0.0,1,7.0,GD,37.0,1.0,20180627165311.0,21077.0
83,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.87,147.5,0.8,147.5,1.0,,8.0,4.0,0.0,1,7.0,GD,37.0,1.0,20180627165311.0,21077.0
84,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.87,147.5,0.8,147.5,1.0,,8.0,4.0,0.0,1,7.0,GD,25.0,1.0,20180627165323.0,21077.0
85,,,,第1节,3.5,0.8,-3.5,0.87,146.5,0.87,146.5,0.8,146.5,1.0,,8.0,4.0,0.0,1,7.0,GD,25.0,1.0,20180627165323.0,11077.0
86,,,,第1节,3.5,0.83,-3.5,0.83,146.5,0.87,146.5,0.8,146.5,1.0,,8.0,4.0,0.0,1,7.0,GD,24.0,1.0,20180627165324.0,11077.0
87,,,,第1节,3.5,0.83,-3.5,0.83,146.5,0.87,146.5,0.8,146.5,1.0,,8.0,4.0,0.0,1,7.0,GD,24.0,1.0,20180627165324.0,11077.0
88,,,,第1节,3.5,0.83,-3.5,0.83,146.5,0.87,146.5,0.8,146.5,1.0,,8.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,11077.0
89,,,,第1节,3.5,0.87,-2.5,0.8,146.5,0.87,146.5,0.8,-2.5,1.0,,8.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,21077.0
90,,,,第1节,2.5,0.87,-2.5,0.8,146.5,0.87,145.5,0.83,2.5,1.0,,8.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,21077.0
91,,,,第1节,2.5,0.87,-2.5,0.8,145.5,0.83,145.5,0.83,145.5,1.0,,8.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,21077.0
92,,,,第1节,2.5,0.87,-2.5,0.8,145.5,0.83,145.5,0.83,145.5,1.0,,8.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,21074.0
93,,,,第1节,2.5,0.87,-2.5,0.8,145.5,0.83,145.5,0.83,145.5,1.0,,10.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,11077.0
94,,,,第1节,2.5,0.87,-1.5,0.8,145.5,0.83,145.5,0.83,-1.5,1.0,,10.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,11077.0
95,,,,第1节,1.5,0.87,-1.5,0.8,145.5,0.83,147.5,0.83,1.5,1.0,,10.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,11077.0
96,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,0.0,1,7.0,GD,8.0,1.0,20180627165340.0,11077.0
97,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,0.0,1,7.0,GD,2.0,1.0,20180627165346.0,11077.0
98,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,0.0,1,7.0,GD,2.0,1.0,20180627165346.0,11077.0
99,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,0.0,1,7.0,GD,1.0,1.0,20180627165347.0,11077.0
100,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,1.0,1,7.0,GD,1.0,1.0,20180627165347.0,11077.0
101,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,1.0,1,7.0,GD,1.0,1.0,20180627165347.0,11077.0
102,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,1.0,1,7.0,GD,1.0,1.0,20180627165347.0,11077.0
103,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,1.0,1,6.0,GD,48.0,1.0,20180627165400.0,11077.0
104,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,4.0,1.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
105,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,6.0,1.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
106,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
107,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
108,,,,第1节,1.5,0.87,-1.5,0.8,147.5,0.83,147.5,0.83,147.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
109,,,,第1节,1.5,0.8,-3.5,0.87,147.5,0.83,147.5,0.83,-3.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
110,,,,第1节,3.5,0.8,-3.5,0.87,147.5,0.83,149.5,0.83,3.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
111,,,,第1节,3.5,0.8,-3.5,0.87,149.5,0.83,149.5,0.83,149.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
112,44.0,5.0,,第1节,3.5,0.8,-3.5,0.87,149.5,0.83,149.5,0.83,149.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11081.0
113,44.0,5.0,,第1节,3.5,0.8,-3.5,0.87,149.5,0.83,149.5,0.83,149.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,21074.0
114,44.0,5.0,,第1节,3.5,0.83,-1.5,0.83,149.5,0.83,149.5,0.83,-1.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
115,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,149.5,0.83,151.5,0.83,1.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
116,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,10.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
117,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,0.0,1,6.0,GD,48.0,0.0,20180627165400.0,11077.0
118,44.0,5.0,,第1节,1.5,0.83,-1.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,12.0,6.0,0.0,1,6.0,GD,47.0,1.0,20180627165534.0,11077.0
