,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
35,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,33.0,1.0,20181107150851.0,11077.0
36,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,26.0,1.0,20181107150857.0,21077.0
37,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,25.0,1.0,20181107150857.0,21077.0
38,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,17.0,1.0,20181107150905.0,21077.0
39,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,9.0,1.0,20181107150914.0,21077.0
40,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,81.0,87.0,0,1,3.0,9.0,1.0,20181107150914.0,11077.0
41,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,81.0,87.0,0,1,2.0,59.0,1.0,20181107150924.0,11077.0
42,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,81.0,87.0,0,1,2.0,51.0,1.0,20181107150932.0,11077.0
43,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,^,83.0,89.0,0,1,2.0,43.0,1.0,20181107150940.0,11074^21077
44,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,^,83.0,89.0,0,1,2.0,42.0,1.0,20181107150940.0,11074^21077
45,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,43.0,1.0,20181107150941.0,21077.0
46,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,34.0,1.0,20181107150949.0,21077.0
47,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,29.0,0.0,20181107150954.0,21077.0
48,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,^,83.0,89.0,0,1,2.0,30.0,0.0,20181107150955.0,11086^21077
49,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,^,83.0,89.0,0,1,2.0,30.0,0.0,20181107150956.0,11086^21077
50,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,1:2,83.0,89.0,0,1,2.0,30.0,0.0,20181107151007.0,21078.0
51,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,1:2^2:2,83.0,89.0,0,1,2.0,30.0,0.0,20181107151024.0,21080^21078
52,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,1:2^2:2,83.0,89.0,0,1,2.0,29.0,0.0,20181107151024.0,21080^21078
53,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,1:2^2:2,83.0,89.0,0,1,2.0,21.0,0.0,20181107151048.0,21080^21078
54,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,1:2^2:2,83.0,89.0,0,1,2.0,18.0,0.0,20181107151051.0,21080^21078
55,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,29.0,0.0,20181107151052.0,11077.0
56,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,20.0,0.0,20181107151100.0,11077.0
57,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,16.0,0.0,20181107151105.0,11077.0
58,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,15.0,0.0,20181107151105.0,11077.0
59,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,14.0,0.0,20181107151107.0,21077.0
60,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,2.0,5.0,0.0,20181107151116.0,21077.0
61,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,57.0,0.0,20181107151124.0,21077.0
62,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,56.0,0.0,20181107151125.0,21077.0
63,,,OT 1,Overtime 1,-6.5,0.0,6.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,56.0,1.0,20181107151212.0,21077.0
64,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,57.0,1.0,20181107151213.0,11077.0
65,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,48.0,1.0,20181107151221.0,11077.0
66,,,OT 1,Overtime 1,-5.5,0.0,5.5,0.0,2.0,5.0,,83.0,89.0,0,1,1.0,43.0,0.0,20181107151226.0,11077.0
