,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
23,,,4.0,11.5,0.8695652173913043,-11.5,0.8,177.5,0.7692307692307693,177.5,0.9090909090909091,,2:2^,1.0,6,,19.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,72.0,0,1,4.0,48.0,0.0,20180924173929.0,11079^21077,12.0,0.0125
24,,,4.0,11.5,0.8695652173913043,-11.5,0.8,177.5,0.7692307692307693,177.5,0.9090909090909091,,2:2^,1.0,6,,19.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,72.0,0,1,4.0,48.0,1.0,20180924173929.0,11079^21077,12.0,0.0125
25,,,4.0,11.5,0.8695652173913043,-11.5,0.8,177.5,0.7692307692307693,177.5,0.9090909090909091,,2:2^,1.0,6,,19.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,72.0,0,1,4.0,47.0,0.0,20180924173930.0,11079^21077,12.0,0.0125
26,,,4.0,12.5,0.8695652173913043,-12.5,0.8,177.5,0.7692307692307693,177.5,0.9090909090909091,,2:2^,1.0,6,,19.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,72.0,0,1,4.0,47.0,0.0,20180924173931.0,11077.0,15.0,0.006666666666666667
27,,,4.0,12.5,0.8695652173913043,-12.5,0.8,177.5,0.7692307692307693,177.5,0.9090909090909091,,2:2^,1.0,6,,19.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,72.0,0,1,4.0,47.0,1.0,20180924173941.0,11077.0,15.0,0.006666666666666667
28,,,4.0,12.5,0.9090909090909091,-12.5,0.7692307692307693,176.5,0.8333333333333334,176.5,0.8333333333333334,,2:2^,1.0,6,,19.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,72.0,0,1,4.0,38.0,1.0,20180924173950.0,11077.0,15.0,0.006666666666666667
29,,,4.0,11.5,0.9090909090909091,-11.5,0.7692307692307693,176.5,0.7692307692307693,176.5,0.9090909090909091,,2:2^,1.0,6,,19.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,72.0,0,1,4.0,34.0,1.0,20180924173955.0,21077.0,13.0,0.011111111111111112
30,,,4.0,11.5,0.9090909090909091,-11.5,0.7692307692307693,175.5,0.8333333333333334,175.5,0.8333333333333334,,2:2^,1.0,6,,19.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,72.0,0,1,4.0,25.0,1.0,20180924174003.0,21077.0,14.0,0.01
31,,,4.0,10.5,0.9090909090909091,-10.5,0.7692307692307693,177.5,0.8333333333333334,177.5,0.8333333333333334,,^,1.0,6,,20.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,74.0,0,1,4.0,22.0,1.0,20180924174006.0,21074^11077,11.0,0.015151515151515152
32,,,4.0,10.5,0.9090909090909091,-10.5,0.7692307692307693,177.5,0.8333333333333334,177.5,0.8333333333333334,,,1.0,6,,20.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,74.0,0,1,4.0,22.0,1.0,20180924174008.0,11077.0,11.0,0.015151515151515152
33,,,4.0,10.5,0.9090909090909091,-10.5,0.7692307692307693,176.5,0.9090909090909091,176.5,0.7692307692307693,,,1.0,6,,20.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,74.0,0,1,4.0,13.0,1.0,20180924174016.0,11077.0,11.0,0.015151515151515152
34,,,4.0,10.5,0.9090909090909091,-10.5,0.7692307692307693,176.5,0.8,176.5,0.8695652173913043,,,1.0,6,,20.0,29.0,16.0,3.0,1.0,4.0,6.0,82.9,,85.0,74.0,0,1,4.0,5.0,1.0,20180924174024.0,11077.0,11.5,0.013333333333333334
