,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
43,,,,第3节,10.5,0.83,-10.5,0.83,135.5,0.83,134.5,0.8,10.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,21.0,0,,21077.0,0.0,0.0,
44,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,21.0,0,,21077.0,0.0,0.0,
45,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,10.0,0,,21077.0,0.0,0.0,
46,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,10.0,0,,21077.0,0.0,0.0,
47,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,5.0,0,,21077.0,0.0,0.0,
48,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,37.0,0.0,1,8.0,5.0,0,,21074.0,0.0,0.0,"0.14,0.52"
49,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11077.0,0.0,0.0,
50,,,,第3节,10.5,0.83,-9.5,0.83,134.5,0.87,134.5,0.8,-9.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11077.0,0.0,0.0,
51,,,,第3节,9.5,0.83,-9.5,0.83,134.5,0.87,136.5,0.8,9.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11077.0,0.0,0.0,
52,,,,第3节,9.5,0.83,-9.5,0.83,136.5,0.87,136.5,0.8,136.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11077.0,0.0,0.0,
