,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,KC,KI,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
47,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,131.5,0.8,131.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,111.0,,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,7.0,0.0,0,1,7.0,1.0,0.0,20181110021103.0,21077.0,1.65,0.43478260869565216
48,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,131.5,0.8,131.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,111.0,,^,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,7.0,0.0,0,1,7.0,1.0,0.0,20181110021113.0,11086^21077,1.65,0.43478260869565216
49,,,,1.0,4.5,0.8333333333333334,-4.5,0.8333333333333334,131.5,0.8,131.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,111.0,,1:2,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,7.0,0.0,0,1,7.0,1.0,0.0,20181110021115.0,21078.0,1.65,0.43478260869565216
50,,,,1.0,4.5,0.8,-4.5,0.8695652173913043,131.5,0.8333333333333334,131.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,1:2^2:2,0.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,5.0,2.0,0.0,0.0,33.3,7.0,1.0,0,1,7.0,1.0,0.0,20181110021125.0,21079^21078,1.65,0.43478260869565216
51,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,2:2^,0.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,7.0,2.0,0,1,7.0,1.0,0.0,20181110021144.0,21079^11077,1.5,0.5
52,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,7.0,2.0,0,1,7.0,1.0,1.0,20181110021145.0,11077.0,1.5,0.5
53,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,7.0,2.0,0,1,6.0,55.0,0.0,20181110021151.0,11077.0,1.5,0.5
54,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,133.5,0.8333333333333334,133.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,7.0,2.0,0,1,6.0,55.0,1.0,20181110021152.0,11077.0,1.5,0.5
55,,,,1.0,3.5,0.8695652173913043,-3.5,0.8,132.5,0.8333333333333334,132.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,111.0,,,0.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,7.0,2.0,0,1,6.0,46.0,1.0,20181110021201.0,11077.0,1.5,0.5
56,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,135.5,0.8,135.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,^,0.0,1.0,0.0,3.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,9.0,2.0,0,1,6.0,45.0,1.0,20181110021202.0,11074^21077,1.65,0.43478260869565216
57,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,135.5,0.8,135.5,0.8695652173913043,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,^,0.0,1.0,0.0,3.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,9.0,2.0,0,1,6.0,45.0,1.0,20181110021203.0,11074^21077,1.65,0.43478260869565216
58,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,134.5,0.8333333333333334,134.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,3.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,9.0,2.0,0,1,6.0,36.0,1.0,20181110021211.0,21077.0,1.65,0.43478260869565216
59,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,134.5,0.8333333333333334,134.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,3.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,9.0,2.0,0,1,6.0,27.0,1.0,20181110021220.0,21077.0,1.65,0.43478260869565216
60,,,,1.0,4.5,0.8695652173913043,-4.5,0.8,134.5,0.8333333333333334,134.5,0.8333333333333334,"#F0F0F0,#008000,#008000,#008000,#C40010,#0046A8,#3D4A4E",1.0,112.0,,,0.0,1.0,0.0,3.0,0.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,50.0,9.0,2.0,0,1,6.0,27.0,0.0,20181110021221.0,21077.0,1.65,0.43478260869565216
