,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
73,,,,第1节,6.5,0.8,-6.5,0.87,147.5,0.83,147.5,0.83,6.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,8.0,GD,8.0,0,,21077.0,0.0,0.0,
74,,,,第1节,6.5,0.87,-5.5,0.8,147.5,0.83,147.5,0.83,-5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,8.0,GD,8.0,0,,21077.0,0.0,0.0,
75,,,,第1节,5.5,0.87,-5.5,0.8,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,41.0,0,,21077.0,0.0,0.0,
76,,,,第1节,5.5,0.87,-5.5,0.8,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,41.0,0,,11077.0,0.0,0.0,
77,,,,第1节,5.5,0.87,-5.5,0.8,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,29.0,0,,11077.0,0.0,0.0,
78,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,29.0,0,,21077.0,0.0,0.0,
79,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,29.0,0,,21094.0,0.0,0.0,"0.24,0.25"
80,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,10.0,0,,11077.0,0.0,0.0,
81,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,10.0,0,,11077.0,0.0,0.0,
82,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,1,7.0,GD,8.0,0,,11077.0,0.0,0.0,
