,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
31,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,183.5,0.8333333333333334,183.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,56.0,1.0,20181028143608.0,11077.0,0.09090909090909091,5.75
32,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,182.5,0.8695652173913043,182.5,0.8,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,52.0,1.0,20181028143613.0,21077.0,0.08333333333333333,6.0
33,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,182.5,0.8695652173913043,182.5,0.8,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,51.0,1.0,20181028143614.0,21077.0,0.08333333333333333,6.0
34,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,182.5,0.8333333333333334,182.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,46.0,0.0,20181028143619.0,21077.0,0.08333333333333333,6.0
35,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,182.5,0.8333333333333334,182.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,46.0,0.0,20181028143620.0,21077.0,0.08333333333333333,6.0
36,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,182.5,0.8333333333333334,182.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,46.0,1.0,20181028143634.0,21077.0,0.08333333333333333,6.0
37,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,182.5,0.8333333333333334,182.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,45.0,1.0,20181028143634.0,21077.0,0.08333333333333333,6.0
38,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,182.5,0.8333333333333334,182.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,46.0,1.0,20181028143635.0,21077.0,0.09090909090909091,5.75
39,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,181.5,0.8333333333333334,181.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,37.0,1.0,20181028143643.0,11077.0,0.09090909090909091,5.75
40,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,181.5,0.8333333333333334,181.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,34.0,0.0,20181028143647.0,11077.0,0.09090909090909091,5.75
41,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,181.5,0.8333333333333334,181.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,34.0,1.0,20181028143659.0,11077.0,0.09090909090909091,5.75
42,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,181.5,0.8333333333333334,181.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,33.0,1.0,20181028143700.0,11077.0,0.09090909090909091,5.75
43,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,181.5,0.8,181.5,0.8695652173913043,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,32.0,1.0,20181028143700.0,21077.0,0.08333333333333333,6.0
44,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,180.5,0.8333333333333334,180.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,23.0,1.0,20181028143709.0,21077.0,0.08333333333333333,6.0
45,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,179.5,0.8333333333333334,179.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,15.0,1.0,20181028143717.0,21077.0,0.08333333333333333,6.0
46,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,178.5,0.8695652173913043,178.5,0.8,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,6.0,1.0,20181028143726.0,21077.0,0.08333333333333333,6.0
47,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,178.5,0.8333333333333334,178.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,4.0,0.0,20181028143727.0,21077.0,0.08333333333333333,6.0
48,,,,2.0,-12.5,0.8333333333333334,12.5,0.8333333333333334,178.5,0.8333333333333334,178.5,0.8333333333333334,31.0,,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,0.0,4.0,0.0,20181028143728.0,21077.0,0.08333333333333333,6.0
49,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,178.5,0.8333333333333334,178.5,0.8333333333333334,32.0,3.0,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,10.0,0.0,0.0,20181028143739.0,1083.0,0.08333333333333333,6.0
50,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,178.5,0.8333333333333334,178.5,0.8333333333333334,26.0,3.0,^,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,10.0,0.0,0.0,20181028143739.0,01089^11077,0.08333333333333333,6.0
51,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,178.5,0.8,178.5,0.8695652173913043,26.0,3.0,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,9.0,58.0,0.0,20181028145257.0,11077.0,0.08333333333333333,6.0
52,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,177.5,0.8333333333333334,177.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,9.0,49.0,0.0,20181028145306.0,11077.0,0.08333333333333333,6.0
53,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,176.5,0.8695652173913043,176.5,0.8,26.0,3.0,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,9.0,42.0,0.0,20181028145313.0,11077.0,0.08333333333333333,6.0
54,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,176.5,0.8695652173913043,176.5,0.8,26.0,3.0,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,9.0,42.0,1.0,20181028145327.0,11077.0,0.08333333333333333,6.0
55,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,9.0,41.0,1.0,20181028145328.0,11077.0,0.08333333333333333,6.0
56,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,9.0,35.0,1.0,20181028145334.0,11077.0,0.08333333333333333,6.0
57,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,11.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,50,0,1,9.0,27.0,1.0,20181028145342.0,11077.0,0.08333333333333333,6.0
58,,,Q3,3rd Quarter,-14.5,0.8695652173913043,14.5,0.8,177.5,0.8333333333333334,177.5,0.8333333333333334,26.0,3.0,^,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,9.0,22.0,1.0,20181028145347.0,21074^11077,0.05555555555555555,7.25
59,,,Q3,3rd Quarter,-14.5,0.8695652173913043,14.5,0.8,177.5,0.8333333333333334,177.5,0.8333333333333334,26.0,3.0,^,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,9.0,20.0,1.0,20181028145348.0,21074^11077,0.05555555555555555,7.25
60,,,Q3,3rd Quarter,-14.5,0.8695652173913043,14.5,0.8,176.5,0.8333333333333334,176.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,9.0,12.0,1.0,20181028145357.0,11077.0,0.05555555555555555,7.25
61,,,Q3,3rd Quarter,-13.5,0.8,13.5,0.8695652173913043,175.5,0.8695652173913043,175.5,0.8,26.0,3.0,,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,9.0,4.0,1.0,20181028145405.0,11077.0,0.05555555555555555,7.25
62,,,Q3,3rd Quarter,-14.5,0.8333333333333334,14.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,8.0,59.0,1.0,20181028145410.0,21077.0,0.05,7.5
63,,,Q3,3rd Quarter,-14.5,0.8333333333333334,14.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,8.0,58.0,1.0,20181028145410.0,21077.0,0.05,7.5
64,,,Q3,3rd Quarter,-14.5,0.8333333333333334,14.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,8.0,50.0,1.0,20181028145419.0,21077.0,0.05,7.5
65,,,Q3,3rd Quarter,-13.5,0.8,13.5,0.8695652173913043,173.5,0.8695652173913043,173.5,0.8,26.0,3.0,,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,8.0,42.0,0.0,20181028145426.0,11077.0,0.05555555555555555,7.25
66,,,Q3,3rd Quarter,-13.5,0.8,13.5,0.8695652173913043,173.5,0.8695652173913043,173.5,0.8,26.0,3.0,,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,0.0,100.0,100.0,39.0,52,0,1,8.0,42.0,0.0,20181028145427.0,11077.0,0.05555555555555555,7.25
67,,,Q3,3rd Quarter,-13.5,0.8,13.5,0.8695652173913043,173.5,0.8695652173913043,173.5,0.8,26.0,3.0,^,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,39.0,52,0,1,8.0,43.0,0.0,20181028145436.0,21086^11077,0.05555555555555555,7.25
68,,,Q3,3rd Quarter,-13.5,0.8695652173913043,13.5,0.8,175.5,0.8,175.5,0.8695652173913043,26.0,3.0,1:2,3.0,8.0,13.0,12.0,4.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,39.0,52,0,1,8.0,43.0,0.0,20181028145437.0,11078.0,0.07142857142857142,6.5
69,,,Q3,3rd Quarter,-12.5,0.8,12.5,0.8695652173913043,175.5,0.8333333333333334,175.5,0.8333333333333334,26.0,3.0,1:2^2:2,3.0,8.0,13.0,12.0,5.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,40.0,52,0,1,8.0,43.0,0.0,20181028145452.0,11079^11078,0.07142857142857142,6.5
70,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,26.0,3.0,2:2^,3.0,8.0,13.0,12.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,52,0,1,8.0,43.0,0.0,20181028145504.0,11079^21077,0.08333333333333333,6.0
71,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,26.0,3.0,2:2^,3.0,8.0,13.0,12.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,52,0,1,8.0,42.0,0.0,20181028145504.0,11079^21077,0.08333333333333333,6.0
72,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,12.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,52,0,1,8.0,42.0,0.0,20181028145508.0,21077.0,0.08333333333333333,6.0
73,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,12.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,52,0,1,8.0,33.0,0.0,20181028145516.0,21077.0,0.08333333333333333,6.0
74,,,Q3,3rd Quarter,-11.5,0.8,11.5,0.8695652173913043,175.5,0.8333333333333334,175.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,12.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,52,0,1,8.0,35.0,0.0,20181028145524.0,11077.0,0.09090909090909091,5.75
75,,,Q3,3rd Quarter,-11.5,0.8,11.5,0.8695652173913043,175.5,0.8333333333333334,175.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,12.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,52,0,1,8.0,34.0,0.0,20181028145525.0,11077.0,0.09090909090909091,5.75
76,,,Q3,3rd Quarter,-11.5,0.8,11.5,0.8695652173913043,174.5,0.8695652173913043,174.5,0.8,26.0,3.0,,3.0,8.0,13.0,12.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,52,0,1,8.0,25.0,0.0,20181028145533.0,11077.0,0.09090909090909091,5.75
77,,,Q3,3rd Quarter,-12.5,0.8333333333333334,12.5,0.8333333333333334,174.5,0.8695652173913043,174.5,0.8,26.0,3.0,,3.0,8.0,13.0,12.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,52,0,1,8.0,25.0,0.0,20181028145534.0,21077.0,0.08333333333333333,6.0
78,,,Q3,3rd Quarter,-13.5,0.8,13.5,0.8695652173913043,176.5,0.8333333333333334,176.5,0.8333333333333334,26.0,3.0,^,3.0,8.0,13.0,13.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,54,0,1,8.0,19.0,0.0,20181028145541.0,21074^11077,0.0625,7.0
79,,,Q3,3rd Quarter,-13.5,0.8333333333333334,13.5,0.8333333333333334,176.5,0.8333333333333334,176.5,0.8333333333333334,26.0,3.0,,3.0,8.0,13.0,13.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,54,0,1,8.0,18.0,0.0,20181028145541.0,11077.0,0.0625,7.0
80,,,Q3,3rd Quarter,-13.5,0.8333333333333334,13.5,0.8333333333333334,175.5,0.8695652173913043,175.5,0.8,26.0,3.0,,3.0,8.0,13.0,13.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,54,0,1,8.0,9.0,0.0,20181028145550.0,11077.0,0.0625,7.0
81,,,Q3,3rd Quarter,-13.5,0.8333333333333334,13.5,0.8333333333333334,175.5,0.8,175.5,0.8695652173913043,26.0,3.0,,3.0,8.0,13.0,13.0,6.0,5.0,1.0,5.0,0.0,1.0,100.0,100.0,41.0,54,0,1,8.0,1.0,0.0,20181028145558.0,11077.0,0.0625,7.0
