,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
86,,第3节,-20.5,0.91,20.5,0.77,166.5,0.83,166.5,0.83,166.5,3.0,,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,71.4,60.0,43.0,0.0,1,5.0,40.0,0,,11086.0,0.0,0.0
87,,第3节,-20.5,0.8,19.5,0.87,166.5,0.83,166.5,0.83,19.5,3.0,,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,71.4,60.0,43.0,0.0,1,5.0,40.0,0,,21077.0,0.0,0.0
88,,第3节,-19.5,0.8,19.5,0.87,166.5,0.83,164.5,0.83,-19.5,3.0,,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,71.4,60.0,43.0,0.0,1,5.0,40.0,0,,21077.0,0.0,0.0
89,,第3节,-19.5,0.8,19.5,0.87,164.5,0.83,164.5,0.83,164.5,3.0,,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,71.4,60.0,43.0,0.0,1,5.0,40.0,0,,21077.0,0.0,0.0
90,,第3节,-19.5,0.8,19.5,0.83,164.5,0.83,164.5,0.83,164.5,3.0,1:2,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,71.4,60.0,43.0,0.0,1,5.0,40.0,0,,21078.0,0.0,0.0
91,,第3节,-19.5,0.83,20.5,0.83,164.5,0.83,164.5,0.83,20.5,3.0,1:2,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,71.4,60.0,43.0,0.0,1,5.0,40.0,0,,21078.0,0.0,0.0
92,,第3节,-20.5,0.83,20.5,0.83,164.5,0.83,165.5,0.83,-20.5,3.0,1:2,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,71.4,60.0,43.0,0.0,1,5.0,40.0,0,,21078.0,0.0,0.0
93,,第3节,-20.5,0.83,20.5,0.83,165.5,0.83,165.5,0.83,165.5,3.0,1:2,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,71.4,60.0,43.0,0.0,1,5.0,40.0,0,,21078.0,0.0,0.0
94,,第3节,-20.5,0.83,20.5,0.83,165.5,0.83,165.5,0.83,165.5,3.0,1:2,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,66.7,60.0,43.0,0.0,1,5.0,40.0,0,,21080.0,0.0,0.0
95,,第3节,-20.5,0.83,20.5,0.83,165.5,0.83,165.5,0.83,165.5,3.0,2:2,,4,2.0,14.0,23.0,3.0,10.0,4,4,1.0,2.0,50.0,66.7,60.0,61.0,0.0,1,5.0,40.0,0,,21078.0,0.0,0.0
96,,第3节,-20.5,0.83,20.5,0.83,165.5,0.83,165.5,0.83,165.5,3.0,2:2,,4,2.0,14.0,23.0,3.0,11.0,4,4,1.0,2.0,50.0,68.8,60.0,61.0,0.0,1,5.0,40.0,0,,21079.0,0.0,0.0
97,,第3节,-20.5,0.83,20.5,0.83,165.5,0.83,165.5,0.83,165.5,3.0,,,4,2.0,14.0,23.0,3.0,11.0,4,4,1.0,2.0,50.0,68.8,61.0,43.0,0.0,1,5.0,40.0,0,,11077.0,0.0,0.0
98,,第3节,-20.5,0.8,19.5,0.87,165.5,0.83,165.5,0.83,19.5,3.0,,,4,2.0,14.0,23.0,3.0,11.0,4,4,1.0,2.0,50.0,68.8,61.0,43.0,0.0,1,5.0,40.0,0,,11077.0,0.0,0.0
99,,第3节,-19.5,0.8,19.5,0.87,165.5,0.83,165.5,0.83,-19.5,3.0,,,4,2.0,15.0,23.0,3.0,11.0,4,4,1.0,2.0,50.0,68.8,45.0,43.0,0.0,1,5.0,40.0,0,,11074.0,0.0,0.0
100,,第3节,-19.5,0.8,19.5,0.87,165.5,0.83,165.5,0.83,-19.5,3.0,,,4,2.0,15.0,23.0,3.0,11.0,4,4,1.0,2.0,50.0,68.8,61.0,45.0,0.0,1,5.0,40.0,0,,21077.0,0.0,0.0
101,,第3节,-19.5,0.8,19.5,0.87,165.5,0.83,165.5,0.83,-19.5,3.0,,,4,2.0,15.0,23.0,3.0,11.0,4,4,1.0,2.0,50.0,68.8,61.0,45.0,0.0,1,5.0,23.0,0,,21077.0,0.0,0.0
102,,第3节,-19.5,0.8,18.5,0.87,165.5,0.83,165.5,0.83,18.5,3.0,,,4,2.0,15.0,23.0,3.0,11.0,4,4,1.0,2.0,50.0,68.8,61.0,45.0,0.0,1,5.0,23.0,0,,21077.0,0.0,0.0
