,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,LA,LM,MD,OD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
55,,,,,150.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,150.5,150.5,,,0.8333333333333334,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,55.0,1.0,20180911144757.0,21077.0,0.45454545454545453,1.6,
56,,,,,150.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,150.5,150.5,,,0.8333333333333334,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,53.0,0.0,20180911144759.0,21077.0,0.45454545454545453,1.6,
57,,,,,150.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,150.5,150.5,,,0.8333333333333334,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,53.0,0.0,20180911144759.0,21077.0,0.45454545454545453,1.6,
58,,,,,150.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,150.5,150.5,,,0.7142857142857143,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,53.0,0.0,20180911144801.0,21077.0,0.45454545454545453,1.6,
59,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,150.5,,,1.0,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,53.0,0.0,20180911144801.0,21077.0,0.45454545454545453,1.6,
60,,,,,1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,1.5,150.5,,,0.8695652173913043,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,53.0,0.0,20180911144801.0,21077.0,0.45454545454545453,1.6,
61,,,,,1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,1.5,150.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,53.0,0.0,20180911144801.0,21077.0,0.45454545454545453,1.6,
62,,,,,1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,1.5,150.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,53.0,1.0,20180911144818.0,21077.0,0.45454545454545453,1.6,
63,,,,,1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,1.5,150.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,53.0,1.0,20180911144818.0,11077.0,0.45454545454545453,1.6,
64,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,44.0,1.0,20180911144826.0,11077.0,0.45454545454545453,1.6,
65,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,0.8695652173913043,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,44.0,1.0,20180911144826.0,11077.0,0.45454545454545453,1.6,
66,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,0.8695652173913043,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,39.0,0.0,20180911144832.0,11077.0,0.45454545454545453,1.6,
67,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,39.0,0.0,20180911144832.0,11086.0,0.45454545454545453,1.6,
68,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,39.0,0.0,20180911144841.0,11086.0,0.45454545454545453,1.6,
69,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,39.0,0.0,20180911144841.0,11086.0,0.45454545454545453,1.6,
70,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,0.8,,,,6,10,,10,11,13.0,9,5,,4,3,8.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,39.0,0.0,20180911144846.0,11086.0,0.45454545454545453,1.6,
71,,,,,149.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,149.5,149.5,,,1.2,,1.0,,6,10,,10,11,13.0,9,5,,4,3,4.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,39.0,0.0,20180911144846.0,21077.0,0.45454545454545453,1.6,
72,,,,,1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,1.5,149.5,,,0.625,,1.0,,6,10,,10,11,13.0,9,5,,4,3,4.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,39.0,0.0,20180911144846.0,21077.0,0.45454545454545453,1.6,
73,,,,,-1.5,-3.5,0.8333333333333334,3.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,-1.5,149.5,,,0.7692307692307693,,1.0,,6,10,,10,11,13.0,9,5,,4,3,4.0,3,6,56.5,47.4,83.3,51.0,51,57,0.0,1,0.0,39.0,0.0,20180911144846.0,21077.0,0.45454545454545453,1.6,
