,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
53,,,,,1.5,0.87,-1.5,0.8,141.5,0.8,141.5,0.87,141.5,,0.66,,43.0,35.0,0.0,1,5.0,43.0,1.0,20180721013113.0,11077.0,0.77,0.91
54,,,,,1.5,0.87,-1.5,0.8,140.5,0.87,141.5,0.8,140.5,,0.66,,43.0,35.0,0.0,1,5.0,43.0,1.0,20180721013113.0,11077.0,0.77,0.91
55,,,,,1.5,0.87,-1.5,0.8,140.5,0.87,140.5,0.8,140.5,,0.66,,43.0,35.0,0.0,1,5.0,38.0,1.0,20180721013116.0,11077.0,0.77,0.91
56,,,,,1.5,0.87,-1.5,0.8,140.5,0.83,140.5,0.8,140.5,,0.91,,43.0,35.0,0.0,1,5.0,38.0,1.0,20180721013116.0,11095.0,0.77,0.91
57,,,,,1.5,0.87,-1.5,0.8,140.5,0.83,140.5,0.83,140.5,,0.77,,43.0,35.0,0.0,1,5.0,35.0,1.0,20180721013119.0,11095.0,0.77,0.91
58,,,,,1.5,0.77,-1.5,0.91,140.5,0.83,140.5,0.83,140.5,,0.77,,43.0,35.0,0.0,1,5.0,35.0,1.0,20180721013119.0,21077.0,0.77,0.91
59,,,,,1.5,0.77,-1.5,0.91,140.5,0.83,140.5,0.83,140.5,,1.1,,43.0,35.0,0.0,1,5.0,31.0,1.0,20180721013123.0,21077.0,0.77,0.91
60,,,,,1.5,0.87,-1.5,0.8,140.5,0.83,140.5,0.83,140.5,,0.66,,43.0,35.0,0.0,1,5.0,31.0,1.0,20180721013123.0,11077.0,0.77,0.91
61,,,,,1.5,0.87,-1.5,0.8,140.5,0.83,140.5,0.83,140.5,,0.66,,43.0,35.0,0.0,1,5.0,31.0,1.0,20180721013125.0,11077.0,0.77,0.91
62,,,,,1.5,0.87,-1.5,0.8,139.5,0.83,140.5,0.83,139.5,,0.66,,43.0,35.0,0.0,1,5.0,31.0,1.0,20180721013125.0,11077.0,0.77,0.91
63,,,,,1.5,0.87,-1.5,0.8,139.5,0.83,139.5,0.83,139.5,,0.66,,43.0,35.0,0.0,1,5.0,23.0,1.0,20180721013133.0,11077.0,0.77,0.91
64,,,,,1.5,0.87,-1.5,0.8,138.5,0.87,139.5,0.83,138.5,,1.2,,43.0,35.0,0.0,1,5.0,23.0,1.0,20180721013133.0,11077.0,0.77,0.91
65,,,,,1.5,0.87,-1.5,0.8,138.5,0.87,138.5,0.8,138.5,,0.63,,43.0,35.0,0.0,1,5.0,14.0,1.0,20180721013140.0,11077.0,0.77,0.91
66,,,,,1.5,0.91,-1.5,0.77,138.5,0.87,138.5,0.8,138.5,,0.91,,43.0,35.0,0.0,1,5.0,14.0,1.0,20180721013140.0,11094.0,0.77,0.91
67,,,,,1.5,0.91,-1.5,0.77,138.5,0.87,138.5,0.8,138.5,,0.77,,43.0,35.0,0.0,1,5.0,11.0,1.0,20180721013142.0,11094.0,0.77,0.91
68,,,,,1.5,0.8,-1.5,0.87,138.5,0.87,138.5,0.8,138.5,,0.77,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013142.0,21077.0,0.77,0.91
69,,,,,1.5,0.8,-1.5,0.87,138.5,0.87,138.5,0.8,138.5,,0.77,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013152.0,21077.0,0.77,0.91
70,,,,,1.5,0.8,-1.5,0.87,138.5,0.87,138.5,0.8,138.5,,0.77,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013152.0,21077.0,0.77,0.91
71,,,,,1.5,0.8,-1.5,0.87,138.5,0.87,138.5,0.8,138.5,,0.77,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013153.0,21077.0,0.77,0.91
72,,,,,1.5,0.8,-1.5,0.87,139.5,0.87,138.5,0.8,139.5,,0.87,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013153.0,11086.0,0.77,0.91
73,,,,,1.5,0.8,-1.5,0.87,139.5,0.87,139.5,0.8,139.5,,0.8,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013156.0,11086.0,0.77,0.91
74,44.0,5.0,,,1.5,0.77,-1.5,0.91,139.5,0.87,139.5,0.8,139.5,,0.8,1:2,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013156.0,21078.0,0.77,0.91
75,44.0,5.0,,,1.5,0.77,-1.5,0.91,139.5,0.87,139.5,0.8,139.5,,0.8,1:2,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013159.0,21078.0,0.77,0.91
76,44.0,5.0,,,1.5,0.77,-1.5,0.91,139.5,0.87,139.5,0.8,139.5,,1.25,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013159.0,11081.0,0.77,0.91
77,44.0,5.0,,,2.5,0.83,-2.5,0.91,139.5,0.87,139.5,0.8,2.5,,0.0,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013159.0,11081.0,0.77,0.91
78,44.0,5.0,,,2.5,0.83,-2.5,0.83,139.5,0.83,139.5,0.8,-2.5,,1.2,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013159.0,11081.0,0.77,0.91
79,44.0,5.0,,,2.5,0.83,-2.5,0.83,140.5,0.83,139.5,0.83,140.5,,0.63,,43.0,35.0,0.0,1,5.0,11.0,0.0,20180721013159.0,11081.0,0.77,0.91
80,,,,,2.5,0.83,-2.5,0.83,140.5,0.83,140.5,0.83,140.5,,0.63,,43.0,36.0,0.0,1,5.0,11.0,0.0,20180721013358.0,11081.0,0.77,0.91
81,,,,,2.5,0.8,-2.5,0.87,141.5,0.8,140.5,0.87,141.5,,0.63,^1:2^2:2,43.0,36.0,0.0,1,5.0,11.0,0.0,20180721013358.0,21077^21079^21078,0.77,0.91
