,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
21,,21.5,0.7692307692307693,-21.5,0.9090909090909091,114.5,0.8695652173913043,114.5,0.8,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,1.0,1.0,20180913115022.0,11077.0,0.004,17.0,
22,,20.5,0.9090909090909091,-20.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,1.0,1.0,20180913115022.0,11077.0,0.004,17.0,
23,,20.5,0.9090909090909091,-20.5,0.7692307692307693,114.5,0.8695652173913043,114.5,0.8,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,1.0,1.0,20180913115022.0,11077.0,0.004,17.0,
24,,20.5,0.9090909090909091,-20.5,0.7692307692307693,114.5,0.7692307692307693,114.5,0.9090909090909091,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,52.0,0.0,20180913115032.0,11077.0,0.004,17.0,
25,,20.5,0.9090909090909091,-20.5,0.7692307692307693,114.5,0.7692307692307693,114.5,0.9090909090909091,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,52.0,1.0,20180913115036.0,11077.0,0.004,17.0,
26,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.9090909090909091,113.5,0.7692307692307693,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,48.0,1.0,20180913115040.0,11077.0,0.004,17.0,
27,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.9090909090909091,113.5,0.7692307692307693,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,48.0,1.0,20180913115040.0,11077.0,0.004,17.0,
28,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.8695652173913043,113.5,0.8,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,45.0,1.0,20180913115043.0,11077.0,0.004,17.0,
29,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7692307692307693,113.5,0.9090909090909091,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,36.0,1.0,20180913115051.0,11077.0,0.004,17.0,
30,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,34.0,0.0,20180913115054.0,11077.0,0.004,17.0,
31,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,1.0,1,7.0,34.0,0.0,20180913115054.0,11086.0,0.004,17.0,
32,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,1.0,1,7.0,34.0,0.0,20180913115054.0,11086.0,0.004,17.0,
33,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,1.0,1,7.0,34.0,0.0,20180913115054.0,11086.0,0.004,17.0,
34,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,1.0,1,7.0,34.0,0.0,20180913115054.0,11086.0,0.004,17.0,
35,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,34.0,0.0,20180913115101.0,11086.0,0.004,17.0,
36,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,34.0,0.0,20180913115101.0,11086.0,0.004,17.0,
37,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,34.0,0.0,20180913115101.0,11086.0,0.004,17.0,
38,,21.5,0.8333333333333334,-21.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,1.0,3.0,66.7,87.5,55,37,0.0,1,7.0,34.0,0.0,20180913115101.0,11086.0,0.004,17.0,
39,,20.5,0.8333333333333334,-20.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,37,0.0,1,7.0,34.0,0.0,20180913115101.0,11086.0,0.004,17.0,
40,,20.5,0.8333333333333334,-20.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,37,0.0,1,7.0,34.0,0.0,20180913115101.0,11086.0,0.004,17.0,
41,,20.5,0.8333333333333334,-20.5,0.8333333333333334,113.5,0.7142857142857143,113.5,1.0,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,37,0.0,1,7.0,34.0,1.0,20180913115113.0,21077.0,0.004,17.0,
42,,20.5,0.8,-20.5,0.8695652173913043,112.5,0.8333333333333334,112.5,0.8333333333333334,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,37,0.0,1,7.0,25.0,1.0,20180913115121.0,21077.0,0.004,17.0,
43,,20.5,0.8,-20.5,0.8695652173913043,112.5,0.8333333333333334,112.5,0.8333333333333334,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,37,0.0,1,7.0,25.0,1.0,20180913115121.0,21077.0,0.004,17.0,
44,,20.5,0.8,-20.5,0.8695652173913043,112.5,0.7692307692307693,112.5,0.9090909090909091,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,37,0.0,1,7.0,17.0,1.0,20180913115129.0,21077.0,0.004,17.0,
45,,20.5,0.8,-20.5,0.8695652173913043,111.5,0.9090909090909091,111.5,0.7692307692307693,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,37,0.0,1,7.0,14.0,0.0,20180913115133.0,21077.0,0.004,17.0,
46,,20.5,0.8,-20.5,0.8695652173913043,111.5,0.9090909090909091,111.5,0.7692307692307693,,,,4.0,2.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,37,0.0,1,7.0,14.0,1.0,20180913115152.0,21077.0,0.004,17.0,
47,,17.5,0.8,-17.5,0.8695652173913043,114.5,1.0,114.5,0.7142857142857143,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,11.0,1.0,20180913115155.0,21075.0,0.004,17.0,
48,,17.5,0.8,-17.5,0.8695652173913043,114.5,1.0,114.5,0.7142857142857143,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,11.0,1.0,20180913115155.0,21075.0,0.004,17.0,
49,,18.5,0.8,-18.5,0.8695652173913043,114.5,1.0,114.5,0.7142857142857143,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,11.0,1.0,20180913115155.0,21075.0,0.004,17.0,
50,,18.5,0.8,-18.5,0.8695652173913043,114.5,0.8695652173913043,114.5,0.8,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,7.0,1.0,20180913115158.0,11077.0,0.004,17.0,
51,,18.5,0.8,-18.5,0.8695652173913043,114.5,0.9090909090909091,114.5,0.7692307692307693,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,10.0,1.0,20180913115201.0,11077.0,0.004,17.0,
52,,18.5,0.8333333333333334,-18.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,10.0,1.0,20180913115201.0,11077.0,0.004,17.0,
53,,18.5,0.8333333333333334,-18.5,0.8333333333333334,115.5,0.7692307692307693,115.5,0.9090909090909091,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,14.0,1.0,20180913115202.0,11077.0,0.004,17.0,
54,,18.5,0.8333333333333334,-18.5,0.8333333333333334,115.5,0.7692307692307693,115.5,0.9090909090909091,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,14.0,1.0,20180913115202.0,11077.0,0.004,17.0,
55,,18.5,0.8,-18.5,0.8695652173913043,115.5,0.7692307692307693,115.5,0.9090909090909091,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,14.0,1.0,20180913115202.0,11077.0,0.004,17.0,
56,,18.5,0.8,-18.5,0.8695652173913043,114.5,0.9090909090909091,114.5,0.7692307692307693,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,10.0,1.0,20180913115205.0,11077.0,0.004,17.0,
57,,17.5,0.8,-17.5,0.8695652173913043,114.5,0.8695652173913043,114.5,0.8,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,6.0,1.0,20180913115209.0,21077.0,0.004,17.0,
58,,17.5,0.8,-17.5,0.8695652173913043,114.5,0.8695652173913043,114.5,0.8,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,7.0,6.0,1.0,20180913115209.0,21077.0,0.004,17.0,
59,,17.5,0.8,-17.5,0.8695652173913043,114.5,0.7692307692307693,114.5,0.9090909090909091,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,5.0,57.0,1.0,20180913115217.0,21077.0,0.004,17.0,
60,,17.5,0.7692307692307693,-17.5,0.9090909090909091,113.5,0.8695652173913043,113.5,0.8,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,5.0,49.0,1.0,20180913115225.0,21077.0,0.004,17.0,
61,,17.5,0.7692307692307693,-17.5,0.9090909090909091,113.5,0.8695652173913043,113.5,0.8,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,5.0,49.0,1.0,20180913115225.0,21077.0,0.004,17.0,
62,,18.5,0.7692307692307693,-18.5,0.9090909090909091,113.5,0.8695652173913043,113.5,0.8,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,5.0,49.0,1.0,20180913115226.0,11077.0,0.004,17.0,
63,,18.5,0.7692307692307693,-18.5,0.9090909090909091,113.5,0.8695652173913043,113.5,0.8,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,5.0,49.0,1.0,20180913115226.0,11077.0,0.004,17.0,
64,,18.5,0.7692307692307693,-18.5,0.9090909090909091,113.5,0.7692307692307693,113.5,0.9090909090909091,,,,4.0,3.0,15.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,55,40,0.0,1,5.0,40.0,1.0,20180913115234.0,11077.0,0.004,17.0,
65,,20.5,0.7142857142857143,-20.5,1.0,115.5,0.7142857142857143,115.5,1.0,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,36.0,1.0,20180913115239.0,11074.0,0.004,17.0,
66,,20.5,0.7142857142857143,-20.5,1.0,115.5,0.7142857142857143,115.5,1.0,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,36.0,1.0,20180913115239.0,11074.0,0.004,17.0,
67,,20.5,0.7142857142857143,-20.5,1.0,114.5,0.8333333333333334,114.5,0.8333333333333334,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,27.0,1.0,20180913115247.0,11074.0,0.004,17.0,
68,,19.5,0.9090909090909091,-19.5,0.7692307692307693,114.5,0.8333333333333334,114.5,0.8333333333333334,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,27.0,1.0,20180913115247.0,11074.0,0.004,17.0,
69,,19.5,0.9090909090909091,-19.5,0.7692307692307693,114.5,0.8333333333333334,114.5,0.8333333333333334,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,27.0,1.0,20180913115247.0,11074.0,0.004,17.0,
70,,18.5,0.9090909090909091,-18.5,0.7692307692307693,114.5,0.8333333333333334,114.5,0.8333333333333334,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,27.0,1.0,20180913115248.0,21077.0,0.004,17.0,
71,,18.5,0.9090909090909091,-18.5,0.7692307692307693,114.5,0.7142857142857143,114.5,1.0,,,,4.0,3.0,16.0,12.0,12.0,7.0,4,4,2.0,3.0,66.7,87.5,57,40,0.0,1,5.0,18.0,1.0,20180913115256.0,21077.0,0.004,17.0,
