,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
122,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,,6,10,19.0,15,16,18.0,26,15,1.0,2,3,9.0,6,7,85.7,76.5,100.0,87,86,0,1,0.0,15.0,1.0,20181027161736.0,11077.0
123,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,,6,10,19.0,15,16,18.0,26,15,1.0,2,3,9.0,6,7,85.7,76.5,100.0,87,86,0,1,0.0,10.0,0.0,20181027161742.0,11077.0
124,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,1:2,6,10,19.0,15,16,18.0,26,15,1.0,2,3,9.0,6,7,85.7,76.5,100.0,87,86,0,1,0.0,10.0,0.0,20181027161742.0,21086.0
125,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,^1:2,6,10,19.0,15,16,18.0,26,15,1.0,2,3,12.0,6,7,79.5,76.5,100.0,87,86,0,1,0.0,10.0,0.0,20181027161742.0,21086^11078
126,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,2:2,6,10,19.0,15,16,36.0,26,15,1.0,2,3,12.0,6,7,80.0,76.5,100.0,88,86,0,1,0.0,10.0,0.0,20181027161840.0,11079.0
127,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,2:2,6,10,19.0,15,16,36.0,26,15,1.0,2,3,12.0,6,7,80.0,76.5,100.0,88,86,0,1,0.0,10.0,1.0,20181027161855.0,11079.0
128,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,,6,10,19.0,15,16,36.0,26,15,1.0,2,3,12.0,6,7,80.0,76.5,100.0,88,86,0,1,0.0,1.0,1.0,20181027161903.0,21077.0
129,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,,6,10,19.0,15,16,36.0,26,15,1.0,2,3,12.0,6,7,80.0,76.5,100.0,88,86,0,1,0.0,0.0,0.0,20181027161906.0,21077.0
130,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,,6,10,19.0,15,16,36.0,26,15,1.0,2,3,12.0,6,7,80.0,76.5,100.0,88,86,0,1,0.0,0.0,0.0,20181027161911.0,21077.0
131,,,OT 1,Overtime 1,1.5,0.0,-1.5,0.0,1.0,5.0,,6,10,19.0,15,16,36.0,26,15,1.0,2,3,12.0,6,7,80.0,76.5,100.0,88,86,0,1,0.0,0.0,0.0,20181027161911.0,1084.0
