,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
45,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,5.0,0.0,20181027160416.0,21077.0
46,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,5.0,0.0,20181027160420.0,21077.0
47,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,1:2,6,10,17.0,15,16,31.0,26,15,1.0,2,3,9.0,6,7,79.5,76.5,100.0,79,79,0,1,4.0,5.0,0.0,20181027160423.0,21078.0
48,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,^1:2,6,10,17.0,15,16,31.0,26,15,1.0,2,3,7.0,6,7,93.8,76.5,100.0,79,79,0,1,4.0,5.0,0.0,20181027160423.0,11086^21078
49,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2,6,10,17.0,15,16,16.0,26,15,1.0,2,3,7.0,6,7,94.1,76.5,100.0,79,80,0,1,4.0,5.0,0.0,20181027160501.0,21079.0
50,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2,6,10,17.0,15,16,16.0,26,15,1.0,2,3,7.0,6,7,94.1,76.5,100.0,79,80,0,1,4.0,5.0,1.0,20181027160505.0,21079.0
51,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,7.0,6,7,94.1,76.5,100.0,79,80,0,1,3.0,56.0,1.0,20181027160514.0,11077.0
52,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,7.0,6,7,94.1,76.5,100.0,79,80,0,1,3.0,48.0,1.0,20181027160522.0,11077.0
53,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,7.0,6,7,94.1,76.5,100.0,79,80,0,1,3.0,48.0,0.0,20181027160522.0,11077.0
54,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,7.0,6,7,94.1,76.5,100.0,79,80,0,1,3.0,48.0,0.0,20181027160528.0,11086.0
55,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,7.0,6,7,94.1,76.5,100.0,79,80,0,1,3.0,48.0,0.0,20181027160529.0,11086.0
56,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,7.0,6,7,94.1,76.5,100.0,79,80,0,1,3.0,48.0,0.0,20181027160531.0,11086.0
57,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,^1:2,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,94.1,76.5,100.0,79,80,0,1,3.0,48.0,0.0,20181027160531.0,11086^21078
58,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,1:2^2:2,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,88.9,76.5,100.0,79,80,0,1,3.0,48.0,0.0,20181027160648.0,21080^21078
59,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,1:2^2:2,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,88.9,76.5,100.0,79,80,0,1,3.0,50.0,0.0,20181027160657.0,21080^21078
60,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,2:2^,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,50.0,1.0,20181027160706.0,21080^11077
61,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,2:2^,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,50.0,1.0,20181027160708.0,21080^11077
62,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,41.0,1.0,20181027160716.0,11077.0
63,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,33.0,0.0,20181027160724.0,11077.0
64,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,33.0,0.0,20181027160747.0,21077.0
65,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,24.0,0.0,20181027160755.0,21077.0
66,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,16.0,0.0,20181027160803.0,21077.0
67,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,16.0,0.0,20181027160804.0,11077.0
68,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,3.0,7.0,0.0,20181027160812.0,11077.0
69,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,2.0,59.0,0.0,20181027160820.0,11077.0
70,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,2.0,54.0,0.0,20181027160826.0,21077.0
71,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,2.0,48.0,0.0,20181027160830.0,21077.0
72,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,6,10,17.0,15,16,16.0,26,15,1.0,2,3,8.0,6,7,84.2,76.5,100.0,79,80,0,1,2.0,39.0,0.0,20181027160838.0,21077.0
