,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
46,2.0,-9.5,0.9523809523809523,9.5,0.8,140.5,0.9523809523809523,140.5,0.8,52.0,1:1^,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,7.0,21.0,1.0,20181110020522.0,21080^11077,0.0625,9.25
47,2.0,-9.5,0.9523809523809523,9.5,0.8,140.5,0.9523809523809523,140.5,0.8,52.0,1:1^,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,7.0,21.0,1.0,20181110020523.0,21080^11077,0.0625,9.25
48,2.0,-9.5,0.9523809523809523,9.5,0.8,140.5,0.9090909090909091,140.5,0.8333333333333334,52.0,,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,7.0,20.0,1.0,20181110020524.0,11077.0,0.0625,9.25
49,2.0,-9.5,1.0,9.5,0.7692307692307693,140.5,0.8333333333333334,140.5,0.9090909090909091,52.0,,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,7.0,11.0,1.0,20181110020533.0,11077.0,0.0625,9.25
50,2.0,-9.5,1.0,9.5,0.7692307692307693,139.5,0.9090909090909091,139.5,0.8333333333333334,52.0,,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,7.0,4.0,0.0,20181110020539.0,11077.0,0.0625,9.25
51,2.0,-9.5,1.0,9.5,0.7692307692307693,139.5,0.9090909090909091,139.5,0.8333333333333334,52.0,,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,7.0,4.0,1.0,20181110020557.0,11077.0,0.0625,9.25
52,2.0,-9.5,1.0,9.5,0.7692307692307693,139.5,0.8333333333333334,139.5,0.9090909090909091,51.0,,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,6.0,55.0,1.0,20181110020606.0,11077.0,0.0625,9.25
53,2.0,-9.5,1.0,9.5,0.7692307692307693,138.5,0.9523809523809523,138.5,0.8,50.0,,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,6.0,49.0,0.0,20181110020612.0,11077.0,0.0625,9.25
54,2.0,-9.5,1.0,9.5,0.7692307692307693,138.5,0.9090909090909091,138.5,0.8333333333333334,50.0,,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,1.0,100.0,72.2,51.0,61,0,1,6.0,47.0,0.0,20181110020615.0,11077.0,0.0625,9.25
55,2.0,-9.5,1.0,9.5,0.7692307692307693,138.5,1.0,138.5,0.7692307692307693,50.0,^,9.0,6.0,11.0,15.0,2.0,13.0,3,4,3.0,2.0,100.0,72.2,51.0,61,0,1,6.0,51.0,0.0,20181110020624.0,21086^11077,0.0625,9.25
