,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
11,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,10.0,15,23.0,26.0,16.0,11.0,1,3,7.0,8.0,84.2,84.6,92,109,0,1,1.0,7.0,0.0,20181019134348.0,11086^21077
12,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:1,10.0,15,23.0,26.0,16.0,11.0,1,3,7.0,8.0,84.2,84.6,92,109,0,1,1.0,7.0,0.0,20181019134349.0,21078.0
13,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:1^,10.0,15,23.0,26.0,16.0,13.0,1,3,7.0,8.0,84.2,86.7,92,110,0,1,1.0,7.0,0.0,20181019134408.0,21079^11077
14,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:1^,10.0,15,23.0,26.0,16.0,13.0,1,3,7.0,8.0,84.2,86.7,92,110,0,1,1.0,7.0,0.0,20181019134408.0,21079^11077
15,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:1^,10.0,15,23.0,26.0,16.0,13.0,1,3,7.0,8.0,84.2,86.7,92,110,0,1,1.0,7.0,1.0,20181019134435.0,21079^11077
16,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:1^,10.0,15,23.0,26.0,16.0,13.0,1,3,7.0,8.0,84.2,86.7,92,110,0,1,1.0,0.0,0.0,20181019134442.0,21079^11077
17,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,10.0,15,23.0,26.0,16.0,13.0,1,3,7.0,9.0,84.2,86.7,92,110,0,1,1.0,0.0,0.0,20181019134443.0,21086^11077
18,,-17.5,0.9090909090909091,17.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:2,10.0,15,23.0,26.0,16.0,13.0,1,3,7.0,9.0,84.2,86.7,92,110,0,1,1.0,0.0,0.0,20181019134444.0,11078.0
19,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:2^2:2,10.0,15,23.0,26.0,17.0,13.0,1,3,7.0,9.0,85.0,86.7,93,110,0,1,1.0,0.0,0.0,20181019134501.0,11079^11078
20,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,23.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,94,110,0,1,1.0,0.0,0.0,20181019134511.0,11079^21077
21,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,23.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,94,110,0,1,0.0,59.0,0.0,20181019134511.0,11079^21077
22,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,23.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,94,110,0,1,0.0,59.0,1.0,20181019134524.0,11079^21077
23,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,23.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,94,110,0,1,0.0,50.0,1.0,20181019134532.0,11079^21077
24,,-16.5,0.9090909090909091,16.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,23.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,94,110,0,1,0.0,48.0,0.0,20181019134535.0,11079^21077
25,,-15.5,0.9090909090909091,15.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,23.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,94,110,0,1,0.0,48.0,0.0,20181019134536.0,11077.0
26,,-15.5,0.9090909090909091,15.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,23.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,94,110,0,1,0.0,48.0,1.0,20181019134557.0,11077.0
27,,-15.5,0.9090909090909091,15.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,23.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,94,110,0,1,0.0,39.0,1.0,20181019134605.0,11077.0
28,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,10.0,15,24.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,96,110,0,1,0.0,37.0,1.0,20181019134607.0,11074^21077
29,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,10.0,15,24.0,26.0,18.0,13.0,1,3,7.0,9.0,85.7,86.7,96,110,0,1,0.0,36.0,0.0,20181019134608.0,21077.0
30,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,10.0,15,24.0,26.0,18.0,13.0,1,3,8.0,9.0,85.7,86.7,96,110,0,1,0.0,36.0,0.0,20181019134618.0,11086^21077
31,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:2,10.0,15,24.0,26.0,18.0,13.0,1,3,8.0,9.0,85.7,86.7,96,110,0,1,0.0,36.0,0.0,20181019134619.0,21078.0
32,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:2^2:2,10.0,15,24.0,26.0,18.0,13.0,1,3,8.0,9.0,85.7,81.2,96,110,0,1,0.0,36.0,0.0,20181019134637.0,21080^21078
33,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,24.0,26.0,18.0,14.0,1,3,8.0,9.0,85.7,82.4,96,111,0,1,0.0,36.0,0.0,20181019134653.0,21079^11077
34,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,24.0,26.0,18.0,14.0,1,3,8.0,9.0,85.7,82.4,96,111,0,1,0.0,36.0,0.0,20181019134654.0,21079^11077
35,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,24.0,26.0,18.0,14.0,1,3,8.0,9.0,85.7,82.4,96,111,0,1,0.0,36.0,1.0,20181019134656.0,21079^11077
36,,-14.5,0.9090909090909091,14.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,10.0,15,24.0,26.0,18.0,14.0,1,3,8.0,9.0,85.7,82.4,96,111,0,1,0.0,29.0,0.0,20181019134702.0,21079^11077
37,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,9.0,85.7,82.4,99,111,0,1,0.0,29.0,0.0,20181019134706.0,11075^21077
38,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,29.0,0.0,20181019134711.0,21086^11077
39,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:1,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,29.0,0.0,20181019134713.0,11078.0
40,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,29.0,1.0,20181019134713.0,21077.0
41,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,20.0,1.0,20181019134741.0,21077.0
42,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,17.0,0.0,20181019134744.0,21077.0
43,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,15.0,0.0,20181019134753.0,21077.0
44,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,19.0,1.0,20181019134805.0,21077.0
45,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,16.0,0.0,20181019134808.0,21077.0
46,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,14.0,1,3,8.0,10.0,85.7,82.4,99,111,0,1,0.0,16.0,0.0,20181019134808.0,21077.0
47,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,^,11.0,15,24.0,26.0,18.0,14.0,1,3,9.0,10.0,85.7,82.4,99,111,0,1,0.0,16.0,0.0,20181019134814.0,11086^21077
48,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:2,11.0,15,24.0,26.0,18.0,14.0,1,3,9.0,10.0,85.7,82.4,99,111,0,1,0.0,16.0,0.0,20181019134815.0,21078.0
49,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,1:2^2:2,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,83.3,100,112,0,1,0.0,16.0,0.0,20181019134836.0,21079^21078
50,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,2:2^,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,16.0,1.0,20181019134850.0,21080^11077
51,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,15.0,1.0,20181019134851.0,11077.0
52,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,15.0,1.0,20181019134852.0,11077.0
53,,-11.5,0.9090909090909091,11.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,9.0,1.0,20181019134858.0,11095.0
54,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,8.0,1.0,20181019134858.0,21077.0
55,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,0.0,0.0,20181019134906.0,21077.0
56,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,0.0,0.0,20181019134907.0,21094.0
57,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,0.0,0.0,20181019134908.0,11077.0
58,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,0.0,0.0,20181019134908.0,1084.0
59,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,0.0,0.0,20181019134914.0,1084.0
60,,-12.5,0.9090909090909091,12.5,0.7692307692307693,193.5,0.8333333333333334,193.5,0.8333333333333334,,11.0,15,24.0,26.0,18.0,15.0,1,3,9.0,10.0,85.7,78.9,100,112,0,1,0.0,0.0,0.0,20181019134914.0,1084.0
