,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
51,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,63,0,1,0.0,0.0,0.0,20181113022555.0,11077.0
52,,,,2.0,1.5,0.0,-1.5,0.0,1.0,,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,63,0,1,0.0,0.0,0.0,20181113022602.0,11077.0
53,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,63,0,1,5.0,0.0,0.0,20181113022602.0,1083.0
54,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,63,0,1,5.0,0.0,1.0,20181113022602.0,21077.0
55,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,63,0,1,4.0,51.0,1.0,20181113022902.0,21077.0
56,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,63,0,1,4.0,43.0,1.0,20181113022910.0,21077.0
57,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,7.0,5,9,53.6,75.9,50.0,,63,63,0,1,4.0,43.0,0.0,20181113022910.0,21077.0
58,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,^,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.6,75.9,50.0,,63,63,0,1,4.0,43.0,0.0,20181113022924.0,11086^21077
59,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,1:2,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,54.8,75.9,50.0,,63,63,0,1,4.0,43.0,0.0,20181113022924.0,21078.0
60,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,2:2^,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,4.0,43.0,1.0,20181113022949.0,21080^11077
61,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,4.0,42.0,1.0,20181113022950.0,11077.0
62,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,4.0,33.0,1.0,20181113022959.0,11077.0
63,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,4.0,25.0,1.0,20181113023007.0,11077.0
64,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,4.0,17.0,1.0,20181113023015.0,11077.0
65,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,4.0,11.0,1.0,20181113023021.0,11095.0
66,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,4.0,2.0,1.0,20181113023030.0,21077.0
67,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,7.0,6,4,10.0,9,16,15.0,22,13,2.0,4,3,8.0,5,9,53.1,75.9,50.0,,63,63,0,1,3.0,59.0,0.0,20181113023033.0,11077.0
