,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
42,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,11077.0
43,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,11077.0
44,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,11077.0
45,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082500.0,11077.0
46,,第1节,-69.5,0.83,69.5,0.83,144.5,0.83,147.5,0.83,-69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082500.0,11077.0
47,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082500.0,11077.0
48,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,12.0,1.0,20180622082502.0,11077.0
49,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,12.0,0.0,20180622082502.0,11077.0
50,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,1.0,0.0,20180622082510.0,11077.0
51,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,1.0,1.0,20180622082510.0,11077.0
52,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,1.0,1.0,20180622082527.0,11077.0
53,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,9.0,GD,0.0,1.0,20180622082527.0,11077.0
54,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,0.0,1.0,20180622082534.0,21077.0
55,,第1节,-69.5,0.83,69.5,0.83,147.5,0.83,147.5,0.83,147.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,53.0,1.0,20180622082534.0,21077.0
56,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,53.0,1.0,20180622082544.0,11077.0
57,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,43.0,1.0,20180622082544.0,11077.0
58,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,43.0,0.0,20180622082552.0,11077.0
59,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,35.0,0.0,20180622082552.0,11077.0
60,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,35.0,1.0,20180622082603.0,11077.0
61,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,35.0,1.0,20180622082603.0,11077.0
62,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,34.0,1.0,20180622082604.0,11077.0
63,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,34.0,1.0,20180622082604.0,21077.0
64,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,27.0,1.0,20180622082611.0,21077.0
65,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,27.0,1.0,20180622082611.0,21077.0
66,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,GD,27.0,1.0,20180622082612.0,21077.0
67,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,1.0,8.0,GD,27.0,1.0,20180622082612.0,21074.0
68,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,8.0,GD,23.0,1.0,20180622082616.0,11077.0
69,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,8.0,GD,23.0,1.0,20180622082616.0,11077.0
70,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,8.0,GD,22.0,1.0,20180622082617.0,11077.0
71,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,8.0,GD,22.0,1.0,20180622082617.0,21077.0
72,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,51.0,1.0,20180622082647.0,21077.0
73,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,51.0,1.0,20180622082647.0,21077.0
74,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,36.0,1.0,20180622082703.0,21077.0
75,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,36.0,1.0,20180622082703.0,21077.0
76,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,27.0,1.0,20180622082711.0,21077.0
77,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,27.0,1.0,20180622082711.0,11077.0
78,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,7.0,1.0,20180622082731.0,21077.0
79,,第1节,-69.5,0.83,68.5,0.83,147.5,0.83,147.5,0.83,68.5,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,GD,7.0,1.0,20180622082731.0,21077.0
